"Species","Pvalue","Ctlmean","Ctlmedian","CRCmean","CRCmedian","Study","pvalue","adj.fdr.p","Enrichment"
"Aggregatibacter_unclassified",0.0507664186434747,0.00049375,"0",0.00218725,"0","PRJDB4176",0.0507664186434747,0.530585826813192,"Nodiff"
"Haemophilus_influenzae",0.0531357161014948,8.825e-05,"0",0.008727,"0","PRJDB4176",0.0531357161014948,0.530585826813192,"Nodiff"
"Subdoligranulum_unclassified",0.0533583437774189,2.88987425,"1.712185",4.908493,"2.888585","PRJDB4176",0.0533583437774189,0.530585826813192,"Nodiff"
"Bilophila_unclassified",0.0553184548303171,0.27018875,"0.09878",0.37315075,"0.2901","PRJDB4176",0.0553184548303171,0.530585826813192,"Nodiff"
"Enterococcus_avium",0.0555966925590133,0.0067505,"0",0.0023185,"0","PRJDB4176",0.0555966925590133,0.530585826813192,"Nodiff"
"Haemophilus_parainfluenzae",0.0607126601993989,1.18903,"0.127435",0.4372605,"0.047695","PRJDB4176",0.0607126601993989,0.56189624104033,"Nodiff"
"Ruminococcaceae_bacterium_D16",0.0615750162060612,0.0537555,"0",0.045356,"0","PRJDB4176",0.0615750162060612,0.56189624104033,"Nodiff"
"Clostridium_ramosum",0.076918919640343,0.0789765,"0.008585",0.0449525,"0","PRJDB4176",0.076918919640343,0.56189624104033,"Nodiff"
"Desulfovibrio_piger",0.0779485712900671,0.00765625,"0",0.0491205,"0","PRJDB4176",0.0779485712900671,0.56189624104033,"Nodiff"
"Eubacterium_cylindroides",0.0779485712900671,0.01844725,"0",0.18722775,"0","PRJDB4176",0.0779485712900671,0.56189624104033,"Nodiff"
"Aeromonas_unclassified",0.0819636698799236,0,"0",0.00227875,"0","PRJDB4176",0.0819636698799236,0.56189624104033,"Nodiff"
"Aggregatibacter_segnis",0.0819636698799236,0,"0",0.00192175,"0","PRJDB4176",0.0819636698799236,0.56189624104033,"Nodiff"
"Clostridium_methylpentosum",0.0819636698799236,0,"0",7.825e-05,"0","PRJDB4176",0.0819636698799236,0.56189624104033,"Nodiff"
"Enterococcus_casseliflavus",0.0819636698799236,0.0017675,"0",0,"0","PRJDB4176",0.0819636698799236,0.56189624104033,"Nodiff"
"Enterococcus_gallinarum",0.0819636698799236,0.0015055,"0",0,"0","PRJDB4176",0.0819636698799236,0.56189624104033,"Nodiff"
"Filifactor_alocis",0.0819636698799236,0,"0",0.0007275,"0","PRJDB4176",0.0819636698799236,0.56189624104033,"Nodiff"
"Fusobacterium_necrophorum",0.0819636698799236,0,"0",0.08041325,"0","PRJDB4176",0.0819636698799236,0.56189624104033,"Nodiff"
"Peptoniphilus_lacrimalis",0.0819636698799236,0.0003035,"0",0,"0","PRJDB4176",0.0819636698799236,0.56189624104033,"Nodiff"
"Selenomonas_sputigena",0.0819636698799236,0,"0",0.00105875,"0","PRJDB4176",0.0819636698799236,0.56189624104033,"Nodiff"
"Paraprevotella_clara",0.0824869162601415,0.05596125,"0",0.064024,"0","PRJDB4176",0.0824869162601415,0.56189624104033,"Nodiff"
"Prevotella_copri",0.0842012409420579,6.2268105,"0",5.252169,"0.00153","PRJDB4176",0.0842012409420579,0.56189624104033,"Nodiff"
