"Accuracy","Kappa","AccuracyLower","AccuracyUpper","AccuracyNull","AccuracyPValue","McnemarPValue","Sensitivity","Specificity","Pos.Pred.Value","Neg.Pred.Value","Precision","Recall","F1","Prevalence","Detection.Rate","Detection.Prevalence","Balanced.Accuracy","RepeatTimes","Fold","FatureCount"
0.779220779220779,0.557620817843866,0.670214252879695,0.865811057364162,0.506493506493506,7.81065135893031e-07,0.331975467082737,0.846153846153846,0.710526315789474,0.75,0.818181818181818,0.75,0.846153846153846,0.795180722891566,0.506493506493506,0.428571428571429,0.571428571428571,0.77834008097166,20,10,50
0.844155844155844,0.689098250336474,0.743591624124991,0.916795252231805,0.506493506493506,5.88400136128016e-10,0.0433081428107919,0.947368421052632,0.743589743589744,0.782608695652174,0.935483870967742,0.782608695652174,0.947368421052632,0.857142857142857,0.493506493506494,0.467532467532468,0.597402597402597,0.845479082321188,20,9,50
0.769230769230769,0.538461538461539,0.660027339224548,0.857127187242014,0.5,9.86510455569514e-07,0.238592829316436,0.846153846153846,0.692307692307692,0.733333333333333,0.818181818181818,0.733333333333333,0.846153846153846,0.785714285714286,0.5,0.423076923076923,0.576923076923077,0.769230769230769,20,8,50
0.789473684210526,0.578947368421053,0.68075554222749,0.874609910062883,0.5,1.92548891176486e-07,0.211299547333711,0.868421052631579,0.710526315789474,0.75,0.84375,0.75,0.868421052631579,0.804878048780488,0.5,0.434210526315789,0.578947368421053,0.789473684210526,20,7,50
0.714285714285714,0.42654028436019,0.599964627529238,0.811510561264649,0.506493506493506,0.000167882237712668,0.0550088336292657,0.846153846153846,0.578947368421053,0.673469387755102,0.785714285714286,0.673469387755102,0.846153846153846,0.75,0.506493506493506,0.428571428571429,0.636363636363636,0.712550607287449,20,6,50
0.828947368421053,0.657894736842105,0.725273411416697,0.905654839005572,0.5,2.52246186091182e-09,0.00554566731524405,0.973684210526316,0.684210526315789,0.755102040816327,0.962962962962963,0.755102040816326,0.973684210526316,0.850574712643678,0.5,0.486842105263158,0.644736842105263,0.828947368421053,20,5,50
0.727272727272727,0.455372179184911,0.613803805479202,0.822590916902575,0.506493506493506,6.52047079646514e-05,0.382733088885226,0.789473684210526,0.666666666666667,0.697674418604651,0.764705882352941,0.697674418604651,0.789473684210526,0.740740740740741,0.493506493506494,0.38961038961039,0.558441558441558,0.728070175438597,20,4,50
0.807692307692308,0.615384615384615,0.702729430052344,0.888180315320899,0.5,1.87433058471635e-08,0.301699582478348,0.871794871794872,0.743589743589744,0.772727272727273,0.852941176470588,0.772727272727273,0.871794871794872,0.819277108433735,0.5,0.435897435897436,0.564102564102564,0.807692307692308,20,3,50
0.753246753246753,0.505910165484634,0.641788268016816,0.844432556602683,0.506493506493506,8.15190851373484e-06,0.64635519553949,0.794871794871795,0.710526315789474,0.738095238095238,0.771428571428571,0.738095238095238,0.794871794871795,0.765432098765432,0.506493506493506,0.402597402597403,0.545454545454545,0.752699055330634,20,2,50
0.782051282051282,0.564102564102564,0.674138120929892,0.867608892898134,0.5,2.83186981270912e-07,0.331975467082737,0.846153846153846,0.717948717948718,0.75,0.823529411764706,0.75,0.846153846153846,0.795180722891566,0.5,0.423076923076923,0.564102564102564,0.782051282051282,20,1,50
0.753246753246753,0.507904473595695,0.641788268016816,0.844432556602683,0.506493506493506,8.15190851373484e-06,0.0664574200169311,0.868421052631579,0.641025641025641,0.702127659574468,0.833333333333333,0.702127659574468,0.868421052631579,0.776470588235294,0.493506493506494,0.428571428571429,0.61038961038961,0.75472334682861,19,10,50
0.766233766233766,0.533960995292535,0.655943214119122,0.855182936995653,0.506493506493506,2.61203896860532e-06,0.0338948535246893,0.894736842105263,0.641025641025641,0.708333333333333,0.862068965517241,0.708333333333333,0.894736842105263,0.790697674418605,0.493506493506494,0.441558441558442,0.623376623376623,0.767881241565452,19,9,50
0.792207792207792,0.583502366463827,0.684608176895155,0.876309174573313,0.506493506493506,2.17317929505301e-07,0.211299547333711,0.871794871794872,0.710526315789474,0.755555555555556,0.84375,0.755555555555556,0.871794871794872,0.80952380952381,0.506493506493506,0.441558441558442,0.584415584415584,0.791160593792173,19,8,50
0.805194805194805,0.612025529056097,0.699132853052207,0.886668270806465,0.506493506493506,5.60735818629075e-08,0.00194577369373915,0.973684210526316,0.641025641025641,0.725490196078431,0.961538461538462,0.725490196078431,0.973684210526316,0.831460674157303,0.493506493506494,0.480519480519481,0.662337662337662,0.807354925775978,19,7,50
