"","X1","X2","X3","X4","X5","X6","X7","X8","X9","X10","X11","X12","X13","X14","X15","X16","X17","X18","X19","X20","X21"
"30","CRC_MR_SBJ10C_17","CRC_MR_SBJ34H_17","CRC_MR_SBJ65H_17","CRC_MR_SBJ80H_17","CRC_MR_SBJ74H_17","CRC_MR_SBJ57H_17","19.6493958740873","20.9961862782911","22.8535366147999","23.2031051781437","23.799548794036","CRC_MR_SBJ52C_17","CRC_MR_SBJ64C_17","CRC_MR_SBJ55C_17","CRC_MR_SBJ06C_17","CRC_MR_SBJ25C_17","20.5661073012882","21.1339254983096","22.0068255295011","22.1325930318411","22.3251967375676"
"31","CRC_MR_SBJ11C_17","CRC_MR_SBJ18H_17","CRC_MR_SBJ82H_17","CRC_MR_SBJ16H_17","CRC_MR_SBJ84H_17","CRC_MR_SBJ45H_17","22.1553284896997","22.8653984290062","23.5686082093004","24.2855167917815","24.8219321664652","CRC_MR_SBJ32C_17","CRC_MR_SBJ05C_17","CRC_MR_SBJ39C_17","CRC_MR_SBJ01C_17","CRC_MR_SBJ20C_17","22.1999682534683","23.8457252467104","24.7189651002606","27.4720694587539","27.5674649730711"
"32","CRC_MR_SBJ20C_17","CRC_MR_SBJ75H_17","CRC_MR_SBJ45H_17","CRC_MR_SBJ16H_17","CRC_MR_SBJ78H_17","CRC_MR_SBJ34H_17","19.2301669305105","20.2163438053744","20.7139480817009","22.3907610323298","24.0373579371881","CRC_MR_SBJ06C_17","CRC_MR_SBJ52C_17","CRC_MR_SBJ31C_17","CRC_MR_SBJ32C_17","CRC_MR_SBJ27C_17","18.3466104879403","22.8869649919905","23.5549700449374","23.8576599144111","24.9200397397837"
"33","CRC_MR_SBJ22C_17","CRC_MR_SBJ80H_17","CRC_MR_SBJ65H_17","CRC_MR_SBJ21H_17","CRC_MR_SBJ73H_17","CRC_MR_SBJ74H_17","19.2300718520681","22.7897312759453","24.9076444348578","25.8989319377904","26.3132594931966","CRC_MR_SBJ02C_17","CRC_MR_SBJ42C_17","CRC_MR_SBJ36C_17","CRC_MR_SBJ35C_17","CRC_MR_SBJ04C_17","18.7124937886135","21.0110739792044","22.697065341363","25.6864999876472","26.0284718684136"
"34","CRC_MR_SBJ26C_17","CRC_MR_SBJ69H_17","CRC_MR_SBJ16H_17","CRC_MR_SBJ84H_17","CRC_MR_SBJ82H_17","CRC_MR_SBJ18H_17","21.1806919993068","22.5883791079218","24.4549767028595","26.5678330269953","27.1421015078347","CRC_MR_SBJ32C_17","CRC_MR_SBJ11C_17","CRC_MR_SBJ06C_17","CRC_MR_SBJ01C_17","CRC_MR_SBJ31C_17","27.4985190705118","28.0575673653134","28.3338404607459","28.5767486940922","28.7495311243384"
"35","CRC_MR_SBJ27C_17","CRC_MR_SBJ75H_17","CRC_MR_SBJ45H_17","CRC_MR_SBJ46H_17","CRC_MR_SBJ16H_17","CRC_MR_SBJ60H_17","22.6783744050516","23.1355485146063","26.267005293457","26.6028363153706","26.9326321704638","CRC_MR_SBJ20C_17","CRC_MR_SBJ07C_17","CRC_MR_SBJ53C_17","CRC_MR_SBJ06C_17","CRC_MR_SBJ47C_17","24.9200397397837","25.0542977910098","27.0202622887029","27.0441975773104","27.8482688325002"
"36","CRC_MR_SBJ29C_17","CRC_MR_SBJ16H_17","CRC_MR_SBJ84H_17","CRC_MR_SBJ57H_17","CRC_MR_SBJ34H_17","CRC_MR_SBJ45H_17","26.8313645062379","27.2153804110764","27.6036662691969","27.8161430040633","28.2198193825279","CRC_MR_SBJ04C_17","CRC_MR_SBJ32C_17","CRC_MR_SBJ01C_17","CRC_MR_SBJ31C_17","CRC_MR_SBJ06C_17","24.9513953092447","27.755222145454","28.1571644205254","28.5548250244175","28.7314118249139"
"37","CRC_MR_SBJ31C_17","CRC_MR_SBJ18H_17","CRC_MR_SBJ84H_17","CRC_MR_SBJ16H_17","CRC_MR_SBJ78H_17","CRC_MR_SBJ45H_17","21.6603635276027","22.6541483493178","23.3453748838715","24.0434778340905","24.7781577503575","CRC_MR_SBJ06C_17","CRC_MR_SBJ20C_17","CRC_MR_SBJ52C_17","CRC_MR_SBJ07C_17","CRC_MR_SBJ32C_17","22.2878264170129","23.5549700449374","24.0362203563351","24.4180927765397","24.7122736787209"
"38","CRC_MR_SBJ32C_17","CRC_MR_SBJ16H_17","CRC_MR_SBJ78H_17","CRC_MR_SBJ18H_17","CRC_MR_SBJ45H_17","CRC_MR_SBJ84H_17","16.5348045268367","18.9208103737498","19.1610396710539","19.7803380704628","20.3587231033751","CRC_MR_SBJ01C_17","CRC_MR_SBJ06C_17","CRC_MR_SBJ11C_17","CRC_MR_SBJ04C_17","CRC_MR_SBJ52C_17","16.8042558937907","21.3034659848603","22.1999682534683","22.9900182920175","23.0657462654409"
"39","CRC_MR_SBJ33C_17","CRC_MR_SBJ21H_17","CRC_MR_SBJ16H_17","CRC_MR_SBJ73H_17","CRC_MR_SBJ34H_17","CRC_MR_SBJ45H_17","23.892366705607","29.3229464444025","32.9781045321589","34.2777973735157","34.643329488994","CRC_MR_SBJ12C_17","CRC_MR_SBJ53C_17","CRC_MR_SBJ32C_17","CRC_MR_SBJ01C_17","CRC_MR_SBJ04C_17","13.5292378547315","25.7585534064706","33.5387682070496","33.9571367657581","35.9172608789632"
