"","X1","X2","X3","X4","X5","X6","X7","X8","X9","X10","X11","X12","X13","X14","X15","X16","X17","X18","X19","X20","X21","X22","X23","X24","X25","X26","X27","X28","X29","X30","X31"
"69","SZAXPI015226.14","SZAXPI015245.33","SZAXPI015263.84","SZAXPI015264.87","SZAXPI015269.94","SZAXPI015235.21","SZAXPI015252.43","SZAXPI015273.95","17.7829943302893","19.1404198578793","22.6581007020359","22.9582257279085","23.6643265795311","23.9200927233257","28.3692229875388","SZAXPI017593.158","SZAXPI015215.20","SZAXPI017468.88","SZAXPI003420.4","SZAXPI017584.108","SZAXPI015210.17","SZAXPI017588.123","SZAXPI017589.133","18.3852100997459","21.9699185153291","22.3421138143977","24.2404487141245","25.4156138228137","26.4998786552278","26.7271797151495","26.8811904616797"
"70","SZAXPI015237.23","SZAXPI003433.7","SZAXPI015268.109","SZAXPI015261.75","SZAXPI015251.41","SZAXPI015228.14","SZAXPI003419.6","SZAXPI015244.32","25.4935393346903","27.797667207005","28.8692878383344","29.2316236954022","29.2869609972988","29.513180068322","29.8545260298753","SZAXPI017582.94","SZAXPI017583.102","SZAXPI017454.20","SZAXPI017585.109","SZAXPI003426.11","SZAXPI003427.1","SZAXPI003422.11","SZAXPI015221.142","7.8797158350603","20.7951089870287","26.2365399251845","26.809262660823","27.8582521183742","28.2941318663429","29.0187923581461","29.0507932985469"
"71","SZAXPI017452.17","SZAXPI015246.34","SZAXPI015230.16","SZAXPI015259.62","SZAXPI015242.30","SZAXPI015235.21","SZAXPI015248.36","SZAXPI015258.57","21.6421368649517","23.7708537734891","27.8762431222843","30.2527135158997","30.4229141351827","30.5158746115575","31.0484296229487","SZAXPI015224.13","SZAXPI017458.25","SZAXPI017588.123","SZAXPI015210.17","SZAXPI017594.166","SZAXPI017586.111","SZAXPI015218.16","SZAXPI017457.24","24.5128232957446","25.9674351097678","29.0584462817388","29.9706125802427","31.2588724339395","33.1234804704623","33.863461877035","35.5702890529231"
"72","SZAXPI017453.19","SZAXPI015251.41","SZAXPI015268.109","SZAXPI015244.32","SZAXPI003433.7","SZAXPI015241.27","SZAXPI015255.46","SZAXPI015227.13","24.2113536386072","24.7261089860192","24.940243835893","25.5883129437425","25.6014883219707","25.8812205580224","26.5566590114702","SZAXPI015216.169","SZAXPI017581.93","SZAXPI015225.18","SZAXPI017456.23","SZAXPI017454.20","SZAXPI015221.142","SZAXPI003435.11","SZAXPI003424.12","14.9914193803822","19.5082328334757","19.7081221858045","23.7066037013719","24.1854757008478","24.3514919305327","25.3507651150789","25.4019141287168"
"73","SZAXPI017454.20","SZAXPI015251.41","SZAXPI015244.32","SZAXPI015268.109","SZAXPI015271.93","SZAXPI015253.44","SZAXPI003433.7","SZAXPI015255.46","18.9397448831498","20.2415012500481","20.6687966485957","21.5097924375829","22.3822843212104","22.6205520290553","22.7432145584502","SZAXPI003422.11","SZAXPI015218.16","SZAXPI003426.11","SZAXPI017588.123","SZAXPI015225.18","SZAXPI003418.8","SZAXPI017580.90","SZAXPI017585.109","19.2719010216118","19.5915140168007","21.1340625626617","22.5810517670413","22.6238982221566","22.9782005986","22.9823166051097","22.9984352785054"
"74","SZAXPI017455.21","SZAXPI015244.32","SZAXPI015251.41","SZAXPI015253.44","SZAXPI015263.84","SZAXPI015271.93","SZAXPI015258.57","SZAXPI015273.95","32.9221120704489","34.0804915626448","35.3195880848574","35.4410345343346","35.4558445820855","35.6067480955675","35.7990269808371","SZAXPI015211.166","SZAXPI017454.20","SZAXPI003422.11","SZAXPI015218.16","SZAXPI003416.4","SZAXPI015221.142","SZAXPI017587.113","SZAXPI015210.17","30.1099904872868","30.7008013425008","33.6218199951475","33.9279807386499","34.9038345664871","35.0513075346498","35.2806319161647","35.7127809441326"
"75","SZAXPI017456.23","SZAXPI015241.27","SZAXPI017592.142","SZAXPI015262.79","SZAXPI015250.39","SZAXPI015244.32","SZAXPI015255.46","SZAXPI015227.13","20.8429382255837","25.6832633572955","25.9212166354938","28.1653458256667","28.4438977077211","28.9523718137893","29.1600081150572","SZAXPI003415.12","SZAXPI017453.19","SZAXPI003412.1","SZAXPI015216.169","SZAXPI015221.142","SZAXPI003424.12","SZAXPI003426.11","SZAXPI015223.158","23.0071467228338","23.7066037013719","24.6884842971273","25.117513096081","26.5132660073424","27.1741014884209","27.4029239487267","28.5188449399235"
"76","SZAXPI017457.24","SZAXPI015258.57","SZAXPI015251.41","SZAXPI015259.62","SZAXPI015271.93","SZAXPI003433.7","SZAXPI015230.16","SZAXPI015268.109","25.7284747784259","26.6864447288132","27.7805359148091","28.0988634506647","28.6925963107071","29.1340540782003","29.1348116113182","SZAXPI015218.16","SZAXPI017454.20","SZAXPI017586.111","SZAXPI017458.25","SZAXPI017588.123","SZAXPI017580.90","SZAXPI003422.11","SZAXPI017594.166","28.0826951983085","29.2627419286403","29.7599280834044","30.0609923264602","30.2246717747803","30.2894645135318","31.3239575455816","31.9319689914731"
"77","SZAXPI017458.25","SZAXPI015252.43","SZAXPI015230.16","SZAXPI015255.46","SZAXPI015258.57","SZAXPI015227.13","SZAXPI015241.27","SZAXPI015235.21","19.0254091678602","19.9669308306159","20.1929191655342","20.8071009052102","21.3228734059108","21.9010922158006","22.25602368988","SZAXPI017588.123","SZAXPI017594.166","SZAXPI015223.158","SZAXPI017586.111","SZAXPI017593.158","SZAXPI015210.17","SZAXPI015221.142","SZAXPI015218.16","19.0250230405511","21.0540345710864","21.7717907834634","22.1111373591206","22.5489372945201","22.9172341970055","23.6826922481757","24.6355983109564"
"78","SZAXPI017459.26","SZAXPI015271.93","SZAXPI015251.41","SZAXPI015244.32","SZAXPI015212.113","SZAXPI015253.44","SZAXPI003433.7","SZAXPI015268.109","31.1014094133594","34.0091733130916","34.5364486623741","34.8081304852013","34.8797762109105","34.8804107807649","35.2451352937182","SZAXPI017454.20","SZAXPI015218.16","SZAXPI003422.11","SZAXPI015210.17","SZAXPI015211.166","SZAXPI017588.123","SZAXPI017580.90","SZAXPI015225.18","31.5736419129105","32.7272338068313","34.1670765160366","34.5554382213828","35.0384085738308","35.4564251516605","35.5795123598287","35.7145468670821"
"79","SZAXPI017461.32","SZAXPI015235.21","SZAXPI015268.109","SZAXPI015261.75","SZAXPI003433.7","SZAXPI015251.41","SZAXPI015244.32","SZAXPI015273.95","24.382054901388","25.1541787345105","25.2878310908805","26.1449892952416","27.2716986421547","27.4355157527975","29.9816445617464","SZAXPI003427.1","SZAXPI015218.16","SZAXPI015225.18","SZAXPI017454.20","SZAXPI003422.11","SZAXPI003410.3","SZAXPI017585.109","SZAXPI017588.123","23.2833807475225","23.839274913814","25.5970753777692","25.9790098181108","26.4205055684084","26.5970326077553","27.160009099599","27.1620887264492"
"80","SZAXPI017462.33","SZAXPI015255.46","SZAXPI015253.44","SZAXPI015227.13","SZAXPI015268.109","SZAXPI015251.41","SZAXPI015264.87","SZAXPI015271.93","17.5261051376368","18.2118392312336","19.8563840999866","21.043497864205","21.1306094290439","21.3113549886698","23.644727548553","SZAXPI015213.15","SZAXPI017588.123","SZAXPI017466.84","SZAXPI017586.111","SZAXPI015218.16","SZAXPI017594.166","SZAXPI017454.20","SZAXPI003422.11","21.2965072211901","21.821783635024","21.8537164375765","23.2079681154512","23.2522796341585","23.6249668759979","24.1424823648522","24.7861707037049"
"81","SZAXPI017463.36","SZAXPI015240.26","SZAXPI003429.3","SZAXPI015268.109","SZAXPI015247.35","SZAXPI015256.47","SZAXPI003433.7","SZAXPI015251.41","21.3722772958288","24.5618026139207","24.9010561714739","28.0474288415516","28.3004409955923","29.0697134725147","30.2723806594146","SZAXPI017580.90","SZAXPI017454.20","SZAXPI015218.16","SZAXPI017586.111","SZAXPI003422.11","SZAXPI015225.18","SZAXPI015221.142","SZAXPI003427.1","23.6394781107917","26.7148969919837","27.9953114908122","28.1049607322248","29.4115849053141","30.0631949173503","31.2191958401814","31.2781225928396"
