"FPR","TPR","RepeatTimes","Fold","FatureCount"
0,0,20,10,50
0,0.0263157894736842,20,10,50
0,0.0789473684210526,20,10,50
0,0.105263157894737,20,10,50
0,0.131578947368421,20,10,50
0,0.157894736842105,20,10,50
0,0.184210526315789,20,10,50
0,0.210526315789474,20,10,50
0,0.236842105263158,20,10,50
0,0.263157894736842,20,10,50
0,0.289473684210526,20,10,50
0,0.315789473684211,20,10,50
0,0.342105263157895,20,10,50
0,0.368421052631579,20,10,50
0,0.394736842105263,20,10,50
0,0.421052631578947,20,10,50
0,0.447368421052632,20,10,50
0.0256410256410256,0.447368421052632,20,10,50
0.0256410256410256,0.473684210526316,20,10,50
0.0512820512820513,0.5,20,10,50
0.0512820512820513,0.526315789473684,20,10,50
0.0512820512820513,0.552631578947368,20,10,50
0.0512820512820513,0.578947368421053,20,10,50
0.0512820512820513,0.605263157894737,20,10,50
0.0512820512820513,0.631578947368421,20,10,50
0.0769230769230769,0.631578947368421,20,10,50
0.0769230769230769,0.657894736842105,20,10,50
0.102564102564103,0.657894736842105,20,10,50
0.102564102564103,0.684210526315789,20,10,50
0.128205128205128,0.684210526315789,20,10,50
0.153846153846154,0.684210526315789,20,10,50
0.153846153846154,0.710526315789474,20,10,50
0.179487179487179,0.710526315789474,20,10,50
0.205128205128205,0.736842105263158,20,10,50
0.205128205128205,0.763157894736842,20,10,50
0.230769230769231,0.763157894736842,20,10,50
0.256410256410256,0.763157894736842,20,10,50
0.256410256410256,0.789473684210526,20,10,50
0.256410256410256,0.815789473684211,20,10,50
0.282051282051282,0.815789473684211,20,10,50
0.282051282051282,0.842105263157895,20,10,50
0.282051282051282,0.868421052631579,20,10,50
0.282051282051282,0.894736842105263,20,10,50
0.282051282051282,0.921052631578947,20,10,50
0.307692307692308,0.921052631578947,20,10,50
0.333333333333333,0.921052631578947,20,10,50
0.358974358974359,0.921052631578947,20,10,50
0.384615384615385,0.921052631578947,20,10,50
0.384615384615385,0.947368421052632,20,10,50
0.41025641025641,0.947368421052632,20,10,50
0.435897435897436,0.947368421052632,20,10,50
0.461538461538462,0.947368421052632,20,10,50
0.487179487179487,0.947368421052632,20,10,50
0.512820512820513,0.947368421052632,20,10,50
0.538461538461538,0.947368421052632,20,10,50
0.58974358974359,0.947368421052632,20,10,50
0.641025641025641,0.947368421052632,20,10,50
0.666666666666667,0.947368421052632,20,10,50
0.692307692307692,0.947368421052632,20,10,50
0.743589743589744,0.947368421052632,20,10,50
0.769230769230769,0.947368421052632,20,10,50
0.794871794871795,0.973684210526316,20,10,50
0.82051282051282,0.973684210526316,20,10,50
0.846153846153846,0.973684210526316,20,10,50
0.871794871794872,1,20,10,50
0.897435897435897,1,20,10,50
0.923076923076923,1,20,10,50
0.948717948717949,1,20,10,50
0.974358974358974,1,20,10,50
1,1,20,10,50
0,0,20,9,50
0,0.0256410256410256,20,9,50
0,0.0512820512820513,20,9,50
0,0.102564102564103,20,9,50
0,0.128205128205128,20,9,50
0,0.153846153846154,20,9,50
0,0.179487179487179,20,9,50
0,0.205128205128205,20,9,50
0,0.230769230769231,20,9,50
0,0.256410256410256,20,9,50
0,0.282051282051282,20,9,50
0,0.307692307692308,20,9,50
0,0.358974358974359,20,9,50
0,0.384615384615385,20,9,50
0,0.41025641025641,20,9,50
0,0.435897435897436,20,9,50
0,0.461538461538462,20,9,50
0,0.487179487179487,20,9,50
0,0.512820512820513,20,9,50
0,0.538461538461538,20,9,50
0,0.564102564102564,20,9,50
0,0.58974358974359,20,9,50
0.0263157894736842,0.615384615384615,20,9,50
0.0263157894736842,0.641025641025641,20,9,50
0.0526315789473684,0.666666666666667,20,9,50
0.0526315789473684,0.692307692307692,20,9,50
0.0526315789473684,0.717948717948718,20,9,50
0.0526315789473684,0.743589743589744,20,9,50
0.0789473684210526,0.743589743589744,20,9,50
0.105263157894737,0.769230769230769,20,9,50
0.105263157894737,0.794871794871795,20,9,50
0.105263157894737,0.82051282051282,20,9,50
0.131578947368421,0.82051282051282,20,9,50
0.131578947368421,0.846153846153846,20,9,50
0.157894736842105,0.871794871794872,20,9,50
0.184210526315789,0.871794871794872,20,9,50
