"","X1","X2","X3","X4","X5","X6","X7","X8","X9","X10","X11","X12","X13","X14","X15","X16","X17","X18","X19","X20","X21","X22","X23","X24","X25","X26","X27","X28","X29","X30","X31"
"23","CCMD49025643ST.11.0","CCMD31009081ST.11.0","CCMD27867141ST.11.0","CCMD45004878ST.11.0","CCMD89967135ST.11.0","CCMD66848156ST.11.0","CCMD18579000ST.11.0","CCMD22852639ST.11.0","CCMD59540613ST.11.0","19.3875090953892","20.611902188784","23.2400566306604","23.493947200726","23.7384740931784","24.2358118423667","24.3509185820001","26.4369772217646","CCMD52145360ST.11.0","CCMD46222674ST.21.0","CCMD88272491ST.21.0","CCMD50071957ST.21.0","CCMD86114146ST.21.0","CCMD95676152ST.11.0","CCMD45988061ST.21.0","22.9836487833677","23.538290016915","23.9865898687058","24.0648612655652","24.2391296110195","24.718792814994","24.7304082074983"
"24","CCMD50529145ST.11.0","CCMD35081859ST.11.0","MMPU99077057ST","CCMD66848156ST.11.0","CCMD10191450ST.11.0","CCMD85661207ST.11.0","CCMD93755960ST.11.0","CCMD31009081ST.11.0","CCMD51154251ST.11.0","14.5054506508829","17.6500255861514","17.8110453285875","21.2213559061479","21.4279153534379","21.5299930324304","21.7042894390971","21.7718699857844","CCMD76222476ST.11.0","CCMD49461418ST.11.0","CCMD46222674ST.21.0","CCMD95431029ST.11.0","CCMD52145360ST.11.0","CCMD89306485ST.11.0","CCMD35802077ST.21.0","17.0897644226888","19.2097614575975","21.0993341483209","21.2320631282054","21.6826597989154","23.7662594017233","25.7481799171281"
"25","CCMD50538120ST.11.0","CCMD10191450ST.11.0","CCMD35081859ST.11.0","CCMD50529145ST.11.0","CCMD51154251ST.11.0","MMPU99077057ST","CCMD93755960ST.11.0","CCMD99440714ST.11.0","CCMD10032470ST.11.0","17.0540506517748","21.9233931586582","25.87425727432","27.1849681582929","32.0846996526055","32.6759865402317","33.6893096227839","35.3479474231178","CCMD89306485ST.11.0","CCMD76222476ST.11.0","CCMD95431029ST.11.0","CCMD34381688ST.21.0","CCMD49461418ST.11.0","CCMD26925580ST.21.0","CCMD86707194ST.21.0","14.3133644715944","23.8766069219247","28.2954431527163","33.5787606764469","33.9143814642918","36.3728952151173","39.6326403286218"
"26","CCMD51154251ST.11.0","CCMD35081859ST.11.0","CCMD10032470ST.11.0","CCMD93755960ST.11.0","CCMD50529145ST.11.0","MMPU99077057ST","CCMD74592084ST.11.0","CCMD10191450ST.11.0","CCMD85661207ST.11.0","14.3413660151709","17.6523895824475","18.5943157679222","21.7718699857844","21.9105413844181","23.4194967998503","23.4260013324831","25.6133361655174","CCMD95431029ST.11.0","CCMD49461418ST.11.0","CCMD76222476ST.11.0","CCMD89306485ST.11.0","CCMD59583015ST.11.0","CCMD93344354ST.21.0","CCMD86707194ST.21.0","19.0964866328652","19.8152196337184","20.966285681329","22.164561209848","23.5182226736163","23.6005674718512","25.8293148240386"
"27","CCMD51228890ST.11.0","CCMD89107682ST.11.0","MMPU84450604ST","CCMD37575804ST.11.0","CCMD85661207ST.11.0","CCMD41521570ST.11.0","CCMD89967135ST.11.0","CCMD56948710ST.11.0","CCMD59540613ST.11.0","19.4933885089355","23.7825017259812","25.4762271936231","28.4063596219456","28.4656928588784","30.136635740925","30.136655518443","31.6249284980441","CCMD46222674ST.21.0","CCMD86114146ST.21.0","CCMD95676152ST.11.0","CCMD35802077ST.21.0","CCMD82866709ST.21.0","CCMD63399960ST.21.0","CCMD98531134ST.11.0","22.6381594693054","22.6479777021548","25.4344049735177","30.0419055257618","31.1119231577542","31.5877715184864","32.7712213756506"
"28","CCMD53508245ST.11.0","CCMD37575804ST.11.0","CCMD18829815ST.11.0","CCMD56948710ST.11.0","MMPU99077057ST","CCMD18579000ST.11.0","CCMD85661207ST.11.0","CCMD38158721ST.11.0","CCMD66848156ST.11.0","19.3507655770696","20.3917591385957","21.6063537817398","22.2778191578081","22.6543670212191","23.1518782928621","23.7386485832576","23.930357045506","CCMD52145360ST.11.0","CCMD35802077ST.21.0","CCMD13934959ST.21.0","CCMD72895164ST.21.0","CCMD52117727ST.11.0","CCMD63399960ST.21.0","CCMD46222674ST.21.0","18.9632511867164","18.9668538731546","19.4599173563199","20.2984332279982","20.9070236626307","21.9457708221448","22.2802566247407"
"29","CCMD54057834ST.11.0","CCMD59540613ST.11.0","CCMD41202658ST.11.0","CCMD56948710ST.11.0","CCMD89967135ST.11.0","CCMD18579000ST.11.0","CCMD35801800ST.11.0","CCMD29706695ST.11.0","CCMD31009081ST.11.0","22.1205278214309","23.0295815648483","23.3161051137363","24.1858902271242","25.0979193712786","25.4324271365377","26.0030031765044","26.4971992308961","CCMD63399960ST.21.0","CCMD50071957ST.21.0","CCMD11006829ST.21.0","CCMD82866709ST.21.0","CCMD64503764ST.21.0","CCMD90311071ST.21.0","CCMD46222674ST.21.0","19.7993895819644","19.9432370949778","20.9197130507806","22.2576276985958","23.5216432937858","24.0905512646888","24.1892947641638"
"30","CCMD56948710ST.11.0","CCMD32288175ST.11.0","CCMD38158721ST.11.0","CCMD37575804ST.11.0","CCMD53508245ST.11.0","CCMD18829815ST.11.0","CCMD18579000ST.11.0","CCMD89967135ST.11.0","CCMD59540613ST.11.0","18.47997324142","19.6941479856251","20.7874635956915","21.6063537817398","21.8528388513301","21.9429129469631","22.0777053309691","22.9203559541055","CCMD35802077ST.21.0","CCMD72895164ST.21.0","CCMD46222674ST.21.0","CCMD82866709ST.21.0","CCMD50071957ST.21.0","CCMD12232071ST.21.0","CCMD79349503ST.11.0","15.7835449451224","18.6480093318938","19.827033503013","20.2362723050739","21.447893500745","21.9871608924095","22.8701569593083"
"31","CCMD59540613ST.11.0","CCMD85661207ST.11.0","CCMD18579000ST.11.0","CCMD54057834ST.11.0","CCMD56948710ST.11.0","CCMD31009081ST.11.0","CCMD93755960ST.11.0","MMPU99077057ST","MMPU84450604ST","20.6003920745674","22.0736674373811","22.1205278214309","22.9203559541055","23.4187940446578","23.9307280156392","23.9670067710551","24.0967916090483","CCMD63399960ST.21.0","CCMD50071957ST.21.0","CCMD46222674ST.21.0","CCMD95433940ST.21.0","CCMD49461418ST.11.0","CCMD82866709ST.21.0","CCMD90311071ST.21.0","17.0447372297111","18.8798263432109","21.0504867964211","21.1012054084595","23.0443387271495","23.0765172382749","23.2209947043295"
"32","CCMD66848156ST.11.0","CCMD27867141ST.11.0","CCMD50529145ST.11.0","CCMD18579000ST.11.0","CCMD31009081ST.11.0","CCMD45004878ST.11.0","MMPU99077057ST","CCMD89967135ST.11.0","CCMD73128545ST.11.0","16.9818327442505","17.8110453285875","18.5385751664549","18.628123366166","19.6346970643858","20.7487573890534","21.3068147344928","21.5362314793211","CCMD52145360ST.11.0","CCMD46222674ST.21.0","CCMD45988061ST.21.0","CCMD86114146ST.21.0","CCMD72895164ST.21.0","CCMD46947453ST.21.0","CCMD42428553ST.21.0","15.5521655037008","18.1803040787524","20.3803824061915","20.8051714801032","21.0172323265053","21.957029555714","22.5503527102394"
"33","CCMD73128545ST.11.0","CCMD45004878ST.11.0","CCMD18579000ST.11.0","CCMD85661207ST.11.0","CCMD66848156ST.11.0","CCMD31009081ST.11.0","CCMD27867141ST.11.0","CCMD68973846ST.11.0","CCMD35801800ST.11.0","15.6075430133606","18.2932853258183","18.6879954398057","21.5362314793211","23.3112413852888","23.4718747617356","23.664040038717","23.6644896735953","CCMD72895164ST.21.0","CCMD13934959ST.21.0","CCMD95433940ST.21.0","CCMD45988061ST.21.0","CCMD52145360ST.11.0","CCMD46222674ST.21.0","CCMD63399960ST.21.0","19.6967218787188","20.1550737909515","22.5881803327293","23.0949782297689","24.4088587475122","25.0178421918158","25.0455647927013"
"34","CCMD74592084ST.11.0","CCMD45812507ST.11.0","MMPU72854103ST","CCMD10032470ST.11.0","CCMD17410933ST.11.0","CCMD85661207ST.11.0","MMPU99077057ST","CCMD51154251ST.11.0","CCMD93755960ST.11.0","19.4221392199598","20.4657545893524","20.6290539774489","21.5527088543204","22.4514109878466","23.0014676718965","23.4194967998503","23.974625032317","CCMD59583015ST.11.0","CCMD95433940ST.21.0","CCMD49461418ST.11.0","CCMD86707194ST.21.0","CCMD13934959ST.21.0","CCMD93344354ST.21.0","CCMD63399960ST.21.0","17.3011733114318","20.2790369583297","22.9686334448373","24.1531866809723","24.4459610487029","25.5272544413339","26.0589428129692"
"35","CCMD76409700ST.11.0","CCMD99929634ST.11.0","CCMD39157124ST.11.0","CCMD18579000ST.11.0","CCMD85661207ST.11.0","MMPU99077057ST","CCMD93755960ST.11.0","CCMD56948710ST.11.0","MMPU72854103ST","18.6455329851442","20.7711872696194","23.497609000143","24.4725323458648","26.9523249296883","27.4626700968424","28.7429691742172","29.6408524131308","CCMD26925580ST.21.0","CCMD82866709ST.21.0","CCMD79349503ST.11.0","CCMD72895164ST.21.0","CCMD13934959ST.21.0","CCMD63399960ST.21.0","CCMD95433940ST.21.0","22.6111569257944","22.9212074703254","23.8864813453175","25.5566647306099","28.5856205421904","29.2077921636265","29.7342483024996"
"36","CCMD85481373ST.11.0","CCMD15562448ST.11.0","CCMD25475945ST.11.0","CCMD32288175ST.11.0","CCMD54057834ST.11.0","CCMD18579000ST.11.0","MMPU99077057ST","CCMD59540613ST.11.0","CCMD31009081ST.11.0","14.6440511298001","23.3171959211008","29.5526144502124","30.1890266198746","30.7402451611678","31.7391160645441","31.8914925260672","31.9339998834643","CCMD74930188ST.21.0","CCMD63399960ST.21.0","CCMD50071957ST.21.0","CCMD90311071ST.21.0","CCMD46222674ST.21.0","CCMD86707194ST.21.0","CCMD52145360ST.11.0","25.5846955187374","26.9718670244145","28.8611962972431","31.0374507333044","31.3269900632585","31.6947558221325","31.8329930119067"
"37","CCMD85661207ST.11.0","CCMD18579000ST.11.0","MMPU99077057ST","CCMD99929634ST.11.0","CCMD73128545ST.11.0","CCMD39157124ST.11.0","CCMD93755960ST.11.0","CCMD35801800ST.11.0","CCMD10032470ST.11.0","16.3783433016835","16.5887608096416","18.537239639879","18.6879954398057","19.1234999305932","19.4233582871912","19.4321318956336","19.4522769832454","CCMD95433940ST.21.0","CCMD63399960ST.21.0","CCMD59583015ST.11.0","CCMD46222674ST.21.0","CCMD72895164ST.21.0","CCMD86707194ST.21.0","CCMD13934959ST.21.0","15.3070145676059","17.0610699644659","18.4964050990564","19.3925236535785","19.6926869945267","19.8409960947504","19.8771906179244"
"38","CCMD89107682ST.11.0","MMPU84450604ST","CCMD51228890ST.11.0","CCMD37575804ST.11.0","CCMD41521570ST.11.0","CCMD50529145ST.11.0","CCMD89967135ST.11.0","CCMD85661207ST.11.0","MMPU99077057ST","18.5387078623943","19.4933885089355","20.5352728004768","21.6888802556126","23.58115287388","24.5567526693678","25.5321135964221","26.3140855403774","CCMD46222674ST.21.0","CCMD86114146ST.21.0","CCMD95676152ST.11.0","CCMD35802077ST.21.0","CCMD63399960ST.21.0","CCMD49461418ST.11.0","CCMD76222476ST.11.0","17.9043896934579","19.7120247166951","23.4790205502913","24.2852010133353","25.9839623286326","25.9868360310927","26.4209264762896"
"39","CCMD89967135ST.11.0","CCMD18579000ST.11.0","CCMD66848156ST.11.0","CCMD56948710ST.11.0","CCMD31009081ST.11.0","CCMD27867141ST.11.0","MMPU84450604ST","CCMD49025643ST.11.0","CCMD22852639ST.11.0","20.4593420024228","21.3068147344928","22.0777053309691","22.1172923758787","23.2957545063494","23.4339939890515","23.493947200726","23.8999846662273","CCMD46222674ST.21.0","CCMD52145360ST.11.0","CCMD86114146ST.21.0","CCMD82866709ST.21.0","CCMD72895164ST.21.0","CCMD35802077ST.21.0","CCMD95676152ST.11.0","17.6335176462185","20.5644387880511","20.8955235965912","21.567939947371","22.3952109694216","22.6010344744129","22.7462721508712"
"40","CCMD98198513ST.11.0","CCMD49942357ST.11.0","CCMD17410933ST.11.0","CCMD45812507ST.11.0","CCMD98702133ST.11.0","MMPU72854103ST","CCMD99929634ST.11.0","CCMD39157124ST.11.0","CCMD74592084ST.11.0","14.7443964865097","21.6780490832685","23.9063628392359","24.4408152924468","30.4786352302281","31.6025438494752","33.1770643087555","35.4337315569543","CCMD59583015ST.11.0","CCMD51864103ST.21.0","CCMD26709089ST.21.0","CCMD93344354ST.21.0","CCMD13934959ST.21.0","CCMD95433940ST.21.0","CCMD13071240ST.21.0","25.0100810854163","25.9378245094861","34.6746920692643","35.1745249956002","37.2737738709189","38.8688172567702","39.2450109762693"
