"","X1","X2","X3","X4","X5","X6","X7","X8","X9","X10","X11","X12","X13","X14","X15","X16","X17","X18","X19","X20","X21","X22","X23","X24","X25","X26","X27","X28","X29"
"11","CCIS16383318ST.4.0","CCIS88317640ST.4.0","CCIS48174381ST.4.0","CCIS45793747ST.4.0","CCIS07539127ST.4.0","CCIS11362406ST.4.0","CCIS79210440ST.3.0","CCIS03473770ST.4.0","18.1632083546933","21.9507489057412","22.9174805810499","24.0731791404978","24.1322509212506","24.8399625014331","25.2074974857958","CCIS77252613ST.4.0","CCIS53043478ST.4.0","CCIS91228662ST.4.0","CCIS06260551ST.3.0","CCIS98512455ST.4.0","CCIS55230578ST.4.0","CCIS11015875ST.4.0","23.2934983049069","23.522859120294","24.4051910882173","24.6400753242071","24.9191833672675","25.290137564618","25.9562193229503"
"12","CCIS16561622ST.4.0","CCIS79210440ST.3.0","CCIS94417875ST.3.0","CCIS07539127ST.4.0","CCIS50471204ST.4.0","CCIS03473770ST.4.0","CCIS45571137ST.3.0","CCIS45793747ST.4.0","18.8371171229198","22.5178250994806","22.6257759466609","22.6504796432393","23.2361605075494","26.2192917716784","26.2290109448183","CCIS53043478ST.4.0","CCIS41548810ST.4.0","CCIS62605362ST.3.0","CCIS71301801ST.4.0","CCIS11015875ST.4.0","CCIS55230578ST.4.0","CCIS33816588ST.4.0","18.9387994639523","19.1124752394451","22.6113356127541","22.8012069536922","23.0466175808317","23.3158815265197","24.0431854024524"
"13","CCIS29210128ST.4.0","CCIS45793747ST.4.0","CCIS50471204ST.4.0","CCIS88007743ST.4.0","CCIS05314658ST.4.0","CCIS48174381ST.4.0","CCIS63910149ST.4.0","CCIS07648107ST.4.0","27.8612944649544","27.9827951905077","28.935721893846","29.1951654175944","29.6192943110939","29.6311882067443","30.0535912387022","CCIS91228662ST.4.0","CCIS06260551ST.3.0","CCIS47284573ST.4.0","CCIS55230578ST.4.0","CCIS53043478ST.4.0","CCIS53355328ST.4.0","CCIS76845094ST.20.0","26.2041314169369","26.6453814311017","28.1864450916092","28.4580731469508","28.6074059501958","28.7899415102028","29.4732331635401"
"14","CCIS36797902ST.4.0","CCIS16326685ST.4.0","CCIS11362406ST.4.0","CCIS88007743ST.4.0","CCIS88317640ST.4.0","CCIS90164298ST.4.0","CCIS94417875ST.3.0","CCIS05314658ST.4.0","20.74227659454","22.4692832092971","23.8034941676448","24.2431037581494","24.4804987209003","24.6443658997914","24.717969745685","CCIS53043478ST.4.0","CCIS47284573ST.4.0","CCIS62794166ST.4.0","CCIS06260551ST.3.0","CCIS72607085ST.4.0","CCIS98512455ST.4.0","CCIS33816588ST.4.0","22.7927901906107","23.609334627507","24.2841363970659","24.2987448235295","24.4025134413281","24.6931089750542","25.8776940233727"
"15","CCIS44093303ST.4.0","CCIS07539127ST.4.0","CCIS79210440ST.3.0","CCIS50471204ST.4.0","CCIS07648107ST.4.0","CCIS88007743ST.4.0","CCIS48174381ST.4.0","CCIS45793747ST.4.0","27.9066223063631","28.8228910742052","29.3793691444541","30.031747038882","30.0785389223712","30.6204579650011","30.9420407295883","CCIS98512455ST.4.0","CCIS50148151ST.4.0","CCIS62794166ST.4.0","CCIS87605453ST.4.0","CCIS52370277ST.4.0","CCIS53043478ST.4.0","CCIS06260551ST.3.0","25.7168858902667","27.1638039989965","27.6350191757596","27.8852141963479","27.9685731757181","28.073280320862","28.9900617590598"
"16","CCIS51595129ST.4.0","CCIS82507866ST.3.0","CCIS95409808ST.4.0","CCIS32452666ST.4.0","CCIS94417875ST.3.0","CCIS03473770ST.4.0","CCIS07539127ST.4.0","CCIS00146684ST.4.0","19.48593487893","20.9965338513598","21.9879631317774","27.0259332315796","27.643981280995","28.5831186733936","29.1366417300433","CCIS38765456ST.20.0","CCIS21278152ST.4.0","CCIS55230578ST.4.0","CCIS41548810ST.4.0","CCIS33816588ST.4.0","CCIS71301801ST.4.0","CCIS87116798ST.4.0","16.5139897122924","24.9971473334819","26.7867376539231","27.5648446873985","27.6536318322115","28.2921558762796","28.6815441600953"
"17","CCIS63468405ST.4.0","CCIS82507866ST.3.0","CCIS32452666ST.4.0","CCIS95409808ST.4.0","CCIS09568613ST.4.0","CCIS51595129ST.4.0","CCIS79210440ST.3.0","CCIS03857607ST.4.0","24.381834812569","27.0791204010488","27.7447822033441","29.4800718003213","29.5405938322455","29.8345015108498","30.0107516616362","CCIS21278152ST.4.0","CCIS38765456ST.20.0","CCIS61287323ST.4.0","CCIS06260551ST.3.0","CCIS77252613ST.4.0","CCIS62794166ST.4.0","CCIS53043478ST.4.0","20.1458339300735","23.0199526960939","27.2825305413483","29.4559128078201","30.1210936597428","30.5336563232313","30.6887513599935"
"18","CCIS64773582ST.4.0","CCIS80834637ST.4.0","CCIS45793747ST.4.0","CCIS21126322ST.4.0","CCIS32452666ST.4.0","CCIS50471204ST.4.0","CCIS94417875ST.3.0","CCIS88007743ST.4.0","20.9017315648752","21.5526108067793","24.0446671140754","24.2011527037557","24.2968484694888","24.7774818318711","25.239484940232","CCIS11015875ST.4.0","CCIS02379307ST.4.0","CCIS48725289ST.4.0","CCIS47284573ST.4.0","CCIS62605362ST.3.0","CCIS53043478ST.4.0","CCIS06260551ST.3.0","20.7242972648821","22.043579183726","23.7707767739508","25.1277675972121","25.1399580507029","25.3698748250499","25.5362911112538"
"19","CCIS79210440ST.3.0","CCIS16561622ST.4.0","CCIS03473770ST.4.0","CCIS94417875ST.3.0","CCIS07539127ST.4.0","CCIS09568613ST.4.0","CCIS11362406ST.4.0","CCIS50471204ST.4.0","18.8371171229198","19.867248540354","20.8706981932948","20.8942722342775","22.6168446997896","22.7271788374228","23.0705723514741","CCIS55230578ST.4.0","CCIS41548810ST.4.0","CCIS06260551ST.3.0","CCIS53043478ST.4.0","CCIS98512455ST.4.0","CCIS62794166ST.4.0","CCIS62605362ST.3.0","19.5352213186311","20.1767914904427","20.3565086298609","20.4795645437251","20.5351143299106","21.3673382935615","21.9072093265025"
"20","CCIS80834637ST.4.0","CCIS64773582ST.4.0","CCIS13047523ST.4.0","CCIS05314658ST.4.0","CCIS21126322ST.4.0","CCIS50471204ST.4.0","CCIS71578391ST.4.0","CCIS45793747ST.4.0","20.9017315648752","22.6698948508832","23.9029893519618","24.8601658325121","24.9374033132762","24.9873749621344","25.2439893262852","CCIS48725289ST.4.0","CCIS11015875ST.4.0","CCIS02379307ST.4.0","CCIS52370277ST.4.0","CCIS82146115ST.4.0","CCIS71301801ST.4.0","CCIS76845094ST.20.0","19.7632049489879","22.3343450723477","23.3630499959894","26.0314888673967","26.1103604513592","26.7531379812631","28.4373746480279"
"21","CCIS82507866ST.3.0","CCIS51595129ST.4.0","CCIS32452666ST.4.0","CCIS95409808ST.4.0","CCIS63468405ST.4.0","CCIS07539127ST.4.0","CCIS03473770ST.4.0","CCIS45571137ST.3.0","19.48593487893","22.4638290045286","22.6179353895443","24.381834812569","30.5601212882017","31.0181198104801","31.1457969862725","CCIS38765456ST.20.0","CCIS21278152ST.4.0","CCIS41548810ST.4.0","CCIS55230578ST.4.0","CCIS02379307ST.4.0","CCIS62794166ST.4.0","CCIS33816588ST.4.0","17.5263443817357","19.3880187583543","31.5922250229056","32.1807322938587","32.2288018012615","32.2479753697003","32.5059728031696"
"22","CCIS82944710ST.20.0","CCIS02856720ST.4.0","CCIS11354283ST.4.0","CCIS63910149ST.4.0","CCIS50471204ST.4.0","CCIS27304052ST.3.0","CCIS78100604ST.4.0","CCIS45793747ST.4.0","22.3404147651649","22.6239700359375","23.7601068192843","24.6387224195777","25.5647138582793","26.2184043734931","26.6876175140869","CCIS41222843ST.4.0","CCIS81887263ST.4.0","CCIS82146115ST.4.0","CCIS53355328ST.4.0","CCIS76845094ST.20.0","CCIS06260551ST.3.0","CCIS17669415ST.4.0","20.6061316797768","23.5144028323217","26.01917692939","26.4676070644212","26.862632914465","27.7120437493448","28.094556712778"
"23","CCIS88007743ST.4.0","CCIS45793747ST.4.0","CCIS05314658ST.4.0","CCIS11362406ST.4.0","CCIS41692898ST.4.0","CCIS02856720ST.4.0","CCIS50471204ST.4.0","CCIS88317640ST.4.0","18.4113858547666","18.7273033588261","18.9375158747207","20.3770949584797","20.7435574867162","21.4113962984038","21.5300672014674","CCIS06260551ST.3.0","CCIS47284573ST.4.0","CCIS11015875ST.4.0","CCIS76845094ST.20.0","CCIS55230578ST.4.0","CCIS53043478ST.4.0","CCIS53355328ST.4.0","17.8042522555737","18.6104992710808","20.3881178596456","22.6636308496542","22.6684601678676","22.9338939546319","23.1920148126138"
"24","CCIS93040568ST.20.0","CCIS63910149ST.4.0","CCIS95097901ST.4.0","CCIS78100604ST.4.0","CCIS02856720ST.4.0","CCIS11354283ST.4.0","CCIS64785924ST.20.0","CCIS50471204ST.4.0","22.112254824651","22.7038484629236","23.0114017781338","23.5071853716497","24.0900905395829","24.5077829932003","24.5814954074747","CCIS06260551ST.3.0","CCIS53355328ST.4.0","CCIS47284573ST.4.0","CCIS17669415ST.4.0","CCIS76845094ST.20.0","CCIS55230578ST.4.0","CCIS11015875ST.4.0","22.7916523866239","22.9868763871584","24.3760805970382","24.6053644893791","24.9897083940169","25.3463931404924","26.0165961137617"
"25","CCIS94417875ST.3.0","CCIS03473770ST.4.0","CCIS07539127ST.4.0","CCIS00146684ST.4.0","CCIS79210440ST.3.0","CCIS32452666ST.4.0","CCIS45571137ST.3.0","CCIS45793747ST.4.0","15.3016905751619","16.18196757574","17.2345457009606","20.8706981932948","21.4303754457312","21.7728858674178","21.9715890078301","CCIS41548810ST.4.0","CCIS55230578ST.4.0","CCIS33816588ST.4.0","CCIS11015875ST.4.0","CCIS87116798ST.4.0","CCIS53043478ST.4.0","CCIS62605362ST.3.0","14.9701580539686","15.866661278678","16.3806820128254","16.8323746967236","19.3038321300901","19.9764063573457","20.1592304602334"
