"Predict","AUC","BaseModel"
"PRJDB4176",0.7828125,"PRJEB27928"
"ZellerG_2014",0.650479430869161,"PRJEB27928"
"YuJ_2015",0.831823899371069,"PRJEB27928"
"VogtmannE_2016",0.718380177514793,"PRJEB27928"
"ThomasAM_2018b",0.763392857142857,"PRJEB27928"
"ThomasAM_2018a",0.66882183908046,"PRJEB27928"
"FengQ_2015",0.785816108339273,"PRJEB27928"
"PRJEB27928",0.992948717948718,"PRJEB27928"
"PRJEB27928",0.839230769230769,"PRJDB4176"
"ZellerG_2014",0.734921125889267,"PRJDB4176"
"YuJ_2015",0.801635220125786,"PRJDB4176"
"VogtmannE_2016",0.673816568047337,"PRJDB4176"
"ThomasAM_2018b",0.794084821428572,"PRJDB4176"
"ThomasAM_2018a",0.721264367816092,"PRJDB4176"
"FengQ_2015",0.765858873841768,"PRJDB4176"
"PRJDB4176",0.8978125,"PRJDB4176"
"PRJEB27928",0.775769230769231,"ZellerG_2014"
"PRJDB4176",0.77,"ZellerG_2014"
"YuJ_2015",0.861886792452831,"ZellerG_2014"
"VogtmannE_2016",0.647189349112426,"ZellerG_2014"
"ThomasAM_2018b",0.717075892857143,"ZellerG_2014"
"ThomasAM_2018a",0.686781609195402,"ZellerG_2014"
"FengQ_2015",0.831610833927298,"ZellerG_2014"
"ZellerG_2014",0.986854314877822,"ZellerG_2014"
"PRJEB27928",0.913974358974359,"YuJ_2015"
"PRJDB4176",0.7728125,"YuJ_2015"
"ZellerG_2014",0.803742653881844,"YuJ_2015"
"VogtmannE_2016",0.736316568047337,"YuJ_2015"
"ThomasAM_2018b",0.768415178571428,"YuJ_2015"
"ThomasAM_2018a",0.664511494252874,"YuJ_2015"
"FengQ_2015",0.782965074839629,"YuJ_2015"
"YuJ_2015",0.962767295597484,"YuJ_2015"
"PRJEB27928",0.889615384615385,"VogtmannE_2016"
"PRJDB4176",0.811875,"VogtmannE_2016"
"ZellerG_2014",0.762604392205382,"VogtmannE_2016"
"YuJ_2015",0.855849056603774,"VogtmannE_2016"
"ThomasAM_2018b",0.779017857142857,"VogtmannE_2016"
"ThomasAM_2018a",0.751436781609195,"VogtmannE_2016"
"FengQ_2015",0.786707056307911,"VogtmannE_2016"
"VogtmannE_2016",0.906065088757396,"VogtmannE_2016"
"PRJEB27928",0.819102564102564,"ThomasAM_2018b"
"PRJDB4176",0.8059375,"ThomasAM_2018b"
"ZellerG_2014",0.717754407670894,"ThomasAM_2018b"
"YuJ_2015",0.835094339622642,"ThomasAM_2018b"
"VogtmannE_2016",0.659208579881657,"ThomasAM_2018b"
"ThomasAM_2018a",0.756465517241379,"ThomasAM_2018b"
"FengQ_2015",0.715965787598004,"ThomasAM_2018b"
"ThomasAM_2018b",0.988839285714286,"ThomasAM_2018b"
"PRJEB27928",0.725128205128205,"ThomasAM_2018a"
"PRJDB4176",0.6125,"ThomasAM_2018a"
"ZellerG_2014",0.628982369316424,"ThomasAM_2018a"
"YuJ_2015",0.633459119496855,"ThomasAM_2018a"
"VogtmannE_2016",0.648298816568047,"ThomasAM_2018a"
"ThomasAM_2018b",0.703683035714286,"ThomasAM_2018a"
"FengQ_2015",0.743763364219529,"ThomasAM_2018a"
"ThomasAM_2018a",0.98132183908046,"ThomasAM_2018a"
"PRJEB27928",0.911666666666667,"FengQ_2015"
"PRJDB4176",0.7934375,"FengQ_2015"
"ZellerG_2014",0.800804206619239,"FengQ_2015"
"YuJ_2015",0.825283018867924,"FengQ_2015"
"VogtmannE_2016",0.728735207100592,"FengQ_2015"
"ThomasAM_2018b",0.796875,"FengQ_2015"
"ThomasAM_2018a",0.620689655172414,"FengQ_2015"
"FengQ_2015",0.994297933000713,"FengQ_2015"
