"Accuracy","Kappa","AccuracyLower","AccuracyUpper","AccuracyNull","AccuracyPValue","McnemarPValue","Sensitivity","Specificity","Pos.Pred.Value","Neg.Pred.Value","Precision","Recall","F1","Prevalence","Detection.Rate","Detection.Prevalence","Balanced.Accuracy","Predict","BaseModel"
0.7125,0.425,0.60045488668798,0.808239528028035,0.5,9.15582820648753e-05,1,0.7,0.725,0.717948717948718,0.707317073170732,0.717948717948718,0.7,0.708860759493671,0.5,0.35,0.4875,0.7125,"PRJDB4176","PRJEB27928"
0.508771929824561,0.0502826539720321,0.41346030629343,0.603616757806142,0.535087719298246,0.744797802082783,3.43466580469846e-05,0.278688524590164,0.773584905660377,0.586206896551724,0.482352941176471,0.586206896551724,0.278688524590164,0.377777777777778,0.535087719298246,0.149122807017544,0.254385964912281,0.526136715125271,"ZellerG_2014","PRJEB27928"
0.7734375,0.531786074672048,0.691093452263126,0.842713264710505,0.5859375,6.3524661276643e-06,1,0.716981132075472,0.813333333333333,0.730769230769231,0.802631578947368,0.730769230769231,0.716981132075472,0.723809523809524,0.4140625,0.296875,0.40625,0.765157232704403,"YuJ_2015","PRJEB27928"
0.576923076923077,0.153846153846154,0.476130637950174,0.673219238613872,0.5,0.0704781441061543,0.0500163954856456,0.442307692307692,0.711538461538462,0.605263157894737,0.560606060606061,0.605263157894737,0.442307692307692,0.511111111111111,0.5,0.221153846153846,0.365384615384615,0.576923076923077,"VogtmannE_2016","PRJEB27928"
0.833333333333333,0.666666666666667,0.714780745171297,0.917071189840936,0.533333333333333,1.05596970819896e-06,0.751829634045849,0.857142857142857,0.8125,0.8,0.866666666666667,0.8,0.857142857142857,0.827586206896552,0.466666666666667,0.4,0.5,0.834821428571429,"ThomasAM_2018b","PRJEB27928"
0.471698113207547,-0.00815217391304352,0.333024695678895,0.613644792805901,0.547169811320755,0.892603279651963,0.00458639208025349,0.75,0.241379310344828,0.45,0.538461538461538,0.45,0.75,0.5625,0.452830188679245,0.339622641509434,0.754716981132076,0.495689655172414,"ThomasAM_2018a","PRJEB27928"
0.663551401869159,0.334944751381215,0.565761956412963,0.752028749019567,0.570093457943925,0.0307189995913488,0.0667530151696345,0.60655737704918,0.739130434782609,0.755102040816326,0.586206896551724,0.755102040816326,0.60655737704918,0.672727272727273,0.570093457943925,0.345794392523364,0.457943925233645,0.672843905915894,"FengQ_2015","PRJEB27928"
0.944,0.887314874436574,0.88802079247813,0.977191398952983,0.52,1.5383835897048e-25,0.0233422020128909,1,0.883333333333333,0.902777777777778,1,0.902777777777778,1,0.948905109489051,0.52,0.52,0.576,0.941666666666667,"PRJEB27928","PRJEB27928"
0.792,0.577922077922078,0.710274454747325,0.859400913747689,0.52,2.73155455158905e-10,0.000194383122335387,0.953846153846154,0.616666666666667,0.729411764705882,0.925,0.729411764705882,0.953846153846154,0.826666666666667,0.52,0.496,0.68,0.78525641025641,"PRJEB27928","PRJDB4176"
0.666666666666667,0.341441167528124,0.572258794122254,0.752175770831985,0.535087719298246,0.00297306756639121,0.0349550726436305,0.573770491803279,0.773584905660377,0.74468085106383,0.611940298507463,0.74468085106383,0.573770491803279,0.648148148148148,0.535087719298246,0.307017543859649,0.412280701754386,0.673677698731828,"ZellerG_2014","PRJDB4176"
0.8203125,0.638684339715268,0.742681462788667,0.882550611227179,0.5859375,1.29337661447152e-08,0.0952928380234563,0.867924528301887,0.786666666666667,0.741935483870968,0.893939393939394,0.741935483870968,0.867924528301887,0.8,0.4140625,0.359375,0.484375,0.827295597484277,"YuJ_2015","PRJDB4176"
0.625,0.25,0.524659689171353,0.718025155722134,0.5,0.00691809753337397,0.336668367610039,0.692307692307692,0.557692307692308,0.610169491525424,0.644444444444444,0.610169491525424,0.692307692307692,0.648648648648649,0.5,0.346153846153846,0.567307692307692,0.625,"VogtmannE_2016","PRJDB4176"
0.666666666666667,0.333333333333333,0.533127325257169,0.78313055456883,0.533333333333333,0.0251862436212161,0.823063273758121,0.678571428571429,0.65625,0.633333333333333,0.7,0.633333333333333,0.678571428571429,0.655172413793104,0.466666666666667,0.316666666666667,0.5,0.667410714285714,"ThomasAM_2018b","PRJDB4176"
0.60377358490566,0.256513026052104,0.460043053465471,0.735483559205441,0.547169811320755,0.246050730273784,1.27496749210971e-05,1,0.275862068965517,0.533333333333333,1,0.533333333333333,1,0.695652173913044,0.452830188679245,0.452830188679245,0.849056603773585,0.637931034482759,"ThomasAM_2018a","PRJDB4176"
0.738317757009346,0.448453608247423,0.644460119775827,0.818545878898115,0.570093457943925,0.000231632842919911,0.0376353137873142,0.868852459016393,0.565217391304348,0.726027397260274,0.764705882352941,0.726027397260274,0.868852459016393,0.791044776119403,0.570093457943925,0.495327102803738,0.682242990654206,0.717034925160371,"FengQ_2015","PRJDB4176"
0.8375,0.675,0.738163106174887,0.910538358277471,0.5,3.20757058747557e-10,0.579099741953919,0.8,0.875,0.864864864864865,0.813953488372093,0.864864864864865,0.8,0.831168831168831,0.5,0.4,0.4625,0.8375,"PRJDB4176","PRJDB4176"
0.688,0.366471734892787,0.599009808983041,0.76784060901303,0.52,0.00010046086030721,0.00136210467158421,0.861538461538462,0.5,0.651162790697674,0.769230769230769,0.651162790697674,0.861538461538462,0.741721854304636,0.52,0.448,0.688,0.680769230769231,"PRJEB27928","ZellerG_2014"
0.6875,0.375,0.574110926143551,0.786525368891233,0.5,0.000526367428676672,0.423710797166793,0.75,0.625,0.666666666666667,0.714285714285714,0.666666666666667,0.75,0.705882352941177,0.5,0.375,0.5625,0.6875,"PRJDB4176","ZellerG_2014"
