"FPR","TPR","Predict","BaseModel"
0.213114754098361,0.39622641509434,"ZellerG_2014","PRJEB27928"
0.229508196721311,0.415094339622642,"ZellerG_2014","PRJEB27928"
0.229508196721311,0.433962264150943,"ZellerG_2014","PRJEB27928"
0.229508196721311,0.452830188679245,"ZellerG_2014","PRJEB27928"
0.245901639344262,0.452830188679245,"ZellerG_2014","PRJEB27928"
0.245901639344262,0.471698113207547,"ZellerG_2014","PRJEB27928"
0.245901639344262,0.490566037735849,"ZellerG_2014","PRJEB27928"
0.262295081967213,0.490566037735849,"ZellerG_2014","PRJEB27928"
0.262295081967213,0.509433962264151,"ZellerG_2014","PRJEB27928"
0.262295081967213,0.547169811320755,"ZellerG_2014","PRJEB27928"
0.278688524590164,0.547169811320755,"ZellerG_2014","PRJEB27928"
0.295081967213115,0.547169811320755,"ZellerG_2014","PRJEB27928"
0.295081967213115,0.566037735849057,"ZellerG_2014","PRJEB27928"
0.311475409836066,0.566037735849057,"ZellerG_2014","PRJEB27928"
0.327868852459016,0.566037735849057,"ZellerG_2014","PRJEB27928"
0.344262295081967,0.566037735849057,"ZellerG_2014","PRJEB27928"
0.344262295081967,0.584905660377358,"ZellerG_2014","PRJEB27928"
0.360655737704918,0.584905660377358,"ZellerG_2014","PRJEB27928"
0.377049180327869,0.584905660377358,"ZellerG_2014","PRJEB27928"
0.39344262295082,0.60377358490566,"ZellerG_2014","PRJEB27928"
0.409836065573771,0.60377358490566,"ZellerG_2014","PRJEB27928"
0.426229508196721,0.60377358490566,"ZellerG_2014","PRJEB27928"
0.442622950819672,0.60377358490566,"ZellerG_2014","PRJEB27928"
0.442622950819672,0.622641509433962,"ZellerG_2014","PRJEB27928"
0.459016393442623,0.622641509433962,"ZellerG_2014","PRJEB27928"
0.491803278688525,0.622641509433962,"ZellerG_2014","PRJEB27928"
0.508196721311475,0.622641509433962,"ZellerG_2014","PRJEB27928"
0.508196721311475,0.641509433962264,"ZellerG_2014","PRJEB27928"
0.508196721311475,0.660377358490566,"ZellerG_2014","PRJEB27928"
0.524590163934426,0.660377358490566,"ZellerG_2014","PRJEB27928"
0.540983606557377,0.679245283018868,"ZellerG_2014","PRJEB27928"
0.557377049180328,0.69811320754717,"ZellerG_2014","PRJEB27928"
0.573770491803279,0.69811320754717,"ZellerG_2014","PRJEB27928"
