"Predict","AUC","BaseModel"
"PRJDB4176",0.7890625,"PRJEB27928"
"ZellerG_2014",0.645375811939375,"PRJEB27928"
"YuJ_2015",0.828553459119497,"PRJEB27928"
"VogtmannE_2016",0.683801775147929,"PRJEB27928"
"ThomasAM_2018b",0.771205357142857,"PRJEB27928"
"ThomasAM_2018a",0.610632183908046,"PRJEB27928"
"FengQ_2015",0.790805416963649,"PRJEB27928"
"PRJEB27928",0.982564102564103,"PRJEB27928"
"PRJEB27928",0.811923076923077,"PRJDB4176"
"ZellerG_2014",0.759665944942778,"PRJDB4176"
"YuJ_2015",0.822767295597484,"PRJDB4176"
"VogtmannE_2016",0.676405325443787,"PRJDB4176"
"ThomasAM_2018b",0.788504464285714,"PRJDB4176"
"ThomasAM_2018a",0.76867816091954,"PRJDB4176"
"FengQ_2015",0.769066286528867,"PRJDB4176"
"PRJDB4176",0.941875,"PRJDB4176"
"PRJEB27928",0.763974358974359,"ZellerG_2014"
"PRJDB4176",0.6740625,"ZellerG_2014"
"YuJ_2015",0.815345911949686,"ZellerG_2014"
"VogtmannE_2016",0.661057692307692,"ZellerG_2014"
"ThomasAM_2018b",0.697544642857143,"ZellerG_2014"
"ThomasAM_2018a",0.663074712643678,"ZellerG_2014"
"FengQ_2015",0.782608695652174,"ZellerG_2014"
"ZellerG_2014",0.964274667491494,"ZellerG_2014"
"PRJEB27928",0.93474358974359,"YuJ_2015"
"PRJDB4176",0.77,"YuJ_2015"
"ZellerG_2014",0.79075162387875,"YuJ_2015"
"VogtmannE_2016",0.74741124260355,"YuJ_2015"
"ThomasAM_2018b",0.770089285714286,"YuJ_2015"
"ThomasAM_2018a",0.69683908045977,"YuJ_2015"
"FengQ_2015",0.835887384176764,"YuJ_2015"
"YuJ_2015",0.959119496855346,"YuJ_2015"
"PRJEB27928",0.834102564102564,"VogtmannE_2016"
"PRJDB4176",0.821875,"VogtmannE_2016"
"ZellerG_2014",0.766161459944323,"VogtmannE_2016"
"YuJ_2015",0.872201257861636,"VogtmannE_2016"
"ThomasAM_2018b",0.805803571428572,"VogtmannE_2016"
"ThomasAM_2018a",0.703304597701149,"VogtmannE_2016"
"FengQ_2015",0.836065573770491,"VogtmannE_2016"
"VogtmannE_2016",0.908099112426035,"VogtmannE_2016"
"PRJEB27928",0.807307692307693,"ThomasAM_2018b"
"PRJDB4176",0.7903125,"ThomasAM_2018b"
"ZellerG_2014",0.728580266006805,"ThomasAM_2018b"
"YuJ_2015",0.835974842767296,"ThomasAM_2018b"
"VogtmannE_2016",0.648853550295858,"ThomasAM_2018b"
"ThomasAM_2018a",0.688936781609195,"ThomasAM_2018b"
"FengQ_2015",0.745723449750535,"ThomasAM_2018b"
"ThomasAM_2018b",0.98828125,"ThomasAM_2018b"
"PRJEB27928",0.620897435897436,"ThomasAM_2018a"
"PRJDB4176",0.5559375,"ThomasAM_2018a"
"ZellerG_2014",0.598206000618621,"ThomasAM_2018a"
"YuJ_2015",0.583899371069182,"ThomasAM_2018a"
"VogtmannE_2016",0.630177514792899,"ThomasAM_2018a"
"ThomasAM_2018b",0.606026785714286,"ThomasAM_2018a"
"FengQ_2015",0.685673556664291,"ThomasAM_2018a"
"ThomasAM_2018a",0.978448275862069,"ThomasAM_2018a"
"PRJEB27928",0.832179487179487,"FengQ_2015"
"PRJDB4176",0.73625,"FengQ_2015"
"ZellerG_2014",0.710021651716672,"FengQ_2015"
"YuJ_2015",0.731069182389937,"FengQ_2015"
"VogtmannE_2016",0.585798816568047,"FengQ_2015"
"ThomasAM_2018b",0.758928571428572,"FengQ_2015"
"ThomasAM_2018a",0.630028735632184,"FengQ_2015"
"FengQ_2015",0.986992159657876,"FengQ_2015"
