"Predict","AUC","BaseModel"
"PRJDB4176",0.8025,"PRJEB27928"
"ZellerG_2014",0.624188060624807,"PRJEB27928"
"YuJ_2015",0.833710691823899,"PRJEB27928"
"VogtmannE_2016",0.645894970414201,"PRJEB27928"
"ThomasAM_2018b",0.869419642857143,"PRJEB27928"
"ThomasAM_2018a",0.602729885057471,"PRJEB27928"
"FengQ_2015",0.783856022808268,"PRJEB27928"
"PRJEB27928",0.977435897435897,"PRJEB27928"
"PRJEB27928",0.841410256410257,"PRJDB4176"
"ZellerG_2014",0.72146613052892,"PRJDB4176"
"YuJ_2015",0.834591194968553,"PRJDB4176"
"VogtmannE_2016",0.654770710059171,"PRJDB4176"
"ThomasAM_2018b",0.770647321428572,"PRJDB4176"
"ThomasAM_2018a",0.757902298850575,"PRJDB4176"
"FengQ_2015",0.765324305060584,"PRJDB4176"
"PRJDB4176",0.89,"PRJDB4176"
"PRJEB27928",0.775,"ZellerG_2014"
"PRJDB4176",0.76,"ZellerG_2014"
"YuJ_2015",0.785911949685535,"ZellerG_2014"
"VogtmannE_2016",0.655140532544379,"ZellerG_2014"
"ThomasAM_2018b",0.794084821428571,"ZellerG_2014"
"ThomasAM_2018a",0.591235632183908,"ZellerG_2014"
"FengQ_2015",0.797576621525303,"ZellerG_2014"
"ZellerG_2014",0.894989174141664,"ZellerG_2014"
"PRJEB27928",0.933076923076923,"YuJ_2015"
"PRJDB4176",0.7984375,"YuJ_2015"
"ZellerG_2014",0.757036807918342,"YuJ_2015"
"VogtmannE_2016",0.731508875739645,"YuJ_2015"
"ThomasAM_2018b",0.816964285714286,"YuJ_2015"
"ThomasAM_2018a",0.671695402298851,"YuJ_2015"
"FengQ_2015",0.849607982893799,"YuJ_2015"
"YuJ_2015",0.943396226415095,"YuJ_2015"
"PRJEB27928",0.764230769230769,"VogtmannE_2016"
"PRJDB4176",0.7725,"VogtmannE_2016"
"ZellerG_2014",0.742499226724404,"VogtmannE_2016"
"YuJ_2015",0.830691823899371,"VogtmannE_2016"
"ThomasAM_2018b",0.803013392857143,"VogtmannE_2016"
"ThomasAM_2018a",0.649425287356322,"VogtmannE_2016"
"FengQ_2015",0.787419814682822,"VogtmannE_2016"
"VogtmannE_2016",0.889238165680473,"VogtmannE_2016"
"PRJEB27928",0.805769230769231,"ThomasAM_2018b"
"PRJDB4176",0.7740625,"ThomasAM_2018b"
"ZellerG_2014",0.710949582431178,"ThomasAM_2018b"
"YuJ_2015",0.848553459119497,"ThomasAM_2018b"
"VogtmannE_2016",0.672707100591716,"ThomasAM_2018b"
"ThomasAM_2018a",0.632902298850575,"ThomasAM_2018b"
"FengQ_2015",0.758909479686386,"ThomasAM_2018b"
"ThomasAM_2018b",0.982142857142857,"ThomasAM_2018b"
"PRJEB27928",0.59448717948718,"ThomasAM_2018a"
"PRJDB4176",0.6125,"ThomasAM_2018a"
"ZellerG_2014",0.687751314568512,"ThomasAM_2018a"
"YuJ_2015",0.584779874213836,"ThomasAM_2018a"
"VogtmannE_2016",0.588942307692308,"ThomasAM_2018a"
"ThomasAM_2018b",0.624441964285714,"ThomasAM_2018a"
"FengQ_2015",0.717569493941554,"ThomasAM_2018a"
"ThomasAM_2018a",0.966954022988506,"ThomasAM_2018a"
"PRJEB27928",0.844615384615385,"FengQ_2015"
"PRJDB4176",0.799375,"FengQ_2015"
"ZellerG_2014",0.76987318280235,"FengQ_2015"
"YuJ_2015",0.790314465408805,"FengQ_2015"
"VogtmannE_2016",0.618713017751479,"FengQ_2015"
"ThomasAM_2018b",0.83984375,"FengQ_2015"
"ThomasAM_2018a",0.721264367816092,"FengQ_2015"
"FengQ_2015",0.96471846044191,"FengQ_2015"
