"X1","X2","X3","X4","X5","X6","X7","X8","X9","X10","X11","X12","X13","X14","X15","X16","X17","X18","X19","X20","X21","X22","X23","X24","X25","X26","X27","X28","X29","X30","X31","X32","X33","X34","X35","X36","X37"
"CCIS00281083ST.3.0","LILT_VF43_16","SZAXPI015245.33","DRR127762","DRR127737","MMRS35808664ST.27.0.0","CCMD50300306ST.11.0","CRC_MR_SBJ37H_17","MMRS95479054ST.27.0.0","SZAXPI015273.95","13.4378526173567","28.1812737177917","31.8553388671161","34.546270569623","36.8903710167396","37.71543108655","53.8626360986649","55.7360594255425","58.5339681807265","SZAXPI017589.133","SZAXPI003430.5","DRR127617","SZAXPI015226.14","SZAXPI003420.4","MMRS81671217ST.27.0.0","SZAXPI017593.158","CCIS98832363ST.4.0","MMRS78791111ST.27.0.0","23.1718501091238","29.822964026644","32.6771112254281","38.7055875945786","41.9306526870844","44.886194727642","45.4035363533503","48.1851993670079","50.6735619744853"
"CCIS05314658ST.4.0","CCIS41692898ST.4.0","SID530055","CCIS45793747ST.4.0","CRC_MR_SBJ16H_17","CCIS71578391ST.4.0","DRR127777","CRC_MR_SBJ18H_17","SID31360","CCIS81139242ST.4.0","15.8937341577428","18.1763686413926","18.2989779615912","19.0642982856674","19.6598759903439","20.3466717341437","20.6971958669115","20.9837534340952","20.986600389296","MMRS86958796ST.27.0.0","SID531416","SID531277","CRC_MR_SBJ52C_17","SZAXPI017586.111","MMRS55294627ST.27.0.0","CRC_MR_SBJ20C_17","MMRS12272136ST.27.0.0","CCMD50071957ST.21.0","17.48259120336","18.8495612763136","19.0920846378283","19.6242346908637","20.7648603599783","20.7836479527416","20.8394427004731","21.4457746966273","21.4741472984796"
"CCIS10706551ST.3.0","SZAXPI015257.56","CCMD76409700ST.11.0","CCMD18579000ST.11.0","CCIS45793747ST.4.0","CCIS79210440ST.3.0","CCIS03473770ST.4.0","SZAXPI015258.57","SZAXPI015272.108","CRC_MR_SBJ16H_17","27.9799997198374","28.904771259773","29.2578047268451","29.6240265598365","29.9207114540062","30.0053137158754","30.7196012238538","31.2305914072548","31.2789688583943","CCIS62605362ST.3.0","MMRS12272136ST.27.0.0","SZAXPI017586.111","CRC_MR_SBJ12C_17","CCMD82866709ST.21.0","SZAXPI017585.109","CRC_MR_SBJ42C_17","MMRS86958796ST.27.0.0","CCMD90311071ST.21.0","26.1227644786937","26.9255636102831","28.6073445613797","28.6802460256707","31.1489915820224","32.1379222429656","32.3692112103153","32.4566812445466","32.5112923226408"
"CCIS11558985ST.4.0","SZAXPI015261.75","SZAXPI015265.88","DRR127616","SZAXPI015251.41","CCIS03473770ST.4.0","CRC_MR_SBJ18H_17","DRR127777","CCIS45793747ST.4.0","CCIS05314658ST.4.0","29.1525454478078","29.3911444385107","31.2336643220132","31.333404657386","31.6508529858375","32.1667594766554","33.100046070042","34.7140656845766","35.0686481419529","CCIS62605362ST.3.0","MMRS81194191ST.27.0.0","CCMD50071957ST.21.0","MMRS55294627ST.27.0.0","DRR127580","SZAXPI017580.90","SID531277","SZAXPI017586.111","MMRS12272136ST.27.0.0","24.1339393112749","30.6256583679111","30.795550449578","31.5460787008718","32.6640649778744","33.5198668271281","34.446189711974","34.5189125997952","35.1309021797192"
"CCIS27304052ST.3.0","CCIS45793747ST.4.0","SID31452","CCIS34604008ST.4.0","CCIS64785924ST.20.0","SZAXPI015265.88","CCIS81139242ST.4.0","SZAXPI017592.142","CCIS71578391ST.4.0","SZAXPI015249.37","22.3594110757081","23.772168502175","24.0404155896336","24.5986902144403","24.7236856416595","25.1104324850031","25.5226657996476","25.9482347133249","26.5439065010428","SZAXPI003412.1","CRC_MR_SBJ52C_17","CCIS17669415ST.4.0","CRC_MR_SBJ10C_17","SID531416","SID531352","CCIS62605362ST.3.0","CRC_MR_SBJ50C_17","SZAXPI015225.18","21.0797381066464","22.6193649582697","23.0800512643365","23.1602949890303","23.601276653677","23.6977456166995","25.0969860211241","26.7732073163415","26.797039929287"
"CCIS29210128ST.4.0","CRC_MR_SBJ18H_17","SZAXPI015273.95","CCIS45793747ST.4.0","SZAXPI015259.62","CCIS05314658ST.4.0","SZAXPI015261.75","CCIS41692898ST.4.0","MMRS61683006ST.27.0.0","SZAXPI015251.41","25.1070933328651","26.4531144362682","27.8612944649544","28.9365177997025","29.1951654175944","29.7395040318177","30.5333344303026","30.6749333276097","30.8036964338065","SZAXPI017587.113","DRR127514","SZAXPI017586.111","CRC_MR_SBJ10C_17","CCIS62605362ST.3.0","CCMD50071957ST.21.0","SZAXPI015225.18","MMRS55294627ST.27.0.0","MMRS81194191ST.27.0.0","21.6886640793457","27.8403610717875","29.6388360622765","29.8106881173364","29.8460644009943","30.1857704210328","30.719755570857","30.7911231660003","30.8398836323356"
"CCIS34604008ST.4.0","CCIS81139242ST.4.0","SID31452","SZAXPI017592.142","CCIS27304052ST.3.0","CCIS71578391ST.4.0","CCIS45793747ST.4.0","CCIS64785924ST.20.0","SZAXPI015258.57","CCIS41692898ST.4.0","20.5027847622853","20.8439003144877","20.9837428418383","24.0404155896336","24.8655525590424","25.134320716578","25.3014344566687","28.5761206082754","29.0405701501503","CCIS17669415ST.4.0","SZAXPI003412.1","CRC_MR_SBJ52C_17","CRC_MR_SBJ10C_17","CRC_MR_SBJ50C_17","SID31875","SID531352","CCIS62605362ST.3.0","CCIS98832363ST.4.0","19.6898307956239","20.4623902951512","22.3423026786833","24.5173163757088","26.5445388431839","27.5389931591244","28.5527262059843","29.0449511627305","31.1999354957058"
"CCIS41692898ST.4.0","CCIS05314658ST.4.0","CCIS45793747ST.4.0","SID530055","CCIS71578391ST.4.0","SID532802","CCMD74592084ST.11.0","SID31452","CCIS03473770ST.4.0","CRC_MR_SBJ16H_17","15.8937341577428","18.7124573609775","18.8077419215705","19.6044304967704","20.818624278542","21.0841851148272","21.8685358384209","22.3671849978803","22.640840965598","SID531277","CRC_MR_SBJ52C_17","SID531416","SID531281","MMRS86958796ST.27.0.0","SZAXPI017586.111","CRC_MR_SBJ10C_17","CRC_MR_SBJ42C_17","CCMD90311071ST.21.0","18.1748795611415","18.1840398263505","18.3756382579409","19.3105786142337","22.1130588884532","22.5653284994125","22.6175078113571","23.780703927321","24.5901973483724"
"CCIS45793747ST.4.0","CCIS71578391ST.4.0","CCIS05314658ST.4.0","CCIS41692898ST.4.0","CCIS03473770ST.4.0","SZAXPI015258.57","CCIS81139242ST.4.0","SID532802","MMRS61683006ST.27.0.0","CCMD18579000ST.11.0","16.3407986182836","18.2989779615912","18.7124573609775","19.1391370919694","19.4296912254493","19.8015735900812","20.1202652818769","20.2561102389378","20.6874790817417","CRC_MR_SBJ52C_17","SZAXPI017586.111","SID531277","CRC_MR_SBJ10C_17","MMRS86958796ST.27.0.0","CCMD90311071ST.21.0","CCIS62605362ST.3.0","MMRS12272136ST.27.0.0","CCMD50071957ST.21.0","18.2211397742924","18.8105862362873","19.5118788281037","19.7532924186172","19.9510951696793","20.013877532235","20.1407452471998","20.583964192412","20.590838146535"
"CCIS51595129ST.4.0","CCMD32965613ST.11.0","CCIS03473770ST.4.0","CCMD27867141ST.11.0","CCMD18579000ST.11.0","SZAXPI015251.41","SID31700","CCIS79210440ST.3.0","CRC_MR_SBJ78H_17","CCMD49025643ST.11.0","24.2142306429009","27.643981280995","28.5385209772143","29.3199793233266","29.4840007996778","29.6498258341967","29.8369486738708","30.5462076539527","30.575650637939","CCIS38765456ST.20.0","MMRS77487595ST.27.0.0","CCMD87156761ST.21.0","CCMD23101338ST.21.0","SID531352","SID31223","DRR127515","CCIS62605362ST.3.0","CCIS14449628ST.4.0","16.5139897122924","16.8939183107531","23.7978806291989","25.1750278197264","28.0567353851352","28.4860433389107","30.245837044681","30.3323665910031","30.539807535682"
