"AUC","FeatureCount","Sampling","RepeatTimes"
0.82095733550337,50,400,10
0.838787491281098,50,400,9
0.843611950709137,50,400,8
0.836941990234829,50,400,7
0.806353173680539,50,400,6
0.795236572890026,50,400,5
0.843350383631713,50,400,4
0.842638339920948,50,400,3
0.813900544919428,50,400,2
0.820336859282571,50,400,1
0.841745595524366,50,200,10
0.828299062668695,50,200,9
0.817048633262992,50,200,8
0.846199146096088,50,200,7
0.807393139323747,50,200,6
0.823452912597537,50,200,5
0.819324483486283,50,200,4
0.815889237866221,50,200,3
0.804634000641082,50,200,2
0.797155928548532,50,200,1
0.811109965871871,50,180,10
0.810800751276942,50,180,9
0.80064820541011,50,180,8
0.835165716118097,50,180,7
0.800327538422777,50,180,6
0.815507684555303,50,180,5
0.825574337479099,50,180,4
0.837656611466134,50,180,3
0.809310982894775,50,180,2
0.791892502258356,50,180,1
0.830008143322475,50,160,10
0.804544188239328,50,160,9
0.806542516715241,50,160,8
0.805374592833876,50,160,7
0.784260886336362,50,160,6
0.798854577404423,50,160,5
0.847071618378193,50,160,4
0.818596776958684,50,160,3
0.806721158609436,50,160,2
0.83215316024128,50,160,1
0.826458237055195,50,140,10
0.822751110128795,50,140,9
0.794525708774538,50,140,8
0.813930358255138,50,140,7
0.81196126102594,50,140,6
0.815256484960517,50,140,5
0.821615865297676,50,140,4
0.797564749141031,50,140,3
0.805111169391263,50,140,2
0.78733208031005,50,140,1
0.8169337788349,50,120,10
0.821133952505003,50,120,9
0.816367463283876,50,120,8
0.788410352248273,50,120,7
0.786074300600294,50,120,6
0.810218220258995,50,120,5
0.803493223090572,50,120,4
0.763379204892967,50,120,3
0.800842148206428,50,120,2
0.829104379753474,50,120,1
0.829536772153024,50,100,10
0.806379821958457,50,100,9
0.817818369196326,50,100,8
0.833739050089732,50,100,7
0.778336502070044,50,100,6
0.821403187689902,50,100,5
0.792609143730343,50,100,4
0.818404733559587,50,100,3
0.801108051403094,50,100,2
0.788035084651922,50,100,1
0.807766738154279,50,80,10
0.807963608337244,50,80,9
0.779543093626432,50,80,8
0.786169660210443,50,80,7
0.775810937604718,50,80,6
0.78867033040681,50,80,5
0.807238958514845,50,80,4
0.791602439514778,50,80,3
0.797844362852231,50,80,2
0.82141504210741,50,80,1
0.735745145515833,50,60,10
0.70786845811771,50,60,9
0.770023263542705,50,60,8
0.727503995948662,50,60,7
0.771791767554479,50,60,6
0.752630995901185,50,60,5
0.777390052066024,50,60,4
0.775720457674595,50,60,3
0.80449194276889,50,60,2
0.807081767054229,50,60,1
0.744999550857862,50,40,10
0.724522412192712,50,40,9
0.763399407132377,50,40,8
0.703334131808246,50,40,7
0.784228373806031,50,40,6
0.719469563134413,50,40,5
0.808047878551966,50,40,4
0.70779935323532,50,40,3
0.761809015939622,50,40,2
0.760694408019349,50,40,1
0.692670542296821,50,30,10
0.67275694262319,50,30,9
0.680384357607017,50,30,8
0.627932220182417,50,30,7
0.747785354197628,50,30,6
0.695038173500015,50,30,5
0.788723518955619,50,30,4
0.648326631115773,50,30,3
0.785335985080281,50,30,2
0.770004662412216,50,30,1
0.814665194140897,40,400,10
0.832364566379912,40,400,9
0.834587886538014,40,400,8
0.820405138339921,40,400,7
0.813546268309695,40,400,6
0.813531736805394,40,400,5
0.830024994187398,40,400,4
0.838133573587538,40,400,3
0.812308768248972,40,400,2
0.823786315820147,40,400,1
0.840807037346027,40,200,10
0.827158070373461,40,200,9
0.809932767335721,40,200,8
0.839893016636403,40,200,7
0.807558767237572,40,200,6
0.806761299504343,40,200,5
0.818876674682239,40,200,4
0.82204200814644,40,200,3
0.813226680653903,40,200,2
0.81118323280007,40,200,1
0.806030829840354,40,180,10
0.819057926200783,40,180,9
0.803757529948006,40,180,8
0.836454110263634,40,180,7
0.806265603884652,40,180,6
0.814190659428755,40,180,5
0.805383769669484,40,180,4
0.811585240156668,40,180,3
0.822056123787044,40,180,2
0.791473613660868,40,180,1
0.845223298474198,40,160,10
0.811824961426367,40,160,9
0.797590219441111,40,160,8
0.804437039259386,40,160,7
0.8077211554946,40,160,6
0.809237313560775,40,160,5
0.843991085204869,40,160,4
0.813646494085376,40,160,3
0.818406329224582,40,160,2
0.816304601218055,40,160,1
0.822369346380276,40,140,10
0.82281641182262,40,140,9
0.819285097148828,40,140,8
0.821987582631759,40,140,7
0.803366553477064,40,140,6
0.808731338785187,40,140,5
0.823328778958789,40,140,4
0.810785830537081,40,140,3
0.807886761663315,40,140,2
0.79629993880584,40,140,1
0.818056971344434,40,120,10
0.805295994261336,40,120,9
0.815400007550874,40,120,8
0.783540038509458,40,120,7
0.790722807414959,40,120,6
0.814135236153585,40,120,5
0.809264922414769,40,120,4
0.772841393891343,40,120,3
0.792205758079086,40,120,2
0.818366261619605,40,120,1
0.827426748876135,40,100,10
0.805495833259298,40,100,9
0.81449563780451,40,100,8
0.830296380532704,40,100,7
0.769980809893566,40,100,6
0.825298956982178,40,100,5
0.802555127134455,40,100,4
0.820772401783969,40,100,3
0.794624384415887,40,100,2
0.796026750590087,40,100,1
0.806145700690303,40,80,10
0.80651011996515,40,80,9
0.791728101333691,40,80,8
0.779367167079954,40,80,7
0.783870048924335,40,80,6
0.793654915890355,40,80,5
0.809429662891228,40,80,4
0.788021077675759,40,80,3
0.783966401491972,40,80,2
0.818096715913396,40,80,1
0.724600009495323,40,60,10
0.728548481539508,40,60,9
0.765354729462406,40,60,8
0.726601940211112,40,60,7
0.773572140720694,40,60,6
0.750181993701435,40,60,5
0.788689487094273,40,60,4
0.773825349348779,40,60,3
0.803646880554827,40,60,2
0.79482107993123,40,60,1
0.735548851693266,40,40,10
0.73016663173339,40,40,9
0.778950953678475,40,40,8
0.723197442884091,40,40,7
0.789052908943917,40,40,6
0.71768048028266,40,40,5
0.816450579393359,40,40,4
0.699909423002066,40,40,3
0.757507212168896,40,40,2
0.777959903254946,40,40,1
0.710992365299997,40,30,10
0.621550543462424,40,30,9
0.699842643587726,40,30,8
0.628489524142553,40,30,7
0.733707054812483,40,30,6
0.688980680129382,40,30,5
0.795057843051548,40,30,4
0.66668123670484,40,30,3
0.782181571815718,40,30,2
0.76459189323076,40,30,1
0.810945129039758,30,400,10
0.83464601255522,30,400,9
0.841214252499419,30,400,8
0.823761915833527,30,400,7
0.800235410369681,30,400,6
0.809070564984887,30,400,5
0.822541269472216,30,400,4
0.834355382469193,30,400,3
0.806149284611126,30,400,2
0.807912259230119,30,400,1
0.808239681994405,30,200,10
0.835249300682142,30,200,9
0.819373558423713,30,200,8
0.851812092064583,30,200,7
0.799823330225253,30,200,6
0.804105118515973,30,200,5
0.808981940423026,30,200,4
0.810472591647446,30,200,3
0.80620756476382,30,200,2
0.808185447445872,30,200,1
0.806941295036532,30,180,10
0.81504386266291,30,180,9
0.802434778625255,30,180,8
0.831466593371355,30,180,7
0.804507661650519,30,180,6
0.804066744542935,30,180,5
0.800963146201241,30,180,4
0.833751345656107,30,180,3
0.82520325203252,30,180,2
0.789765276685025,30,180,1
0.82209519115378,30,160,10
0.811262429281674,30,160,9
