"Species";"Pvalue";"Ctlmean";"Ctlmedian";"CRCmean";"CRCmedian";"SamplingCountForEachGroup";"pvalue";"adj.fdr.p";"Enrichment"
"Parvimonas_unclassified";6,80917359719129e-18;0,0027107;"0";0,23916295;"0.002615";"518";6,80917359719129e-18;4,28977936623051e-15;"CRC"
"Fusobacterium_nucleatum";3,89803860220129e-17;0,0015829;"0";0,0433822;"0";"348";3,89803860220129e-17;8,61429238836795e-15;"CRC"
"Peptostreptococcus_stomatis";4,10204399446093e-17;0,00122355;"0";0,147936;"0";"531";4,10204399446093e-17;8,61429238836795e-15;"CRC"
"Parvimonas_micra";1,3366052055742e-15;0,00060575;"0";0,0408983;"0";"515";1,3366052055742e-15;2,10515319877936e-13;"CRC"
"Gemella_morbillorum";2,06115438706948e-15;0,00056025;"0";0,034318;"0";"356";2,06115438706948e-15;2,59705452770754e-13;"CRC"
"Solobacterium_moorei";2,13284366771991e-12;0,0029802;"0";0,0519587;"0.00317";"638";2,13284366771991e-12;2,23948585110591e-10;"CRC"
"Porphyromonas_asaccharolytica";3,6691905928885e-11;0,00152295;"0";0,3362539;"0";"534";3,6691905928885e-11;3,30227153359965e-09;"CRC"
"Clostridium_symbiosum";8,80057459510686e-10;0,03525575;"0";0,13277595;"0.008175";"228";8,80057459510686e-10;6,93045249364665e-08;"CRC"
"Clostridium_hathewayi";7,58430143629364e-09;0,0301844;"0.00074";0,1481975;"0.0157";"208";7,58430143629364e-09;5,30901100540555e-07;"CRC"
"Porphyromonas_uenonis";3,99138777947956e-08;2,615e-05;"0";0,0123626;"0";"539";3,99138777947956e-08;2,51457430107212e-06;"CRC"
"Bacteroides_fragilis";6,92210989189895e-07;0,34148105;"0.006155";1,2890604;"0.090965";"96";6,92210989189895e-07;3,96448111990576e-05;"CRC"
"Porphyromonas_somerae";1,19188091839505e-06;4,775e-05;"0";0,10367085;"0";"538";1,19188091839505e-06;6,25737482157401e-05;"CRC"
"Ruminococcus_torques";4,11671274210209e-06;1,41321065;"0.766155";2,4899075;"1.46789";"615";4,11671274210209e-06;0,000199502232886486;"CRC"
"Prevotella_intermedia";4,66251502082203e-06;0;"0";0,10060995;"0";"551";4,66251502082203e-06;0,000209813175936991;"CRC"
"Clostridium_innocuum";7,94458073464668e-06;0,008837;"0";0,0033171;"0";"211";7,94458073464668e-06;0,000333672390855161;"Ctl"
"Peptostreptococcus_anaerobius";2,05087270601334e-05;0,0002194;"0";0,03976555;"0";"530";2,05087270601334e-05;0,000807531127992753;"CRC"
"Eikenella_corrodens";3,82283560231018e-05;6,085e-05;"0";0,01378915;"0";"286";3,82283560231018e-05;0,00141669789967966;"CRC"
"Lachnospiraceae_bacterium_3_1_57FAA_CT1";4,74784738469019e-05;0,04078435;"0";0,0829387;"0.00415";"394";4,74784738469019e-05;0,00166174658464157;"CRC"
"Campylobacter_ureolyticus";6,17581296090457e-05;2,6e-06;"0";0,0011553;"0";"173";6,17581296090457e-05;0,00204776956072099;"CRC"
"Roseburia_intestinalis";7,06146496422108e-05;1,05713065;"0.22327";0,71323825;"0.023755";"596";7,06146496422108e-05;0,00221022936414522;"Ctl"
"Anaerococcus_vaginalis";7,78039125172514e-05;7,895e-05;"0";0,00658985;"0";"65";7,78039125172514e-05;0,00221022936414522;"CRC"
"Clostridium_nexile";7,83682317846643e-05;0,0836745;"0";0,14139835;"0";"214";7,83682317846643e-05;0,00221022936414522;"CRC"
"Clostridium_bolteae";8,06909132941904e-05;0,21636095;"0.00817";0,42919185;"0.036925";"201";8,06909132941904e-05;0,00221022936414522;"CRC"
"Streptococcus_anginosus";8,7413155909491e-05;0,0314685;"0";0,05570355;"8.5e-05";"654";8,7413155909491e-05;0,00229459534262414;"CRC"
"Erysipelotrichaceae_bacterium_2_2_44A";9,13463379313818e-05;0,02804605;"0";0,01171145;"0.001575";"310";9,13463379313818e-05;0,00230192771587082;"Ctl"
"Clostridiales_bacterium_1_7_47FAA";0,000112094417258648;0,0075936;"0";0,02505935;"0.001635";"196";0,000112094417258648;0,00271613395665186;"CRC"
"Klebsiella_unclassified";0,000158032043093392;0,0091364;"0";0,03842005;"0";"386";0,000158032043093392;0,0036465136400675;"CRC"
"Peptostreptococcus_unclassified";0,000162067272891889;0,0012855;"0";0,0241177;"0";"532";0,000162067272891889;0,0036465136400675;"CRC"
"Anaerotruncus_colihominis";0,000234421661062393;0,0199513;"0";0,04202485;"0.003745";"72";0,000234421661062393;0,00509260849894164;"CRC"
"Streptococcus_constellatus";0,000267071741430446;0,0004229;"0";0,00278805;"0";"656";0,000267071741430446;0,00560850657003937;"CRC"
"Butyricimonas_synergistica";0,000281705225606618;0,0003059;"0";0,0012001;"0";"162";0,000281705225606618;0,00572497716555385;"CRC"
"Subdoligranulum_sp_4_3_54A2FAA";0,00029722490067187;0,1210237;"0";0,30679685;"0";"685";0,00029722490067187;0,00585161523197744;"CRC"
"Bacteroides_nordii";0,000318266527472372;0,0113665;"0";0,0516986;"0";"100";0,000318266527472372;0,00607599734265437;"CRC"
"Anaerococcus_obesiensis";0,000379087600968314;6,65e-06;"0";0,002161;"0";"62";0,000379087600968314;0,00702427025323641;"CRC"
"Granulicatella_adiacens";0,000491382346580587;0,00257245;"0";0,01374795;"0";"360";0,000491382346580587;0,00868422891826685;"CRC"
"Ruminococcus_gnavus";0,000513421561652824;0,70192695;"0.011665";1,02976535;"0.05637";"609";0,000513421561652824;0,00868422891826685;"CRC"
"Ruminococcaceae_bacterium_D16";0,000520938809271972;0,0292371;"0.00041";0,0768282;"0.00244";"603";0,000520938809271972;0,00868422891826685;"CRC"
"Clostridium_citroniae";0,000523810633165302;0,0094715;"0";0,0214967;"0.004155";"204";0,000523810633165302;0,00868422891826685;"CRC"
"Desulfovibrio_desulfuricans";0,000734787993545144;0,00827235;"0";0,0194666;"0";"265";0,000734787993545144;0,0118696522034216;"CRC"
"Escherichia_coli";0,00123618313732512;2,28003745;"0.07364";3,89593695;"0.24766";"316";0,00123618313732512;0,0194698844128706;"CRC"
"Campylobacter_showae";0,00139047974292736;0;"0";0,0003819;"0";"172";0,00139047974292736;0,0213659082449814;"CRC"
"Clostridium_asparagiforme";0,00205166794025088;0,01740675;"0";0,0418547;"0.00619";"198";0,00205166794025088;0,0307750191037632;"CRC"
"Fusobacterium_gonidiaformans";0,00228219221367447;0,0054147;"0";0,2209003;"0";"345";0,00228219221367447;0,0334367696422074;"CRC"
"Faecalibacterium_prausnitzii";0,00263470911586438;9,19270325;"6.324635";6,1509839;"4.61274";"340";0,00263470911586438;0,0377242441589673;"Ctl"
"Fusobacterium_mortiferum";0,00301658018200371;0,23279365;"0";0,11932625;"0";"346";0,00301658018200371;0,0417944722414772;"Ctl"
