"X1","X2","X3","X4","X5","X6","X7","X8","X9","X10","X11","X12","X13"
"CCIS11362406ST.4.0","CCIS88317640ST.4.0","SID31333","MMRS29805707ST.27.0.0","19.1641456937689","26.2761971719825","30.7189100320096","CCIS48725289ST.4.0","MMRS86958796ST.27.0.0","CCIS52370277ST.4.0","23.1028691196072","23.7099499338527","24.7752350084394"
"CCIS13047523ST.4.0","SZAXPI015272.108","MMRS29805707ST.27.0.0","SID31333","22.7852565909735","25.7262818965159","26.388711137045","CCIS48725289ST.4.0","CCIS41222843ST.4.0","MMRS86958796ST.27.0.0","24.039982078891","24.4426004954792","26.7615055946615"
"CCIS88317640ST.4.0","CCIS11362406ST.4.0","SID31333","CCIS13047523ST.4.0","19.1641456937689","26.2718031491655","31.9436274655384","MMRS86958796ST.27.0.0","CCIS17669415ST.4.0","CCIS48725289ST.4.0","24.1743628995926","24.2948543005777","24.8105699425043"
"CCMD68973846ST.11.0","CCIS88317640ST.4.0","MMRS64281551ST.27.0.0","SZAXPI015272.108","32.255716586117","32.6209340016898","33.5333710173448","MMRS18295921ST.27.0.0","MMRS86958796ST.27.0.0","CCIS48725289ST.4.0","27.5753250898081","27.8016080511488","28.6825652117833"
"CCMD99929634ST.11.0","SZAXPI015272.108","CCIS13047523ST.4.0","MMRS29805707ST.27.0.0","24.9786730004698","26.6697344376899","27.9260824896959","CCIS48725289ST.4.0","MMRS86958796ST.27.0.0","MMRS77321055ST.27.0.0","22.1600626800851","25.1101976989549","28.2168695148718"
"DRR127619","MMRS56137463ST.27.0.0","CCIS11362406ST.4.0","CCIS88317640ST.4.0","23.9889033178655","38.0896043134305","40.5753781565853","CCIS52370277ST.4.0","MMRS86958796ST.27.0.0","CCIS48725289ST.4.0","34.6277341725747","37.3338957846285","40.7679076671222"
"MMRS56137463ST.27.0.0","DRR127619","SZAXPI015272.108","CCIS11362406ST.4.0","23.9889033178655","32.9231473744051","37.5446083428979","CCIS52370277ST.4.0","MMRS86958796ST.27.0.0","CCIS48725289ST.4.0","31.0154381721394","31.134887735436","34.7866058751138"
"MMRS64281551ST.27.0.0","CCMD68973846ST.11.0","CCIS11362406ST.4.0","CCIS88317640ST.4.0","32.6209340016898","43.7274689073642","45.4981631825868","SID531248","MMRS18295921ST.27.0.0","MMRS86958796ST.27.0.0","18.2040835779201","18.5996484989475","42.5210988231831"
"SZAXPI015266.89","DRR127736","CCIS11362406ST.4.0","CCIS88317640ST.4.0","32.6936762131134","33.5323089525595","35.030049089162","CCIS48725289ST.4.0","MMRS86958796ST.27.0.0","CCIS52370277ST.4.0","30.0722044603185","31.3507519322886","32.9682249307284"
"CCIS17669415ST.4.0","CCIS88317640ST.4.0","SID31333","CCIS11362406ST.4.0","24.2948543005777","26.4489225583085","30.927866300175","CCIS41222843ST.4.0","MMRS77321055ST.27.0.0","MMRS86958796ST.27.0.0","27.2972892311453","31.9773913714768","33.3781629224483"
"CCIS41222843ST.4.0","CCIS13047523ST.4.0","SID31333","CCIS88317640ST.4.0","24.4426004954792","26.6232240523532","27.7662598274507","CCIS48725289ST.4.0","CCIS17669415ST.4.0","MMRS86958796ST.27.0.0","26.8198445174427","27.2972892311453","27.8609899788988"
"CCIS48725289ST.4.0","CCMD99929634ST.11.0","SZAXPI015272.108","CCIS11362406ST.4.0","22.1600626800851","22.3480991115061","23.1028691196072","MMRS86958796ST.27.0.0","CCIS52370277ST.4.0","MMRS77321055ST.27.0.0","15.8430596081029","19.745465649979","22.688433508711"
"CCMD79349503ST.11.0","CCIS11362406ST.4.0","CCMD99929634ST.11.0","CCIS88317640ST.4.0","30.4033531991276","31.2849306767412","33.0441925400047","CRC_MR_SBJ12C_17","CCIS48725289ST.4.0","MMRS86958796ST.27.0.0","19.7342326255368","28.978967776541","30.2367661822937"
"CRC_MR_SBJ12C_17","CCMD99929634ST.11.0","CCIS11362406ST.4.0","CCIS88317640ST.4.0","31.6510948076129","33.4797886488774","37.6844042677936","CCMD79349503ST.11.0","CCIS48725289ST.4.0","MMRS86958796ST.27.0.0","19.7342326255368","34.2213238396004","36.5953416792288"
"LILT_VF264_T017","SZAXPI015272.108","CCMD68973846ST.11.0","CCIS88317640ST.4.0","31.4476847953597","31.5790622905146","34.9591121252686","MMRS86958796ST.27.0.0","CCIS48725289ST.4.0","CCIS52370277ST.4.0","28.9504556405854","31.0511331534777","33.1621844081674"
"MMRS18295921ST.27.0.0","MMRS64281551ST.27.0.0","CCMD68973846ST.11.0","CCIS11362406ST.4.0","18.5996484989475","27.5753250898081","35.2656656833768","SID531248","CCIS52370277ST.4.0","CCIS48725289ST.4.0","23.0219533930138","32.2681434280793","33.8890085816331"
"MMRS44197125ST.27.0.0","MMRS29805707ST.27.0.0","CCIS88317640ST.4.0","CCIS11362406ST.4.0","30.7711907908209","34.5093401352735","34.9268613689493","CCIS52370277ST.4.0","CCIS48725289ST.4.0","MMRS86958796ST.27.0.0","34.4980216711828","35.7559927238512","36.0417736875948"
"SID531248","MMRS64281551ST.27.0.0","CCMD68973846ST.11.0","CCIS11362406ST.4.0","18.2040835779201","38.5022778772075","48.7342331898964","MMRS18295921ST.27.0.0","CCIS48725289ST.4.0","CCIS52370277ST.4.0","23.0219533930138","48.7204100682301","49.3477076749062"
