"Increasing.Rank.Min","Decreasing.Rank.Min","Increasing.Rank.Max","Decreasing.Rank.Max","Increasing.Rank.Average","Decreasing.Rank.Average","Decre.maxRank.P","Decre.aveRank.P","Decre.minRank.P","Species","Decre.minRank.P.FDR","Decre.maxRank.P.FDR","Decre.aveRank.P.FDR"
10000,2,10000,2,10000,2,0.0001999800019998,0.0001999800019998,0.0001999800019998,"Parvimonas_unclassified",0.000409645645122097,0.0958570809585708,0.0599106755991068
9999,1,10001,3,10000,2,0.0002999700029997,0.0001999800019998,9.99900009999e-05,"Fusobacterium_nucleatum",0.000205408030625509,0.0958570809585708,0.0599106755991068
9998,1,10001,4,9999.5,2.5,0.0003999600039996,0.00024997500249975,9.99900009999e-05,"Gemella_morbillorum",0.000205408030625509,0.0958570809585708,0.0599106755991068
9995,6,9996,7,9995.5,6.5,0.0006999300069993,0.00064993500649935,0.0005999400059994,"Peptostreptococcus_stomatis",0.00122544563725446,0.125812418758124,0.116825817418258
9988,14,9988,14,9988,14,0.0013998600139986,0.0013998600139986,0.0013998600139986,"Odoribacter_splanchnicus",0.00285127294635976,0.201299870012999,0.201299870012999
9980,22,9980,22,9980,22,0.0021997800219978,0.0021997800219978,0.0021997800219978,"Clostridium_symbiosum",0.00445532911497583,0.26360697263607,0.26360697263607
9945,22,9980,57,9962.5,39.5,0.0056994300569943,0.00394960503949605,0.0021997800219978,"Eubacterium_infirmum",0.00445532911497583,0.512236276372363,0.395410458954105
9949,35,9967,53,9958,44,0.0052994700529947,0.0043995600439956,0.0034996500349965,"Parvimonas_micra",0.00706811341337776,0.512236276372363,0.395410458954105
9934,66,9936,68,9935,67,0.0067993200679932,0.0066993300669933,0.0065993400659934,"Solobacterium_moorei",0.0132911078640035,0.543190125431901,0.53520203535202
9909,89,9913,93,9911,91,0.0092990700929907,0.0090990900909909,0.0088991100889911,"Ruminococcus_torques",0.017872793726214,0.666642426666424,0.643767441437674
9900,95,9907,102,9903.5,98.5,0.0101989801019898,0.00984901509849015,0.0094990500949905,"Granulicatella_adiacens",0.0190245599395492,0.666642426666424,0.643767441437674
9862,137,9865,140,9863.5,138.5,0.013998600139986,0.0138486151384862,0.0136986301369863,"Bacteroides_thetaiotaomicron",0.0272834212423633,0.838749458387495,0.661335143857877
9819,98,9904,183,9861.5,140.5,0.0182981701829817,0.014048595140486,0.0097990200979902,"Atopobium_rimae",0.0195708206957082,1,0.661335143857877
9701,1,10001,301,9851,151,0.0300969903009699,0.0150984901509849,9.99900009999e-05,"Prevotella_intermedia",0.000205408030625509,1,0.661335143857877
9590,1,10001,412,9795.5,206.5,0.0411958804119588,0.0206479352064794,9.99900009999e-05,"Eikenella_corrodens",0.000205408030625509,1,0.661335143857877
9544,1,10001,458,9772.5,229.5,0.0457954204579542,0.0229477052294771,9.99900009999e-05,"Porphyromonas_somerae",0.000205408030625509,1,0.661335143857877
