"Increasing.Rank.Min","Decreasing.Rank.Min","Increasing.Rank.Max","Decreasing.Rank.Max","Increasing.Rank.Average","Decreasing.Rank.Average","Decre.maxRank.P","Decre.aveRank.P","Decre.minRank.P","Species","Decre.minRank.P.FDR","Decre.maxRank.P.FDR","Decre.aveRank.P.FDR"
10001,1,10001,1,10001,1,9.99900009999e-05,9.99900009999e-05,9.99900009999e-05,"Parvimonas_micra",0.000236489508943842,0.017973202679732,0.017973202679732
10001,1,10001,1,10001,1,9.99900009999e-05,9.99900009999e-05,9.99900009999e-05,"Parvimonas_unclassified",0.000236489508943842,0.017973202679732,0.017973202679732
10001,1,10001,1,10001,1,9.99900009999e-05,9.99900009999e-05,9.99900009999e-05,"Peptostreptococcus_stomatis",0.000236489508943842,0.017973202679732,0.017973202679732
10001,1,10001,1,10001,1,9.99900009999e-05,9.99900009999e-05,9.99900009999e-05,"Solobacterium_moorei",0.000236489508943842,0.017973202679732,0.017973202679732
9999,3,9999,3,9999,3,0.0002999700029997,0.0002999700029997,0.0002999700029997,"Gemella_morbillorum",0.00070483147763655,0.035946405359464,0.035946405359464
9999,3,9999,3,9999,3,0.0002999700029997,0.0002999700029997,0.0002999700029997,"Porphyromonas_asaccharolytica",0.00070483147763655,0.035946405359464,0.035946405359464
9997,5,9997,5,9997,5,0.0004999500049995,0.0004999500049995,0.0004999500049995,"Clostridium_symbiosum",0.0011708926827187,0.0513520076563772,0.0513520076563772
9991,11,9991,11,9991,11,0.0010998900109989,0.0010998900109989,0.0010998900109989,"Lachnospiraceae_bacterium_5_1_57FAA",0.00256760038281886,0.0988526147385262,0.0988526147385262
9977,13,9989,25,9983,19,0.0024997500249975,0.0018998100189981,0.0012998700129987,"Porphyromonas_uenonis",0.00302461663218791,0.17973202679732,0.130714201307142
9964,1,10001,38,9982.5,19.5,0.0037996200379962,0.00194980501949805,9.99900009999e-05,"Porphyromonas_somerae",0.000236489508943842,0.210148215947636,0.130714201307142
9981,19,9983,21,9982,20,0.0020997900209979,0.001999800019998,0.0018998100189981,"Fusobacterium_nucleatum",0.00440633356019237,0.167749891677499,0.130714201307142
9969,33,9969,33,9969,33,0.0032996700329967,0.0032996700329967,0.0032996700329967,"Bacteroides_thetaiotaomicron",0.00760404728757893,0.209687364596874,0.185262243006469
9967,32,9970,35,9968.5,33.5,0.0034996500349965,0.00334966503349665,0.0031996800319968,"Granulicatella_adiacens",0.0073973310064492,0.209687364596874,0.185262243006469
9952,37,9965,50,9958.5,43.5,0.004999500049995,0.00434956504349565,0.0036996300369963,"Lactobacillus_salivarius",0.00849851117124709,0.256760038281886,0.218074859180749
9912,1,10001,90,9956.5,45.5,0.008999100089991,0.00454954504549545,9.99900009999e-05,"Actinomyces_cardiffensis",0.000236489508943842,0.431356864313569,0.218074859180749
9848,1,10001,154,9924.5,77.5,0.0153984601539846,0.00774922507749225,9.99900009999e-05,"Eikenella_corrodens",0.000236489508943842,0.503249675032497,0.348230801919808
9865,41,9961,137,9913,89,0.0136986301369863,0.0088991100889911,0.0040995900409959,"Anaerococcus_vaginalis",0.00938727783272628,0.492465753424658,0.376380009057918
9903,93,9909,99,9906,96,0.0098990100989901,0.0095990400959904,0.0092990700929907,"Clostridium_hathewayi",0.0212254964979693,0.444836766323368,0.383428323834283
9886,114,9888,116,9887,115,0.0115988401159884,0.0114988501149885,0.0113988601139886,"Desulfovibrio_desulfuricans",0.0258541969146934,0.483279449832795,0.412527794839564
9866,97,9905,136,9885.5,116.5,0.0135986401359864,0.0116488351164884,0.0096990300969903,"Clostridium_hylemonae",0.0220683627839748,0.492465753424658,0.412527794839564
9881,120,9882,121,9881.5,120.5,0.0120987901209879,0.012048795120488,0.011998800119988,"Lachnospiraceae_bacterium_3_1_57FAA_CT1",0.0270443175118225,0.483279449832795,0.412527794839564
9851,144,9858,151,9854.5,147.5,0.0150984901509849,0.0147485251474853,0.0143985601439856,"Bacteroides_fragilis",0.0321508221848623,0.503249675032497,0.482008617320086
9683,1,10001,319,9842,160,0.0318968103189681,0.015998400159984,9.99900009999e-05,"Prevotella_intermedia",0.000236489508943842,0.829334923650492,0.485276472352765
9679,1,10001,323,9840,162,0.0322967703229677,0.0161983801619838,9.99900009999e-05,"Clostridium_sp_KLE_1755",0.000236489508943842,0.829334923650492,0.485276472352765
9818,179,9823,184,9820.5,181.5,0.0183981601839816,0.0181481851814819,0.0178982101789821,"Clostridium_asparagiforme",0.039841526683245,0.575142485751425,0.521941805819418
9608,118,9884,394,9746,256,0.0393960603939606,0.0255974402559744,0.0117988201179882,"Peptostreptococcus_anaerobius",0.0266772064931872,0.936925662272483,0.677183894513774
9714,259,9743,288,9728.5,273.5,0.0287971202879712,0.0273472652734727,0.0258974102589741,"Eubacterium_limosum",0.0574698702969209,0.796351134117357,0.677183894513774
9720,277,9725,282,9722.5,279.5,0.0281971802819718,0.0279472052794721,0.0276972302769723,"Escherichia_coli",0.0610868361016659,0.796351134117357,0.677183894513774
9714,275,9727,288,9720.5,281.5,0.0287971202879712,0.0281471852814719,0.0274972502749725,"Subdoligranulum_sp_4_3_54A2FAA",0.0608323783006315,0.796351134117357,0.677183894513774
9574,143,9859,428,9716.5,285.5,0.0427957204279572,0.0285471452854715,0.0142985701429857,"Streptococcus_pasteurianus",0.0320270153669991,0.960749379607494,0.677183894513774
9561,143,9859,441,9710,292,0.0440955904409559,0.0291970802919708,0.0142985701429857,"Aggregatibacter_unclassified",0.0320270153669991,0.960749379607494,0.677183894513774
9378,1,10001,624,9689.5,312.5,0.0623937606239376,0.0312468753124688,9.99900009999e-05,"Campylobacter_ureolyticus",0.000236489508943842,1,0.693509358120065
9329,1,10001,673,9665,337,0.0672932706729327,0.0336966303369663,9.99900009999e-05,"Lactobacillus_reuteri",0.000236489508943842,1,0.693509358120065
9324,1,10001,678,9662.5,339.5,0.0677932206779322,0.0339466053394661,9.99900009999e-05,"Anaerococcus_obesiensis",0.000236489508943842,1,0.693509358120065
9656,338,9664,346,9660,342,0.0345965403459654,0.0341965803419658,0.0337966203379662,"Eggerthella_lenta",0.0740846647042613,0.85775560374997,0.693509358120065
9598,351,9651,404,9624.5,377.5,0.0403959604039596,0.0377462253774623,0.0350964903509649,"Klebsiella_unclassified",0.0767002327122911,0.936925662272483,0.693509358120065
9518,434,9568,484,9543,459,0.0483951604839516,0.0458954104589541,0.0433956604339566,"Turicibacter_sanguinis",0.0942642895831263,0.994174868227463,0.693509358120065
9521,438,9564,481,9542.5,459.5,0.0480951904809519,0.0459454054594541,0.0437956204379562,"Lactobacillus_gasseri",0.0948465394424413,0.994174868227463,0.693509358120065
9498,459,9543,504,9520.5,481.5,0.0503949605039496,0.0481451854814519,0.0458954104589541,"Turicibacter_unclassified",0.0990954958558198,1,0.693509358120065
9338,329,9673,664,9505.5,496.5,0.0663933606639336,0.0496450354964504,0.0328967103289671,"Lactobacillus_crispatus",0.072332522099472,1,0.693509358120065
8992,1,10001,1010,9496.5,505.5,0.100989901009899,0.0505449455054495,9.99900009999e-05,"Fusobacterium_necrophorum",0.000236489508943842,1,0.693509358120065
8973,1,10001,1029,9487,515,0.102889711028897,0.0514948505149485,9.99900009999e-05,"Pedobacter_unclassified",0.000236489508943842,1,0.693509358120065
8948,1,10001,1054,9474.5,527.5,0.105389461053895,0.0527447255274473,9.99900009999e-05,"Shigella_flexneri",0.000236489508943842,1,0.693509358120065
9337,394,9608,665,9472.5,529.5,0.0664933506649335,0.0529447055294471,0.0393960603939606,"Slackia_unclassified",0.0858356588583566,1,0.693509358120065
8923,1,10001,1079,9462,540,0.107889211078892,0.053994600539946,9.99900009999e-05,"Olsenella_uli",0.000236489508943842,1,0.693509358120065
9443,543,9459,559,9451,551,0.0558944105589441,0.0550944905509449,0.0542945705429457,"Clostridium_scindens",0.116530734986203,1,0.693509358120065
9440,551,9451,562,9445.5,556.5,0.0561943805619438,0.0556444355564444,0.0550944905509449,"Bilophila_unclassified",0.117895650911099,1,0.693509358120065
9428,562,9440,574,9434,568,0.0573942605739426,0.0567943205679432,0.0561943805619438,"Lachnospiraceae_bacterium_7_1_58FAA",0.119185131634329,1,0.693509358120065
9425,568,9434,577,9429.5,572.5,0.0576942305769423,0.0572442755724428,0.0567943205679432,"Bacteroides_nordii",0.120103283789268,1,0.693509358120065
9415,561,9441,587,9428,574,0.0586941305869413,0.0573942605739426,0.0560943905609439,"Bacteroides_salyersiae",0.119185131634329,1,0.693509358120065
9359,628,9374,643,9366.5,635.5,0.0642935706429357,0.0635436456354365,0.0627937206279372,"Veillonella_atypica",0.13086575400431,1,0.693509358120065
9287,562,9440,715,9363.5,638.5,0.0714928507149285,0.0638436156384362,0.0561943805619438,"Coriobacteriaceae_bacterium_phI",0.119185131634329,1,0.693509358120065
9330,628,9374,672,9352,650,0.0671932806719328,0.064993500649935,0.0627937206279372,"Rothia_dentocariosa",0.13086575400431,1,0.693509358120065
9283,585,9417,719,9350,652,0.0718928107189281,0.0651934806519348,0.0584941505849415,"Clostridium_methylpentosum",0.123335173813997,1,0.693509358120065
9217,769,9233,785,9225,777,0.0784921507849215,0.0776922307769223,0.0768923107689231,"Anaerotruncus_unclassified",0.158823372677059,1,0.693509358120065
8932,489,9513,1070,9222.5,779.5,0.106989301069893,0.0779422057794221,0.0488951104889511,"Lactobacillus_rhamnosus",0.105256240842982,1,0.693509358120065
9178,771,9231,824,9204.5,797.5,0.0823917608239176,0.0797420257974203,0.0770922907709229,"Eubacterium_infirmum",0.158823372677059,1,0.693509358120065
9184,793,9209,818,9196.5,805.5,0.0817918208179182,0.0805419458054195,0.0792920707929207,"Atopobium_parvulum",0.162888568286029,1,0.693509358120065
8384,1,10001,1618,9192.5,809.5,0.161783821617838,0.0809419058094191,9.99900009999e-05,"Slackia_exigua",0.000236489508943842,1,0.693509358120065
8370,1,10001,1632,9185.5,816.5,0.163183681631837,0.0816418358164184,9.99900009999e-05,"Aggregatibacter_segnis",0.000236489508943842,1,0.693509358120065
8369,1,10001,1633,9185,817,0.163283671632837,0.0816918308169183,9.99900009999e-05,"Haemophilus_influenzae",0.000236489508943842,1,0.693509358120065
8355,1,10001,1647,9178,824,0.164683531646835,0.0823917608239176,9.99900009999e-05,"Fusobacterium_varium",0.000236489508943842,1,0.693509358120065
9163,829,9173,839,9168,834,0.0838916108389161,0.0833916608339166,0.0828917108289171,"Bifidobacterium_dentium",0.169315738880657,1,0.693509358120065
9158,829,9173,844,9165.5,836.5,0.0843915608439156,0.0836416358364164,0.0828917108289171,"Erysipelotrichaceae_bacterium_6_1_45",0.169315738880657,1,0.693509358120065
9150,836,9166,852,9158,844,0.0851914808519148,0.0843915608439156,0.0835916408359164,"Alistipes_senegalensis",0.17026172736834,1,0.693509358120065
8276,1,10001,1726,9138.5,863.5,0.172582741725827,0.0863413658634137,9.99900009999e-05,"Cryptobacterium_curtum",0.000236489508943842,1,0.693509358120065
8937,680,9322,1065,9129.5,872.5,0.106489351064894,0.0872412758724128,0.067993200679932,"Prevotella_bivia",0.141292229158587,1,0.693509358120065
