"Species";"Pvalue";"Ctlmean";"Ctlmedian";"CRCmean";"CRCmedian";"SamplingCountForEachGroup";"pvalue";"adj.fdr.p";"Enrichment"
"Parvimonas_unclassified";5,32672685400907e-09;0,000904571428571429;"0";0,437139142857143;"0.0041";"518";5,32672685400907e-09;2,86045232060287e-06;"CRC"
"Fusobacterium_nucleatum";3,22781504827108e-08;0,00125471428571429;"0";0,0651397142857143;"0";"348";3,22781504827108e-08;6,26717357278889e-06;"CRC"
"Peptostreptococcus_stomatis";3,50121428647424e-08;0,000204;"0";0,119692857142857;"0.000125";"531";3,50121428647424e-08;6,26717357278889e-06;"CRC"
"Parvimonas_micra";3,59616040422934e-07;0,000178714285714286;"0";0,0724471428571429;"0";"515";3,59616040422934e-07;4,82784534267789e-05;"CRC"
"Gemella_morbillorum";1,31460959724564e-06;0,000193;"0";0,072915;"0";"356";1,31460959724564e-06;0,000141189070744182;"CRC"
"Solobacterium_moorei";1,05835823485847e-05;0,00281;"0";0,0796922857142857;"0.004535";"638";1,05835823485847e-05;0,000902705228601797;"CRC"
"Porphyromonas_asaccharolytica";1,17671072629657e-05;0,002607;"0";0,359745142857143;"0";"534";1,17671072629657e-05;0,000902705228601797;"CRC"
"Clostridium_symbiosum";4,51815370051263e-05;0,0950684285714286;"0";0,188339;"0.01886";"228";4,51815370051263e-05;0,0030328106714691;"CRC"
"Clostridium_hathewayi";6,82935431431355e-05;0,0513785714285714;"0";0,125451714285714;"0.013575";"208";6,82935431431355e-05;0,00407484807420708;"CRC"
"Subdoligranulum_sp_4_3_54A2FAA";0,0002171896101708;0,0658175714285714;"0";0,377508;"0";"685";0,0002171896101708;0,0107526539707176;"CRC"
"Bacteroides_fragilis";0,000220259206104085;0,308089428571429;"0";1,31727071428571;"0.085675";"96";0,000220259206104085;0,0107526539707176;"CRC"
"Ruminococcaceae_bacterium_D16";0,000262590363696125;0,0139304285714286;"0.00032";0,164891857142857;"0.00453";"603";0,000262590363696125;0,0117509187754016;"CRC"
"Lachnospiraceae_bacterium_3_1_57FAA_CT1";0,000372325546553895;0,0109674285714286;"0";0,119771571428571;"0.004345";"394";0,000372325546553895;0,0153799091153417;"CRC"
"Anaerotruncus_colihominis";0,000770890749671292;0,0351342857142857;"0";0,0510137142857143;"0.0076";"72";0,000770890749671292;0,0278199440136787;"CRC"
"Porphyromonas_uenonis";0,000777093408203317;0,000252285714285714;"0";0,021192;"0";"539";0,000777093408203317;0,0278199440136787;"CRC"
"Alistipes_sp_AP11";0,00112172789812433;0,031363;"0";0,141065;"0";"54";0,00112172789812433;0,0376479925807978;"CRC"
"Anaerococcus_obesiensis";0,00204856375093167;0;"0";0,003586;"0";"62";0,00204856375093167;0,0605058336948491;"Nodiff"
"Campylobacter_ureolyticus";0,00204856375093167;0;"0";0,00401771428571429;"0";"173";0,00204856375093167;0,0605058336948491;"Nodiff"
"Lachnospiraceae_bacterium_7_1_58FAA";0,00214080230950118;0,0443354285714286;"0.01377";0,0756497142857143;"0.031815";"399";0,00214080230950118;0,0605058336948491;"Nodiff"
"Leptotrichia_unclassified";0,00306318979458296;0,000520857142857143;"0";0,005586;"0";"450";0,00306318979458296;0,0822466459845525;"Nodiff"
"Streptococcus_australis";0,00328395021589431;0,0323527142857143;"0.01026";0,0140552857142857;"0";"655";0,00328395021589431;0,0839752983778688;"Nodiff"
"Clostridium_nexile";0,0037705137764922;0,045908;"0";0,259955285714286;"0";"214";0,0037705137764922;0,0920348135443778;"Nodiff"
"Escherichia_unclassified";0,00434485099138235;0,301725285714286;"0.003485";0,325832285714286;"0.03132";"318";0,00434485099138235;0,101442825320536;"Nodiff"
"Ruminococcus_sp_5_1_39BFAA";0,00567191259536261;2,968874;"0.52349";1,32180671428571;"0.215365";"613";0,00567191259536261;0,126909044321238;"Nodiff"
"Eubacterium_eligens";0,00686702570693783;2,06552014285714;"0.732075";0,856673;"0.061745";"326";0,00686702570693783;0,144035831665211;"Nodiff"
"Prevotella_intermedia";0,0069738019055782;0;"0";0,166081714285714;"0";"551";0,0069738019055782;0,144035831665211;"Nodiff"
"Lachnospiraceae_bacterium_1_1_57FAA";0,0076769022527696;0,645692428571429;"0.06522";0,129881428571429;"0.006195";"389";0,0076769022527696;0,149366409414484;"Nodiff"
"Peptostreptococcus_anaerobius";0,00778819266965652;0,000563;"0";0,0929052857142857;"0";"530";0,00778819266965652;0,149366409414484;"Nodiff"
"Fusobacterium_periodonticum";0,00838192331753886;0,000115142857142857;"0";0,001797;"0";"349";0,00838192331753886;0,155210097293737;"Nodiff"
"Eubacterium_biforme";0,00921284207721796;0,317731714285714;"0";0,647499285714286;"0.002895";"322";0,00921284207721796;0,164909873182201;"Nodiff"
"Desulfovibrio_desulfuricans";0,0100635745100343;0,00164828571428571;"0";0,016159;"0";"265";0,0100635745100343;0,174327081028659;"Nodiff"
"Streptococcus_constellatus";0,0125161859689004;0,000492285714285714;"0";0,00269257142857143;"0";"656";0,0125161859689004;0,198803791242331;"Nodiff"
"Selenomonas_sputigena";0,0128443076296899;0;"0";0,00377971428571429;"0";"627";0,0128443076296899;0,198803791242331;"Nodiff"
"Slackia_exigua";0,0128443076296899;0;"0";0,000732142857142857;"0";"634";0,0128443076296899;0,198803791242331;"Nodiff"
"Anaerococcus_vaginalis";0,0129574165614182;2,41428571428571e-05;"0";0,0183804285714286;"0";"65";0,0129574165614182;0,198803791242331;"Nodiff"
"Clostridium_sp_KLE_1755";0,0160982456192212;0,005212;"0";0,0515467142857143;"0";"224";0,0160982456192212;0,227680535135412;"Nodiff"
"Pseudomonas_aeruginosa";0,0160982456192212;0,000113714285714286;"0";0,0333591428571429;"0";"579";0,0160982456192212;0,227680535135412;"Nodiff"
"Anaerotruncus_unclassified";0,0162312999840818;0,0217544285714286;"0.00198";0,0474117142857143;"0.01731";"73";0,0162312999840818;0,227680535135412;"Nodiff"
"Peptoniphilus_harei";0,0165354578589964;6,68571428571429e-05;"0";0,00887228571428571;"0";"527";0,0165354578589964;0,227680535135412;"Nodiff"
"Streptococcus_anginosus";0,0176532829680029;0,011132;"0";0,0299088571428571;"0.00046";"654";0,0176532829680029;0,236995323845439;"Nodiff"
"Pseudoflavonifractor_capillosus";0,0205307288132652;0,010067;"0";0,0129821428571429;"0.00195";"578";0,0205307288132652;0,268902472505449;"Nodiff"
"Eubacterium_hallii";0,0216405541303567;0,811902428571429;"0.225775";0,683087285714286;"0.10518";"327";0,0216405541303567;0,27049884875763;"Nodiff"
"Streptococcus_infantis";0,0216600567906482;0,0141765714285714;"0.002425";0,00376242857142857;"0";"663";0,0216600567906482;0,27049884875763;"Nodiff"
"Haemophilus_influenzae";0,0236979164599029;0;"0";0,000766285714285714;"0";"365";0,0236979164599029;0,276647416064519;"Nodiff"
"Lactobacillus_reuteri";0,0236979164599029;0;"0";0,00438642857142857;"0";"431";0,0236979164599029;0,276647416064519;"Nodiff"
"Porphyromonas_endodontalis";0,0236979164599029;0;"0";0,0172472857142857;"0";"536";0,0236979164599029;0,276647416064519;"Nodiff"
"Ruminococcus_obeum";0,0253549918424237;0,783122285714286;"0.431765";0,528513142857143;"0.33535";"611";0,0253549918424237;0,289694268497479;"Nodiff"
"Peptostreptococcus_unclassified";0,0263343455157296;0,000328714285714286;"0";0,0476437142857143;"0";"532";0,0263343455157296;0,294615490457225;"Nodiff"
"Ruminococcus_champanellensis";0,0280686771128274;0,109124;"0";0,000600571428571429;"0";"607";0,0280686771128274;0,305519951434628;"Nodiff"
"Granulicatella_unclassified";0,0290931172446916;0,00779728571428571;"0.00314";0,007411;"0";"362";0,0290931172446916;0,305519951434628;"Nodiff"
"Clostridium_innocuum";0,0295753858855098;0,00127614285714286;"0";0,00567185714285714;"0";"211";0,0295753858855098;0,305519951434628;"Nodiff"
"Eikenella_corrodens";0,0295847997664817;0,000264714285714286;"0";0,00292514285714286;"0";"286";0,0295847997664817;0,305519951434628;"Nodiff"
"Catenibacterium_mitsuokai";0,0317020086633651;0,305325285714286;"0";0,221593428571429;"0";"181";0,0317020086633651;0,321207144381643;"Nodiff"
"Parasutterella_excrementihominis";0,0323828258214022;0,0316017142857143;"0";0,0230257142857143;"0";"514";0,0323828258214022;0,322029212335055;"Nodiff"
"Streptococcus_salivarius";0,0333196195716886;0,886969857142857;"0.13212";0,293172142857143;"0.064645";"676";0,0333196195716886;0,325320649272669;"Nodiff"
"Lactobacillus_fermentum";0,0389079488864648;0,227959;"0";0,00305;"0";"416";0,0389079488864648;0,36021240037764;"Nodiff"
"Bacteroides_clarus";0,0400436613281952;0,133575857142857;"0";0,0176974285714286;"0";"88";0,0400436613281952;0,36021240037764;"Nodiff"
"Clostridium_hylemonae";0,0413177147114455;0,000713142857142857;"0";0,00320785714285714;"0";"210";0,0413177147114455;0,36021240037764;"Nodiff"
"Flavonifractor_plautii";0,0417112322063731;0,0357772857142857;"0.005235";0,0749765714285714;"0.00991";"343";0,0417112322063731;0,36021240037764;"Nodiff"
"Clostridium_asparagiforme";0,0438911100813216;0,027004;"0";0,0489601428571429;"0.00632";"198";0,0438911100813216;0,36021240037764;"Nodiff"
"Ruminococcus_torques";0,0439024835246105;1,66703671428571;"0.984715";2,330649;"1.435585";"615";0,0439024835246105;0,36021240037764;"Nodiff"
"Aggregatibacter_segnis";0,0439620151469884;0;"0";0,00226628571428571;"0";"42";0,0439620151469884;0,36021240037764;"Nodiff"
"Porphyromonas_somerae";0,0439620151469884;0;"0";0,0316108571428571;"0";"538";0,0439620151469884;0,36021240037764;"Nodiff"
"Streptococcus_gallolyticus";0,0439620151469884;0;"0";0,00209328571428571;"0";"660";0,0439620151469884;0,36021240037764;"Nodiff"
"Lactobacillus_casei_paracasei";0,0440860394002809;0,0202112857142857;"0";0,000776285714285714;"0";"411";0,0440860394002809;0,36021240037764;"Nodiff"
"Eggerthella_sp_1_3_56FAA";0,0442719151302127;0,0749454285714286;"0";0,00453385714285714;"0";"281";0,0442719151302127;0,36021240037764;"Nodiff"
"Oscillibacter_unclassified";0,0477087500728445;0,417688571428571;"0.17956";0,730472;"0.33352";"499";0,0477087500728445;0,380700410825681;"Nodiff"
"Alistipes_senegalensis";0,0482078732516691;0,0129417142857143;"6e-05";0,0435778571428571;"0.001805";"52";0,0482078732516691;0,380700410825681;"Nodiff"
