"Increasing.Rank.Min","Decreasing.Rank.Min","Increasing.Rank.Max","Decreasing.Rank.Max","Increasing.Rank.Average","Decreasing.Rank.Average","Decre.maxRank.P","Decre.aveRank.P","Decre.minRank.P","Species","Decre.minRank.P.FDR","Decre.maxRank.P.FDR","Decre.aveRank.P.FDR"
10001,1,10001,1,10001,1,9.99900009999e-05,9.99900009999e-05,9.99900009999e-05,"Parvimonas_unclassified",0.000226078021128705,0.0359464053594641,0.0359464053594641
10001,1,10001,1,10001,1,9.99900009999e-05,9.99900009999e-05,9.99900009999e-05,"Peptostreptococcus_stomatis",0.000226078021128705,0.0359464053594641,0.0359464053594641
10000,2,10000,2,10000,2,0.0001999800019998,0.0001999800019998,0.0001999800019998,"Parvimonas_micra",0.000449330066993301,0.0479285404792854,0.0449330066993301
9999,2,10000,3,9999.5,2.5,0.0002999700029997,0.00024997500249975,0.0001999800019998,"Gemella_morbillorum",0.000449330066993301,0.0539196080391961,0.0449330066993301
9984,18,9984,18,9984,18,0.0017998200179982,0.0017998200179982,0.0017998200179982,"Solobacterium_moorei",0.00401885277310778,0.239642702396427,0.220813632922422
9982,18,9984,20,9983,19,0.001999800019998,0.0018998100189981,0.0017998200179982,"Bacteroides_fragilis",0.00401885277310778,0.239642702396427,0.220813632922422
9978,19,9983,24,9980.5,21.5,0.0023997600239976,0.00214978502149785,0.0018998100189981,"Fusobacterium_nucleatum",0.0042289888658193,0.246489636750611,0.220813632922422
9893,1,10001,109,9947,55,0.0108989101089891,0.0054994500549945,9.99900009999e-05,"Prevotella_intermedia",0.000226078021128705,0.725463817254638,0.494263073692631
9931,63,9939,71,9935,67,0.0070992900709929,0.0066993300669933,0.0062993700629937,"Peptostreptococcus_unclassified",0.0139791576397916,0.607094846070948,0.514033596640336
9926,67,9935,76,9930.5,71.5,0.0075992400759924,0.00714928507149285,0.0066993300669933,"Porphyromonas_asaccharolytica",0.0148209794405175,0.607094846070948,0.514033596640336
9891,107,9895,111,9893,109,0.0110988901109889,0.0108989101089891,0.0106989301069893,"Clostridium_hathewayi",0.0235245588590988,0.725463817254638,0.704718373563818
9852,128,9874,150,9863,139,0.014998500149985,0.0138986101389861,0.0127987201279872,"candidate_division_TM7_single_cell_isolate_TM7c",0.0280557310122646,0.898660133986601,0.704718373563818
9678,104,9898,324,9788,214,0.0323967603239676,0.0213978602139786,0.0103989601039896,"candidate_division_TM7_single_cell_isolate_TM7b",0.0229351297999034,1,0.704718373563818
9780,211,9791,222,9785.5,216.5,0.0221977802219778,0.0216478352164784,0.0210978902109789,"Granulicatella_adiacens",0.0461075472999813,1,0.704718373563818
9531,1,10001,471,9766,236,0.0470952904709529,0.0235976402359764,9.99900009999e-05,"Anaerococcus_vaginalis",0.000226078021128705,1,0.704718373563818
9748,250,9752,254,9750,252,0.0253974602539746,0.0251974802519748,0.024997500249975,"Clostridium_symbiosum",0.0541361526497953,1,0.704718373563818
9739,259,9743,263,9741,261,0.0262973702629737,0.0260973902609739,0.0258974102589741,"Lachnospiraceae_bacterium_2_1_58FAA",0.0559166305591663,1,0.704718373563818
9698,222,9780,304,9739,263,0.0303969603039696,0.0262973702629737,0.0221977802219778,"Megamonas_hypermegale",0.0483642544836425,1,0.704718373563818
9704,276,9726,298,9715,287,0.0297970202979702,0.0286971302869713,0.0275972402759724,"Megamonas_unclassified",0.0594084304144436,1,0.704718373563818
9646,297,9705,356,9675.5,326.5,0.0355964403559644,0.0326467353264674,0.0296970302969703,"Eubacterium_infirmum",0.0637378053239452,1,0.704718373563818
9671,326,9676,331,9673.5,328.5,0.0330966903309669,0.0328467153284672,0.0325967403259674,"Lachnospiraceae_bacterium_1_1_57FAA",0.0697531437332457,1,0.704718373563818
9590,404,9598,412,9594,408,0.0411958804119588,0.0407959204079592,0.0403959604039596,"Lachnospiraceae_bacterium_3_1_57FAA_CT1",0.0851750602065893,1,0.704718373563818
9564,397,9605,438,9584.5,417.5,0.0437956204379562,0.0417458254174583,0.0396960303969603,"Catenibacterium_mitsuokai",0.0839454289865131,1,0.704718373563818
9556,408,9594,446,9575,427,0.0445955404459554,0.0426957304269573,0.0407959204079592,"Turicibacter_unclassified",0.0857668619103002,1,0.704718373563818
9565,427,9575,437,9570,432,0.0436956304369563,0.0431956804319568,0.0426957304269573,"Bacteroides_eggerthii",0.0886747060164301,1,0.704718373563818
9562,428,9574,440,9568,434,0.043995600439956,0.0433956604339566,0.0427957204279572,"Roseburia_inulinivorans",0.0886747060164301,1,0.704718373563818
9538,412,9590,464,9564,438,0.0463953604639536,0.0437956204379562,0.0411958804119588,"Eubacterium_cylindroides",0.0858546029455026,1,0.704718373563818
9509,411,9591,493,9550,452,0.0492950704929507,0.0451954804519548,0.0410958904109589,"Turicibacter_sanguinis",0.0858546029455026,1,0.704718373563818
9539,461,9541,463,9540,462,0.0462953704629537,0.0461953804619538,0.0460953904609539,"Streptococcus_mitis_oralis_pneumoniae",0.0952373153489249,1,0.704718373563818
9275,241,9761,727,9518,484,0.0726927307269273,0.0483951604839516,0.0240975902409759,"Peptostreptococcus_anaerobius",0.0523449165657452,1,0.704718373563818
9474,514,9488,528,9481,521,0.0527947205279472,0.0520947905209479,0.0513948605139486,"Streptococcus_anginosus",0.105579727741512,1,0.704718373563818
8961,1,10001,1041,9481,521,0.104089591040896,0.0520947905209479,9.99900009999e-05,"Actinomyces_cardiffensis",0.000226078021128705,1,0.704718373563818
8952,1,10001,1050,9476.5,525.5,0.104989501049895,0.0525447455254475,9.99900009999e-05,"Clostridium_celatum",0.000226078021128705,1,0.704718373563818
9456,538,9464,546,9460,542,0.0545945405459454,0.0541945805419458,0.0537946205379462,"Bacteroides_nordii",0.110194678537844,1,0.704718373563818
8903,1,10001,1099,9452,550,0.10988901109889,0.054994500549945,9.99900009999e-05,"Pseudomonas_aeruginosa",0.000226078021128705,1,0.704718373563818
9231,368,9634,771,9432.5,569.5,0.0770922907709229,0.0569443055694431,0.0367963203679632,"Pyramidobacter_piscolens",0.0780429331698099,1,0.704718373563818
9183,359,9643,819,9413,589,0.0818918108189181,0.0588941105889411,0.0358964103589641,"Burkholderia_unclassified",0.0763595238109325,1,0.704718373563818
9401,586,9416,601,9408.5,593.5,0.0600939906009399,0.0593440655934407,0.0585941405859414,"Peptostreptococcaceae_noname_unclassified",0.119009003054497,1,0.704718373563818
9219,410,9592,783,9405.5,596.5,0.0782921707829217,0.0596440355964404,0.040995900409959,"Scardovia_unclassified",0.0858546029455026,1,0.704718373563818
9393,602,9400,609,9396.5,605.5,0.0608939106089391,0.0605439456054395,0.0601939806019398,"Ruminococcus_torques",0.12191400578252,1,0.704718373563818
9384,612,9390,618,9387,615,0.0617938206179382,0.0614938506149385,0.0611938806119388,"Coprococcus_catus",0.123591011685348,1,0.704718373563818
9375,616,9386,627,9380.5,621.5,0.0626937306269373,0.0621437856214379,0.0615938406159384,"Bacteroides_coprocola",0.123703830734245,1,0.704718373563818
9316,676,9326,686,9321,681,0.0685931406859314,0.0680931906809319,0.0675932406759324,"Dorea_formicigenerans",0.134624764670347,1,0.704718373563818
9315,678,9324,687,9319.5,682.5,0.0686931306869313,0.0682431756824318,0.0677932206779322,"Eggerthella_unclassified",0.134650070904512,1,0.704718373563818
8941,349,9653,1061,9297,705,0.106089391060894,0.0704929507049295,0.0348965103489651,"Lactobacillus_sanfranciscensis",0.0744527921095131,1,0.704718373563818
9098,644,9358,904,9228,774,0.0903909609039096,0.0773922607739226,0.0643935606439356,"Lactobacillus_curvatus",0.128608250286082,1,0.704718373563818
9030,577,9425,972,9227.5,774.5,0.0971902809719028,0.0774422557744226,0.0576942305769423,"Eikenella_corrodens",0.11784702211597,1,0.704718373563818
8413,1,10001,1589,9207,795,0.158884111588841,0.0794920507949205,9.99900009999e-05,"Fusobacterium_necrophorum",0.000226078021128705,1,0.704718373563818
8911,506,9496,1091,9203.5,798.5,0.109089091090891,0.0798420157984202,0.0505949405059494,"Porphyromonas_uenonis",0.10423427571283,1,0.704718373563818
8370,1,10001,1632,9185.5,816.5,0.163183681631837,0.0816418358164184,9.99900009999e-05,"Anaerococcus_obesiensis",0.000226078021128705,1,0.704718373563818
8347,1,10001,1655,9174,828,0.165483451654835,0.0827917208279172,9.99900009999e-05,"Aggregatibacter_segnis",0.000226078021128705,1,0.704718373563818
8342,1,10001,1660,9171.5,830.5,0.165983401659834,0.083041695830417,9.99900009999e-05,"Sutterella_parvirubra",0.000226078021128705,1,0.704718373563818
8310,1,10001,1692,9155.5,846.5,0.169183081691831,0.0846415358464154,9.99900009999e-05,"Bacteroides_salanitronis",0.000226078021128705,1,0.704718373563818
8308,1,10001,1694,9154.5,847.5,0.169383061693831,0.0847415258474153,9.99900009999e-05,"Synergistes_sp_3_1_syn1",0.000226078021128705,1,0.704718373563818
8304,1,10001,1698,9152.5,849.5,0.16978302169783,0.0849415058494151,9.99900009999e-05,"Fusobacterium_varium",0.000226078021128705,1,0.704718373563818
8301,1,10001,1701,9151,851,0.17008299170083,0.0850914908509149,9.99900009999e-05,"Fusobacterium_periodonticum",0.000226078021128705,1,0.704718373563818
8299,1,10001,1703,9150,852,0.17028297170283,0.0851914808519148,9.99900009999e-05,"Filifactor_alocis",0.000226078021128705,1,0.704718373563818
8260,1,10001,1742,9130.5,871.5,0.174182581741826,0.0871412858714129,9.99900009999e-05,"Morganella_morganii",0.000226078021128705,1,0.704718373563818
9101,889,9113,901,9107,895,0.0900909909009099,0.0894910508949105,0.0888911108889111,"Bilophila_unclassified",0.174149070106613,1,0.704718373563818
9064,882,9120,938,9092,910,0.0937906209379062,0.090990900909909,0.0881911808819118,"Bacteroides_salyersiae",0.173249888125942,1,0.704718373563818
9056,930,9072,946,9064,938,0.0945905409459054,0.0937906209379062,0.092990700929907,"Holdemania_filiformis",0.18089785616033,1,0.704718373563818
