"Species";"Pvalue";"Ctlmean";"Ctlmedian";"CRCmean";"CRCmedian";"SamplingCountForEachGroup";"pvalue";"adj.fdr.p";"Enrichment"
"Porphyromonas_asaccharolytica";1,76515934465433e-06;0;"0";0,4757054;"0";"534";1,76515934465433e-06;0,000866782260946942;"CRC"
"Parvimonas_unclassified";3,43961214661485e-06;0,00059;"0";0,0424862;"0.00174";"518";3,43961214661485e-06;0,000866782260946942;"CRC"
"Gemella_morbillorum";6,49010888992297e-06;2,92e-05;"0";0,0152014;"0";"356";6,49010888992297e-06;0,00109033829350706;"CRC"
"Parvimonas_micra";3,35838863366976e-05;0,000112;"0";0,0070778;"0";"515";3,35838863366976e-05;0,0042315696784239;"CRC"
"Porphyromonas_uenonis";6,5047562222275e-05;0;"0";0,0106192;"0";"539";6,5047562222275e-05;0,00606900233453874;"CRC"
"Peptostreptococcus_stomatis";7,22500277921278e-05;0,0001266;"0";0,0375794;"0";"531";7,22500277921278e-05;0,00606900233453874;"CRC"
"Solobacterium_moorei";0,000307958184001718;0,0019638;"0";0,0188372;"0.002155";"638";0,000307958184001718;0,0221729892481237;"CRC"
"Fusobacterium_nucleatum";0,000366460600370177;0,0019114;"0";0,0154954;"0";"348";0,000366460600370177;0,0230870178233212;"CRC"
"Lachnospiraceae_bacterium_8_1_57FAA";0,000676569275571336;0,1146676;"0";0,0052392;"0";"400";0,000676569275571336;0,0378878794319948;"Ctl"
"Pseudoflavonifractor_capillosus";0,0010278210424396;0,0118444;"0";0,0132408;"0.00518";"578";0,0010278210424396;0,0518021805389558;"Nodiff"
"Peptostreptococcus_unclassified";0,00123054846827886;6,3e-05;"0";0,0080524;"0";"532";0,00123054846827886;0,056381493455686;"Nodiff"
"Anaerococcus_vaginalis";0,00182346989838934;0;"0";0,0205056;"0";"65";0,00182346989838934;0,0765857357323523;"Nodiff"
"Clostridium_leptum";0,00219453166293034;0,056923;"0.024175";0,3960494;"0.047955";"212";0,00219453166293034;0,0850803044705301;"Nodiff"
"Escherichia_coli";0,00247472115388245;1,219572;"0.02682";4,2813224;"0.29509";"316";0,00247472115388245;0,0890899615397682;"Nodiff"
"Olsenella_unclassified";0,00294098630650034;0,001313;"0";0,0074064;"0";"494";0,00294098630650034;0,0988171398984114;"Nodiff"
"Porphyromonas_somerae";0,00346244582563733;0;"0";0,0505978;"0";"538";0,00346244582563733;0,104484001941097;"Nodiff"
"Bacteroides_ovatus";0,0036201024592097;2,1587908;"0.45113";1,0616732;"0.07059";"102";0,0036201024592097;0,104484001941097;"Nodiff"
"Eubacterium_infirmum";0,00373157149789633;8,2e-06;"0";0,0009976;"0";"328";0,00373157149789633;0,104484001941097;"Nodiff"
"Scardovia_unclassified";0,00502682845600215;0,0003274;"0";0,0016726;"0";"620";0,00502682845600215;0,133343239043425;"Nodiff"
"Clostridium_symbiosum";0,00555260188594258;0,0186072;"0";0,135855;"0.006415";"228";0,00555260188594258;0,139925567525753;"Nodiff"
"Granulicatella_adiacens";0,00607133091442988;0,0027556;"0";0,0086428;"0";"360";0,00607133091442988;0,143603882806841;"Nodiff"
"Ruminococcus_torques";0,00626842345585416;1,7515676;"0.664805";2,498957;"1.46231";"615";0,00626842345585416;0,143603882806841;"Nodiff"
"Actinomyces_turicensis";0,00777492093117135;9,52e-05;"0";0,0413418;"0";"34";0,00777492093117135;0,170372180404798;"Nodiff"
"Clostridium_hathewayi";0,00840525170989105;0,0819374;"0.00505";0,1131888;"0.021995";"208";0,00840525170989105;0,171762883271412;"Nodiff"
"Ruminococcaceae_bacterium_D16";0,00851998428925656;0,0523492;"0";0,040147;"0.00349";"603";0,00851998428925656;0,171762883271412;"Nodiff"
"Peptostreptococcus_anaerobius";0,0122846943084793;0;"0";0,012288;"0";"530";0,0122846943084793;0,22931429375828;"Nodiff"
"Synergistes_sp_3_1_syn1";0,0122846943084793;0;"0";0,0710506;"0";"691";0,0122846943084793;0,22931429375828;"Nodiff"
"Subdoligranulum_variabile";0,0146857693355364;0,002561;"0";0,004065;"0.00069";"687";0,0146857693355364;0,264343848039655;"Nodiff"
"Pantoea_unclassified";0,0158502098249264;0,0004578;"0";0,0046464;"0";"502";0,0158502098249264;0,275465715578031;"Nodiff"
"Lachnospiraceae_bacterium_3_1_46FAA";0,0166808938578154;0,069503;"0.012175";0,1563066;"0.060995";"393";0,0166808938578154;0,280239016811299;"Nodiff"
"Streptococcus_anginosus";0,0174937298002702;0,0395012;"0";0,0789294;"0";"654";0,0174937298002702;0,284414187720522;"Nodiff"
"Anaerotruncus_unclassified";0,0186471050021103;0,0251036;"0.00473";0,1719958;"0.02642";"73";0,0186471050021103;0,293691903783237;"Nodiff"
"Ruminococcus_bromii";0,0206455315344714;3,3667502;"0.028535";4,5475258;"1.43032";"605";0,0206455315344714;0,297903794067379;"Nodiff"
"Streptococcus_tigurinus";0,0211002866476427;0,0014466;"0";0,001593;"0";"682";0,0211002866476427;0,297903794067379;"Nodiff"
"Oxalobacter_formigenes";0,0215423192899698;0,0084834;"0";0,0143956;"0";"501";0,0215423192899698;0,297903794067379;"Nodiff"
"Anaerococcus_obesiensis";0,0230520793028329;0;"0";0,0029442;"0";"62";0,0230520793028329;0,297903794067379;"Nodiff"
"Anaerofustis_stercorihominis";0,0230520793028329;0;"0";0,0087462;"0";"66";0,0230520793028329;0,297903794067379;"Nodiff"
"Megasphaera_micronuciformis";0,0230520793028329;0,0143474;"0";0;"0";"472";0,0230520793028329;0,297903794067379;"Nodiff"
"Slackia_piriformis";0,0230520793028329;0;"0";0,0045188;"0";"635";0,0230520793028329;0,297903794067379;"Nodiff"
"Eubacterium_cylindroides";0,0257335438876097;0,0223352;"0";0,1170068;"0";"324";0,0257335438876097;0,324242652983882;"Nodiff"
"Prevotella_stercorea";0,0267831104354422;0,0656412;"0";0,3316604;"0";"566";0,0267831104354422;0,329236284377143;"Nodiff"
"Clostridium_hylemonae";0,0290076434399396;0,0006752;"0";0,0129502;"0";"210";0,0290076434399396;0,348091721279275;"Nodiff"
"Akkermansia_muciniphila";0,0360708216407541;1,57114;"0.07433";3,7768572;"0.377365";"45";0,0360708216407541;0,422783583882327;"Nodiff"
"Streptococcus_mitis_oralis_pneumoniae";0,0400129582462432;0,0125292;"0";0,0108636;"0.00219";"668";0,0400129582462432;0,456552143668946;"Nodiff"
"Pseudomonas_aeruginosa";0,0407635842561559;0,000386;"0";0,058751;"0";"579";0,0407635842561559;0,456552143668946;"Nodiff"
"Morganella_morganii";0,0433493250463275;0;"0";0,647843;"0";"482";0,0433493250463275;0,457660709769346;"Nodiff"
"Porphyromonas_bennonis";0,0433493250463275;0;"0";0,0016674;"0";"535";0,0433493250463275;0,457660709769346;"Nodiff"
"Alistipes_sp_AP11";0,0435867342637472;0,0576176;"0";0,194821;"0";"54";0,0435867342637472;0,457660709769346;"Nodiff"
"Ruminococcus_flavefaciens";0,0468438135389828;0,000174;"0";0,0004596;"0";"608";0,0468438135389828;0,481531414396524;"Nodiff"
"Eubacterium_siraeum";0,0482390822827901;2,3732284;"0.01147";2,4809912;"0.27365";"333";0,0482390822827901;0,481531414396524;"Nodiff"
"Enterococcus_faecalis";0,0487263931234578;0,0158224;"0";0,0592182;"0";"298";0,0487263931234578;0,481531414396524;"Nodiff"
"Slackia_unclassified";0,0523354838357831;5,64e-05;"0";0,0003864;"0";"636";0,0523354838357831;0,507251612562205;"Nodiff"
"Prevotella_bivia";0,0556835302619098;0,0058496;"0";0,0037634;"0";"543";0,0556835302619098;0,517432167844067;"Nodiff"
"Bacteroides_cellulosilyticus";0,0565500395606224;0,4256854;"0.001225";1,4008384;"0.10532";"87";0,0565500395606224;0,517432167844067;"Nodiff"
"Blautia_producta";0,0636736356335493;0,003541;"0";0,0251878;"0";"147";0,0636736356335493;0,517432167844067;"Nodiff"
"Escherichia_unclassified";0,0658839825259458;0,2115216;"0.00702";0,7992978;"0.043235";"318";0,0658839825259458;0,517432167844067;"Nodiff"
"Alistipes_sp_HGB5";0,0669273028705593;0,0535612;"0";0,2163704;"0";"55";0,0669273028705593;0,517432167844067;"Nodiff"
"Bacteroides_fragilis";0,0695554634834461;1,3790934;"6e-04";0,7806496;"0.103055";"96";0,0695554634834461;0,517432167844067;"Nodiff"
"Turicibacter_sanguinis";0,0701149678458681;0,0007282;"0";0,002689;"0";"703";0,0701149678458681;0,517432167844067;"Nodiff"
"Finegoldia_magna";0,0721243227598351;3,18e-05;"0";0,0164992;"0";"342";0,0721243227598351;0,517432167844067;"Nodiff"
