"X1","X2","X3","X4","X5","X6","X7","X8","X9","X10","X11","X12","X13","X14","X15","X16","X17"
"CCIS03857607ST.4.0","DRR127649","CRC_MR_SBJ60H_17","CCIS98482370ST.3.0","CCMD39157124ST.11.0","32.5542264774545","33.0817587777539","33.6210580247068","34.4702478403797","CCMD79349503ST.11.0","CCIS53043478ST.4.0","CRC_MR_SBJ40C_17","CCIS35100175ST.4.0","22.3735186841274","27.7805856159279","28.3025790962361","31.8773925588496"
"CCIS98482370ST.3.0","DRR127649","MMRS11288076ST.27.0.0","MMRS92546335ST.27.0.0","CCIS03857607ST.4.0","28.8683333402173","32.0542011614999","33.4555505082819","33.6210580247068","MMRS86958796ST.27.0.0","CCIS53043478ST.4.0","CCIS52370277ST.4.0","MMRS43939546ST.27.0.0","26.9085749692473","27.3476983198843","27.5004012713306","30.0873994220039"
"CCMD39157124ST.11.0","DRR127649","CCMD45812507ST.11.0","CCMD49942357ST.11.0","CCIS03857607ST.4.0","26.0184176980961","26.4705740592209","29.2496664135046","34.4702478403797","MMRS43939546ST.27.0.0","SZAXPI017462.33","MMRS86958796ST.27.0.0","CCMD13071240ST.21.0","22.1406537167605","24.9227986249679","27.2271635774037","28.4364743763357"
"CCMD45812507ST.11.0","CCMD49942357ST.11.0","CCMD39157124ST.11.0","DRR127649","CCIS98482370ST.3.0","16.409080804518","26.4705740592209","35.8368942790987","36.9464064802384","MMRS43939546ST.27.0.0","MMRS86958796ST.27.0.0","CCMD13071240ST.21.0","CRC_MR_SBJ52C_17","27.1867623697012","30.1629747524809","30.9667973106439","32.0571144907476"
"CCMD49942357ST.11.0","CCMD45812507ST.11.0","CCMD39157124ST.11.0","DRR127649","CCIS98482370ST.3.0","16.409080804518","29.2496664135046","41.3829075456607","41.9485136696379","MMRS43939546ST.27.0.0","CCMD13071240ST.21.0","MMRS86958796ST.27.0.0","SZAXPI017462.33","31.2753091622385","35.0856267453112","36.8138854627435","38.9257871252259"
"CRC_MR_SBJ57H_17","DRR127649","CRC_MR_SBJ60H_17","MMRS92546335ST.27.0.0","MMRS11288076ST.27.0.0","29.682771454182","32.0329695603655","32.486352167775","33.1554452182443","CRC_MR_SBJ52C_17","CCIS59132091ST.4.0","CCIS53043478ST.4.0","SZAXPI017462.33","22.3668417611607","26.5148502789493","28.4086896600829","30.0847782242864"
"CRC_MR_SBJ60H_17","CRC_MR_SBJ83H_17","DRR127649","DRR127524","CRC_MR_SBJ57H_17","19.1077910623573","29.3666358698762","30.0937012657649","32.0329695603655","CRC_MR_SBJ27C_17","CCIS53043478ST.4.0","DRR127708","CRC_MR_SBJ52C_17","26.9326321704638","27.7663100629558","28.0854241212858","29.2639593530797"
"CRC_MR_SBJ83H_17","CRC_MR_SBJ60H_17","DRR127524","DRR127649","CCIS03857607ST.4.0","19.1077910623573","24.0337836397476","34.5533818587732","35.051871095398","MMRS86958796ST.27.0.0","CCIS35100175ST.4.0","CRC_MR_SBJ27C_17","CCIS53043478ST.4.0","32.0146933234835","32.0244807807839","32.8128611930871","33.4080143328708"
"DRR127524","CRC_MR_SBJ83H_17","CRC_MR_SBJ60H_17","CCIS03857607ST.4.0","MMRS92546335ST.27.0.0","24.0337836397476","30.0937012657649","48.4916460032798","52.0153544560767","CRC_MR_SBJ27C_17","DRR127708","CCIS35100175ST.4.0","CCIS53043478ST.4.0","43.0938676792998","47.0018631230869","48.2832606929337","49.5224620958924"
"DRR127649","CCMD39157124ST.11.0","MMRS92546335ST.27.0.0","CCIS98482370ST.3.0","CRC_MR_SBJ60H_17","26.0184176980961","26.1289705033991","28.8683333402173","29.3666358698762","MMRS86958796ST.27.0.0","CCIS53043478ST.4.0","SZAXPI017462.33","CCIS52370277ST.4.0","15.3087766738202","18.0083506270702","18.5789674874386","19.8659676141561"
"DRR127713","MMRS92546335ST.27.0.0","MMRS11288076ST.27.0.0","DRR127649","CCIS98482370ST.3.0","31.5503677010253","34.2210859518017","34.7779753694145","37.5553361974607","CCIS53043478ST.4.0","CCIS87252800ST.4.0","MMRS86958796ST.27.0.0","CCIS52370277ST.4.0","29.0834185133402","30.9547021070451","32.2698284923812","33.0036807396099"
"DRR127755","DRR127649","MMRS11288076ST.27.0.0","CCIS98482370ST.3.0","MMRS92546335ST.27.0.0","31.5456212475852","33.4162452236588","34.7463293720358","34.8487823873575","MMRS86958796ST.27.0.0","LILT_VF251_T017","MMRS43939546ST.27.0.0","CCIS53043478ST.4.0","30.382241552792","30.6818867074403","31.2755335974816","31.3459292296879"
"LILT_VF10_T016","DRR127649","MMRS92546335ST.27.0.0","CRC_MR_SBJ57H_17","MMRS11288076ST.27.0.0","38.1529237646881","45.0124352822684","46.0396529088926","46.6440646738157","CCMD35633353ST.11.0","CCIS12656533ST.4.0","DRR127708","MMRS86958796ST.27.0.0","23.1369120988454","23.3340795277615","33.4529611705167","39.631912740939"
"MMRS11288076ST.27.0.0","MMRS92546335ST.27.0.0","DRR127649","CCIS98482370ST.3.0","CRC_MR_SBJ57H_17","27.7523780879459","29.4501719545574","32.0542011614999","33.1554452182443","CCIS53043478ST.4.0","CCIS52370277ST.4.0","CCMD79349503ST.11.0","CRC_MR_SBJ52C_17","25.5317379400404","28.0252198312324","28.4129999706015","29.4071946439983"
"MMRS92546335ST.27.0.0","DRR127649","MMRS11288076ST.27.0.0","DRR127713","CRC_MR_SBJ57H_17","26.1289705033991","27.7523780879459","31.5503677010253","32.486352167775","CCIS53043478ST.4.0","MMRS86958796ST.27.0.0","CCIS52370277ST.4.0","CRC_MR_SBJ52C_17","23.1560556300809","27.4565398838127","27.7818860372834","28.1196277686832"
"SZAXPI003429.3","DRR127649","MMRS92546335ST.27.0.0","CRC_MR_SBJ57H_17","MMRS11288076ST.27.0.0","35.1316210756008","35.541096563062","36.442814109344","37.4178712132986","CCIS87252800ST.4.0","CCIS53043478ST.4.0","MMRS86958796ST.27.0.0","CRC_MR_SBJ27C_17","28.6025095084837","31.3812924057678","34.1383936909266","34.9004386753806"
"CCIS12656533ST.4.0","LILT_VF10_T016","DRR127649","CRC_MR_SBJ57H_17","MMRS11288076ST.27.0.0","23.3340795277615","38.9510812685887","41.065411702149","42.8390787175845","CCMD35633353ST.11.0","DRR127708","MMRS86958796ST.27.0.0","CCIS52370277ST.4.0","19.2615386247517","34.5142653477399","36.5820172357061","39.2921776527326"
"CCIS59132091ST.4.0","CRC_MR_SBJ57H_17","DRR127649","CRC_MR_SBJ60H_17","MMRS92546335ST.27.0.0","26.5148502789493","35.5800253417434","35.6945839754325","36.0238800092411","CCIS53043478ST.4.0","CCIS52370277ST.4.0","MMRS86958796ST.27.0.0","SZAXPI017462.33","30.8690856651278","32.8593837233658","34.4362952326582","34.6749582211197"
"CCIS87252800ST.4.0","SZAXPI003429.3","DRR127713","DRR127649","MMRS92546335ST.27.0.0","28.6025095084837","30.9547021070451","32.6888614045779","33.4158464427014","CCIS53043478ST.4.0","CCIS52370277ST.4.0","CCMD13071240ST.21.0","MMRS41266697ST.27.0.0","26.1890428772989","30.2205166288732","30.9460314022057","32.3514170636141"
"CCMD35633353ST.11.0","LILT_VF10_T016","DRR127649","CRC_MR_SBJ57H_17","MMRS11288076ST.27.0.0","23.1369120988454","27.5212219403863","33.7458928389219","34.6130282391385","CCIS12656533ST.4.0","DRR127708","MMRS86958796ST.27.0.0","CCIS53043478ST.4.0","19.2615386247517","27.2150690595229","28.647706328921","31.7604129657267"
"CCMD79349503ST.11.0","CCIS03857607ST.4.0","DRR127649","MMRS11288076ST.27.0.0","CCMD39157124ST.11.0","22.3735186841274","28.2779623463325","28.4129999706015","31.0845267580512","CCIS53043478ST.4.0","MMRS86958796ST.27.0.0","SZAXPI017462.33","MMRS43939546ST.27.0.0","24.6480894401311","30.2367661822937","30.6786042358661","31.7375849540525"
"CRC_MR_SBJ27C_17","CRC_MR_SBJ60H_17","DRR127649","CRC_MR_SBJ57H_17","MMRS92546335ST.27.0.0","26.9326321704638","28.7102925496171","31.6956975790564","32.6155107769647","DRR127708","CCIS53043478ST.4.0","MMRS86958796ST.27.0.0","CCIS52370277ST.4.0","25.2511108966358","26.5266676888692","30.1504786664574","32.1722647187869"
