"X1","X2","X3","X4","X5","X6","X7","X8","X9","X10","X11","X12","X13","X14","X15","X16","X17","X18","X19","X20","X21","X22","X23","X24","X25","X26","X27","X28","X29","X30","X31","X32","X33","X34","X35","X36","X37","X38","X39","X40","X41","X42","X43","X44","X45","X46","X47","X48","X49","X50","X51","X52","X53","X54","X55","X56","X57"
"CCIS00146684ST.4.0","CCIS03473770ST.4.0","CCIS94417875ST.3.0","CCMD27867141ST.11.0","CCIS07539127ST.4.0","CCMD45004878ST.11.0","CCMD31009081ST.11.0","SID31700","LILT_VF265_T016","CRC_MR_SBJ78H_17","SID31749","MMRS95277876ST.27.0.0","SID532915","SZAXPI015253.44","SID31328","16.0193279796844","17.2345457009606","19.1587253482323","19.3654797436934","19.5958964250962","19.7849839860688","19.9180306565659","20.44720645646","20.9987613646829","21.2115381084729","21.5344410392144","21.8125014936504","22.2558226626112","22.5416239868138","CRC_MR_SBJ32C_17","SZAXPI017466.84","CCIS41548810ST.4.0","CCIS11015875ST.4.0","MMRS96422329ST.27.0.0","SID531352","CRC_MR_SBJ47C_17","CCIS33816588ST.4.0","CCMD52145360ST.11.0","CRC_MR_SBJ52C_17","MMRS78791111ST.27.0.0","SID531277","CCMD72895164ST.21.0","CCMD86114146ST.21.0","14.9387842635169","18.025880953504","19.2051050383615","19.9727468798511","20.2830844090266","21.0648001378698","21.7751522598902","21.8142926198719","22.0521147206339","22.6995006805612","23.1281031449015","23.2677449226112","23.2937535149533","23.4355493195146"
"CCIS03473770ST.4.0","SZAXPI015253.44","CCIS94417875ST.3.0","CCIS00146684ST.4.0","CCMD45004878ST.11.0","SZAXPI015255.46","SID31328","CCIS71578391ST.4.0","SID31700","SID532802","CCIS07539127ST.4.0","MMRS95277876ST.27.0.0","CCMD31009081ST.11.0","CRC_MR_SBJ18H_17","CCMD73128545ST.11.0","14.3677608621559","15.3016905751619","16.0193279796844","16.0818738389405","16.2054479269936","16.2384389403354","16.6540527263036","17.200624363284","17.6005966877689","17.6859756116336","17.7003551055819","18.1830336901382","18.2247051398726","18.662234598571","CRC_MR_SBJ32C_17","CCIS11015875ST.4.0","CCMD52145360ST.11.0","SID531155","MMRS96422329ST.27.0.0","CCIS41548810ST.4.0","CCMD63399960ST.21.0","CCMD72895164ST.21.0","CRC_MR_SBJ02C_17","SID531277","CCIS62605362ST.3.0","SZAXPI017466.84","MMRS90191266ST.27.0.0","DRR127517","14.1244466241124","16.2190266034032","16.5784894261962","17.024274610711","17.0929027958565","17.2457216024497","17.4954985290188","17.6918248706373","17.9455177942739","18.1306950032314","18.2152698790987","18.6725730502681","19.238692651225","19.4318316736843"
"CCIS05314658ST.4.0","SID530055","SID31328","SID531414","CCIS71578391ST.4.0","CRC_MR_SBJ73H_17","CCIS11354283ST.4.0","SID31021","CCIS11362406ST.4.0","DRR127777","SID530364","CCIS02124300ST.4.0","CCIS07277498ST.4.0","CRC_MR_SBJ18H_17","CRC_MR_SBJ82H_17","18.1763686413926","18.1787666765488","19.315862846821","19.6598759903439","19.8682062782628","19.9134400871472","20.0088509725146","20.2785568960466","20.3466717341437","20.3573558716622","20.4683105961948","20.4957985009733","20.6971958669115","20.8357416819272","CRC_MR_SBJ06C_17","CCIS47284573ST.4.0","CCMD63399960ST.21.0","CCIS11015875ST.4.0","SID531277","CRC_MR_SBJ52C_17","CCIS53043478ST.4.0","SZAXPI015218.16","MMRS55294627ST.27.0.0","DRR162777","CCIS76845094ST.20.0","MMRS12272136ST.27.0.0","SID531155","DRR127517","17.4519386174345","17.9052886311056","18.1814069482507","18.8637643027074","19.0920846378283","19.6242346908637","20.1947273426358","20.5292953668873","20.7836479527416","20.8403272753789","21.1909380309344","21.4457746966273","21.7584522710716","21.7616255818769"
"CCIS07277498ST.4.0","CRC_MR_SBJ21H_17","CRC_MR_SBJ67H_17","CCIS03473770ST.4.0","SZAXPI015253.44","CCIS71578391ST.4.0","CCIS05314658ST.4.0","CCIS02124300ST.4.0","CRC_MR_SBJ18H_17","CCMD39157124ST.11.0","MMPU72854103ST","CCIS45571137ST.3.0","SID532802","CRC_MR_SBJ73H_17","SID31328","17.8163095915147","19.1443113394084","19.1587291997643","19.4483845198155","19.5672260519063","20.4957985009733","20.6739799502079","20.8380347940059","20.8568238328754","21.360507849033","21.9285926517982","22.0447356711075","22.1565789645762","22.5845366298514","CRC_MR_SBJ42C_17","SID531277","SID531155","MMRS90191266ST.27.0.0","CRC_MR_SBJ02C_17","CCIS82146115ST.4.0","CCMD63399960ST.21.0","CCIS11015875ST.4.0","CCMD72895164ST.21.0","CRC_MR_SBJ32C_17","CCMD82866709ST.21.0","MMRS12272136ST.27.0.0","CCMD25963797ST.21.0","SZAXPI015213.15","19.7516517044727","20.4434241042566","20.6299602937669","20.8353798250908","20.9711147636863","21.3749168683062","21.9986478893817","22.140085472396","22.3019189878719","22.6316920621879","22.8686907271339","22.9324499828344","23.2425136479125","23.3333350099188"
"CCIS07539127ST.4.0","CCIS94417875ST.3.0","LILT_VF265_T016","CCIS03473770ST.4.0","CCMD31009081ST.11.0","MMRS95277876ST.27.0.0","CRC_MR_SBJ18H_17","CRC_MR_SBJ78H_17","MMRS11932626ST.27.0.0","CCIS00146684ST.4.0","CCMD59540613ST.11.0","SZAXPI015271.93","SZAXPI015253.44","CCIS07648107ST.4.0","SID31749","16.18196757574","17.3447557406641","17.6859756116336","18.1756040585066","18.286475907167","18.2981592960877","19.069340274139","19.3387570696206","19.3654797436934","19.4622120769891","19.8471426172031","20.0231022266781","20.0771867486458","20.1392900589221","CRC_MR_SBJ32C_17","CCIS50148151ST.4.0","CCIS41548810ST.4.0","CCIS91228662ST.4.0","CCIS53043478ST.4.0","CCMD63399960ST.21.0","SZAXPI015218.16","MMRS55294627ST.27.0.0","SZAXPI017466.84","MMRS96422329ST.27.0.0","CCIS33816588ST.4.0","CCMD72895164ST.21.0","MMRS12272136ST.27.0.0","CCIS62605362ST.3.0","15.9065362812807","16.2374049373507","16.3182022579296","16.7901701939587","17.1135700453675","17.3295456543269","17.8365945481305","18.6603807782585","18.7773973042938","19.3343705995851","19.7031304153376","19.8535868625193","20.0298655845565","20.1589680244079"
"CCIS07648107ST.4.0","CCIS07539127ST.4.0","CRC_MR_SBJ18H_17","CCIS05314658ST.4.0","CCMD35801800ST.11.0","CCIS48174381ST.4.0","MMRS11932626ST.27.0.0","SID531414","SZAXPI015271.93","CCMD59540613ST.11.0","CRC_MR_SBJ78H_17","SID31328","SZAXPI015253.44","CCIS15794887ST.4.0","CCMD41521570ST.11.0","20.0771867486458","21.5671324641687","22.1339319516642","22.2284546585789","22.3267668249436","22.5275289342174","23.0880104962619","23.5511512824575","23.6934417118598","23.8130801831031","24.1974082279962","24.582481388497","24.5949644333429","24.6895137805203","CCMD63399960ST.21.0","CRC_MR_SBJ26C_17","DRR162777","CCIS53043478ST.4.0","CCIS91228662ST.4.0","MMRS12272136ST.27.0.0","SZAXPI015218.16","DRR127517","CCIS62605362ST.3.0","MMRS55294627ST.27.0.0","DRR127536","CCIS50148151ST.4.0","MMRS81194191ST.27.0.0","CRC_MR_SBJ32C_17","17.3221172976458","20.4702831988861","21.2418173894891","21.5584613780831","21.6247327281033","21.6610914292609","21.7876285745604","22.9430535604418","23.0961436102762","23.1895496243416","23.529474561084","23.638221576669","24.1461056202486","24.2049921966544"
"CCIS09568613ST.4.0","CCIS11362406ST.4.0","CRC_MR_SBJ24H_17","CCMD25475945ST.11.0","SZAXPI015253.44","SZAXPI015260.74","SID31637","SID31700","SID530315","CCIS03473770ST.4.0","CCIS88317640ST.4.0","CCIS36797902ST.4.0","CCIS05314658ST.4.0","SID31328","MMRS11932626ST.27.0.0","21.5962314992964","23.9425599063321","24.1717987626283","25.3162316549541","25.4440047535603","25.8005044816356","25.961585229947","26.5825768973627","27.6464753747743","27.9194181408675","27.9678989741203","28.0111870654173","28.1654101703668","28.3456062855022","SID31876","SZAXPI003426.11","CRC_MR_SBJ61C_17","CCIS61287323ST.4.0","DRR127476","MMRS41711735ST.27.0.0","SID31446","CCMD63399960ST.21.0","CCIS11015875ST.4.0","CRC_MR_SBJ06C_17","SZAXPI015218.16","CCIS53043478ST.4.0","MMRS85382779ST.27.0.0","SZAXPI017453.19","17.0342989878421","17.1972346296519","20.146724793199","20.2535643919657","21.8595738646068","23.0723196921549","24.348617906984","25.5061052287389","26.0022218645926","26.2416786666535","26.5169181004486","26.6191926450672","27.1025034100302","27.6364618913366"
"CCIS11354283ST.4.0","CCIS71578391ST.4.0","CCIS63910149ST.4.0","SID31328","SID532802","SID530258","SZAXPI015255.46","CRC_MR_SBJ73H_17","CCMD53508245ST.11.0","SZAXPI015241.27","SID530055","CCIS02124300ST.4.0","CCIS03473770ST.4.0","SID31021","CCIS05314658ST.4.0","15.1831382683061","15.4500948677929","16.0930022437083","16.5336715753791","16.7129908714718","17.7826757357857","18.0409477466789","18.5626123928503","18.659741961643","18.794184898303","19.1597941564386","19.3183921759964","19.795603551938","19.9134400871472","CRC_MR_SBJ52C_17","CCIS76845094ST.20.0","CRC_MR_SBJ02C_17","SID531155","CCMD52145360ST.11.0","CRC_MR_SBJ10C_17","CCIS82146115ST.4.0","SID531277","CCIS11015875ST.4.0","CRC_MR_SBJ06C_17","CRC_MR_SBJ55C_17","CRC_MR_SBJ39C_17","MMRS96422329ST.27.0.0","CRC_MR_SBJ64C_17","13.9714498357436","16.0821605932692","16.9794917850152","17.8043503709936","17.9003490663367","17.9186549343526","18.3445029570468","19.0868688107715","19.1122928450069","19.1654149042305","19.3524714706184","19.627819768367","19.9233179122856","20.0172828616898"
"CCIS11362406ST.4.0","CCIS88317640ST.4.0","CCIS05314658ST.4.0","DRR127777","CCIS09568613ST.4.0","CCIS48174381ST.4.0","SZAXPI015253.44","CCIS36797902ST.4.0","SID530055","SZAXPI015271.93","SID31328","SID530315","SID31700","CCIS15794887ST.4.0","CCIS03473770ST.4.0","19.1641456937689","20.2785568960466","20.4117210195025","21.5962314992964","22.1692277257351","22.3552568678846","22.4692832092971","22.8632985783111","22.9282177538574","23.080315635892","23.3138073625481","23.350123367764","23.5065797626984","23.5646070529046","CRC_MR_SBJ06C_17","CCIS47284573ST.4.0","CCIS53043478ST.4.0","SZAXPI015218.16","CCMD63399960ST.21.0","SID31549","SZAXPI003426.11","SID31876","CCIS11015875ST.4.0","MMRS55294627ST.27.0.0","MMRS90191266ST.27.0.0","SID31446","DRR127517","CCMD82866709ST.21.0","19.8997548309697","20.643511163167","20.9005280488891","21.5280535121432","22.0685729477622","22.1758022715865","22.2879073285874","22.810307755631","22.9025142905643","23.0770142976361","23.1934369153625","23.4233412118062","23.4893197413803","23.5880809152122"
"CCIS11558985ST.4.0","SZAXPI015261.75","SZAXPI015265.88","CCMD59540613ST.11.0","SZAXPI015247.35","CCIS03473770ST.4.0","CRC_MR_SBJ18H_17","LILT_VF28_T016","CCIS45571137ST.3.0","CCIS07648107ST.4.0","DRR127777","SZAXPI015271.93","CCIS07539127ST.4.0","CCMD10032470ST.11.0","CCMD29706695ST.11.0","29.1525454478078","29.3911444385107","30.2854991603061","31.5789236742024","31.6508529858375","32.1667594766554","32.7489434992123","32.7683726603214","33.0578420983857","33.100046070042","33.1268124930758","33.259933526945","33.2645305718914","34.743415211126","CCIS62605362ST.3.0","CCMD63399960ST.21.0","MMRS81194191ST.27.0.0","CCIS91228662ST.4.0","MMRS55294627ST.27.0.0","MMRS90191266ST.27.0.0","DRR127517","CCIS53043478ST.4.0","SZAXPI015218.16","SZAXPI017580.90","CCIS02379307ST.4.0","CRC_MR_SBJ32C_17","MMRS54316675ST.27.0.0","SZAXPI017457.24","24.1339393112749","28.7085176466776","30.6256583679111","30.9727438878686","31.5460787008718","31.9224159809686","32.1639064100289","32.1853909915182","32.7174290641334","33.5198668271281","33.9725561425601","34.2414908730461","34.306734286169","34.4232009666199"
