"X1","X2","X3","X4","X5","X6","X7","X8","X9","X10","X11","X12","X13","X14","X15","X16","X17","X18","X19","X20","X21"
"CCIS32452666ST.4.0","CCIS50471204ST.4.0","CCIS63910149ST.4.0","CRC_MR_SBJ65H_17","CCIS41692898ST.4.0","CCIS50003399ST.4.0","17.2630257895886","19.3606460412611","20.735802689409","21.4761826945246","22.0123324731638","CRC_MR_SBJ52C_17","CRC_MR_SBJ04C_17","CCIS82146115ST.4.0","CCIS41222843ST.4.0","CRC_MR_SBJ36C_17","20.5717859989623","20.5737954005939","21.2336655237173","22.6514889460296","22.830775830602"
"CCIS41692898ST.4.0","CCIS50471204ST.4.0","CRC_MR_SBJ65H_17","CCIS50003399ST.4.0","CCIS32452666ST.4.0","CCIS63910149ST.4.0","17.3770163721279","17.3791273235827","20.1925371229843","21.4761826945246","21.7412275625044","CCIS82146115ST.4.0","CRC_MR_SBJ52C_17","CRC_MR_SBJ04C_17","SZAXPI017458.25","CCIS52370277ST.4.0","17.6227392324945","18.1840398263505","18.3193344324651","22.8132978185071","22.8542943196066"
"CCIS50003399ST.4.0","CRC_MR_SBJ65H_17","CCIS50471204ST.4.0","CCIS41692898ST.4.0","CCIS63910149ST.4.0","CCIS32452666ST.4.0","18.9442213783782","20.1737141933135","20.1925371229843","20.5029540087642","22.0123324731638","CRC_MR_SBJ52C_17","SZAXPI017458.25","CRC_MR_SBJ04C_17","CCIS82146115ST.4.0","CCIS41222843ST.4.0","16.1761405049289","17.0815708618441","19.4586179719989","22.770083350941","24.6299741008228"
"CCIS50471204ST.4.0","CCIS63910149ST.4.0","CCIS32452666ST.4.0","CCIS41692898ST.4.0","CRC_MR_SBJ65H_17","CCIS50003399ST.4.0","17.2266091037848","17.2630257895886","17.3770163721279","19.3221298333207","20.1737141933135","CCIS82146115ST.4.0","CRC_MR_SBJ52C_17","CRC_MR_SBJ04C_17","CCIS41222843ST.4.0","CCIS52370277ST.4.0","17.4956805314026","18.5784941912067","18.7456928835053","20.0434308078607","21.946627578177"
"CCIS63910149ST.4.0","CCIS50471204ST.4.0","CCIS32452666ST.4.0","CCIS50003399ST.4.0","CRC_MR_SBJ65H_17","CCIS41692898ST.4.0","17.2266091037848","19.3606460412611","20.5029540087642","21.6682999942151","21.7412275625044","CRC_MR_SBJ52C_17","CRC_MR_SBJ04C_17","CCIS41222843ST.4.0","CCIS82146115ST.4.0","SID31875","18.3338018423212","20.7244366647757","21.6705248583808","23.7380895064262","23.7845477113377"
"CCIS88317640ST.4.0","CCMD89967135ST.11.0","CCIS50471204ST.4.0","CCIS32452666ST.4.0","CCIS41692898ST.4.0","CCIS63910149ST.4.0","20.4721541494343","22.6380890239304","24.0615153377837","24.3199936873964","24.6126189305608","CRC_MR_SBJ04C_17","SID31871","CRC_MR_SBJ31C_17","CRC_MR_SBJ52C_17","CCIS52370277ST.4.0","23.5206535376103","24.036085014538","24.7950420381858","24.8590632680538","25.6461669501897"
"CCMD23541216ST.11.0","CCIS32452666ST.4.0","CCMD89967135ST.11.0","CCIS50471204ST.4.0","LILT_VF28_T016","CCIS88317640ST.4.0","29.0768610008216","36.3212029367076","36.6000293382984","37.9662940388735","39.1603780692207","SID31188","CCIS52370277ST.4.0","SID31875","CRC_MR_SBJ31C_17","MMRS43563715ST.27.0.0","17.9436636551764","37.1224646709092","38.8850511946249","39.0844934160147","39.4410472932819"
"CCMD35081859ST.11.0","CCMD51154251ST.11.0","CCMD93755960ST.11.0","CCMD41521570ST.11.0","CCMD38158721ST.11.0","CCIS50003399ST.4.0","14.3413660151709","18.7620278715202","24.5588634025559","27.3281847591054","27.8083369714785","CCMD76222476ST.11.0","SZAXPI017458.25","SID31875","CRC_MR_SBJ52C_17","CCMD86707194ST.21.0","16.2363051848134","22.8998087123343","24.5324010185367","25.5856393273512","26.3422883465465"
"CCMD38158721ST.11.0","CCMD93755960ST.11.0","CCIS32452666ST.4.0","CCIS50471204ST.4.0","CCMD41521570ST.11.0","CRC_MR_SBJ65H_17","19.2097825587772","25.7957731146442","26.1193388700786","26.7156616195894","26.9824473828691","CRC_MR_SBJ42C_17","CCMD86707194ST.21.0","SID31875","CRC_MR_SBJ04C_17","CRC_MR_SBJ36C_17","26.1467095856228","26.3084509299237","26.8003776439979","27.0734115136807","27.1409980218377"
"CCMD39157124ST.11.0","CCMD76409700ST.11.0","CCMD93755960ST.11.0","CRC_MR_SBJ65H_17","CCIS32452666ST.4.0","CCMD38158721ST.11.0","20.7711872696194","24.2546599967223","25.5161882659421","27.1419757445308","27.2182640870629","CRC_MR_SBJ36C_17","CRC_MR_SBJ42C_17","CCIS82146115ST.4.0","CCMD86707194ST.21.0","CRC_MR_SBJ33C_17","23.7517805551731","24.2763431700081","27.3924881503561","27.5578917066473","27.7252290999281"
