"X1","X2","X3","X4","X5","X6","X7","X8","X9","X10","X11","X12","X13"
"CCIS11558985ST.4.0","SZAXPI015264.87","DRR127736","CCMD49025643ST.11.0","37.5191250107115","38.4723999169028","39.549186435162","MMRS81194191ST.27.0.0","DRR127517","SZAXPI003427.1","30.6256583679111","32.1639064100289","35.7238859429976"
"CCIS63468405ST.4.0","SZAXPI015264.87","DRR127737","CCMD49025643ST.11.0","33.1890045126635","35.9871768149156","37.156777521023","SID31876","MMRS41266697ST.27.0.0","SZAXPI003427.1","29.990926960661","32.8444781313085","33.2295307326586"
"CCMD10191450ST.11.0","LILT_VF84_16","SZAXPI015264.87","DRR127763","37.6505705327423","42.69825692333","43.6157570930255","CCMD76222476ST.11.0","CCMD86114146ST.21.0","DRR127517","21.0009965604016","37.9666630561879","38.3102443890091"
"CCMD49025643ST.11.0","SZAXPI015264.87","LILT_VF84_16","DRR127763","26.8411506346691","27.9138724634598","36.9968642256408","CCIS41548810ST.4.0","SID31876","CCMD86114146ST.21.0","19.8574912038681","24.1359064325063","24.2391296110195"
"DRR127736","CCIS11558985ST.4.0","CCIS63468405ST.4.0","SZAXPI015264.87","38.4723999169028","40.2687742613119","40.8923108087462","SZAXPI003427.1","MMRS81194191ST.27.0.0","DRR127517","32.1691344454308","32.7585511241798","35.9443379295933"
"DRR127737","SZAXPI015264.87","CCIS63468405ST.4.0","CCMD49025643ST.11.0","27.9325247524065","35.9871768149156","42.084861208734","SZAXPI003427.1","DRR127517","MMRS81194191ST.27.0.0","35.695274039266","37.2764636579773","38.3226894268813"
"DRR127763","SZAXPI015264.87","LILT_VF84_16","CCMD49025643ST.11.0","31.349489768816","36.9661146964162","36.9968642256408","DRR127517","CCIS41548810ST.4.0","MMRS81194191ST.27.0.0","26.8602350280782","30.7005855548164","32.5205552552367"
"LILT_VF84_16","CCMD49025643ST.11.0","SZAXPI015264.87","DRR127763","27.9138724634598","30.7733127463115","36.9661146964162","CCIS41548810ST.4.0","CCMD86114146ST.21.0","DRR127517","18.7208573161487","27.4425321896486","29.4981033173931"
"SID31428","SID530177","SID31519","CCMD49025643ST.11.0","30.4197800509586","35.8496715779043","45.9972625115832","CCMD35633353ST.11.0","SZAXPI003427.1","CRC_MR_SBJ26C_17","35.2548472059134","40.8504504028585","40.9489225535679"
"SID31519","SID31428","SZAXPI015264.87","CCMD49025643ST.11.0","35.8496715779043","36.4352768116245","37.6798885525143","CCMD35633353ST.11.0","CCIS41548810ST.4.0","DRR127517","17.1185092018581","34.5092258663187","34.9537596103538"
"SID530177","SID31428","CCMD49025643ST.11.0","SZAXPI015264.87","30.4197800509586","38.0063836095806","40.8681757599553","SID31876","CCMD35633353ST.11.0","CRC_MR_SBJ26C_17","35.9892785784947","36.7360083249854","37.0690724849436"
"SZAXPI015264.87","CCMD49025643ST.11.0","DRR127737","LILT_VF84_16","26.8411506346691","27.9325247524065","30.7733127463115","CCIS41548810ST.4.0","DRR127517","CCMD86114146ST.21.0","23.6494819002045","25.7801211966682","28.3207136661349"
"CCIS41548810ST.4.0","LILT_VF84_16","CCMD49025643ST.11.0","SZAXPI015264.87","18.7208573161487","19.8574912038681","23.6494819002045","CCMD86114146ST.21.0","DRR127517","SID31876","19.340690450439","22.7743199283579","23.9017156446687"
"CCMD35633353ST.11.0","SID31519","SZAXPI015264.87","CCMD49025643ST.11.0","17.1185092018581","34.7619899375884","34.8054793060604","CCIS41548810ST.4.0","DRR127517","SZAXPI003427.1","30.6207163894691","31.5378655785597","32.3177221650459"
"CCMD76222476ST.11.0","CCMD10191450ST.11.0","SZAXPI015264.87","LILT_VF84_16","21.0009965604016","31.4175051122316","31.9853461027671","MMRS81194191ST.27.0.0","DRR127517","CCIS41548810ST.4.0","27.3602950370551","28.5186693183606","30.8895382704501"
"CCMD86114146ST.21.0","CCMD49025643ST.11.0","LILT_VF84_16","SZAXPI015264.87","24.2391296110195","27.4425321896486","28.3207136661349","CCIS41548810ST.4.0","SID31876","DRR127517","19.340690450439","26.84658114842","29.9888346672374"
