"X1","X2","X3","X4","X5","X6","X7","X8","X9","X10","X11","X12","X13","X14","X15","X16","X17","X18","X19","X20","X21"
"CCIS03473770ST.4.0","CCIS71578391ST.4.0","CRC_MR_SBJ67H_17","MMPU84450604ST","SID31160","MMPU68403337ST","16.6540527263036","19.1137507760329","22.0365552550325","22.843807114345","23.8640118622414","DRR127485","CRC_MR_SBJ02C_17","MMRS85382779ST.27.0.0","CCMD95433940ST.21.0","SID31004","15.5201817488359","17.9455177942739","19.4453030747659","20.5727193030722","20.9001650434967"
"CCIS48174381ST.4.0","CCIS03473770ST.4.0","SZAXPI015258.57","SID532749","CCIS74239020ST.4.0","CCIS81139242ST.4.0","24.8156524454164","25.1866317424383","25.9729622774011","27.0910055224571","27.3488235988113","SID31004","MMRS65205033ST.27.0.0","MMRS81194191ST.27.0.0","MMRS85382779ST.27.0.0","CCMD90311071ST.21.0","17.5567713015321","25.3678207583505","25.5159770253306","26.4373425253863","27.2215212019498"
"CCIS71578391ST.4.0","CCIS03473770ST.4.0","CRC_MR_SBJ67H_17","SID31160","CCIS81139242ST.4.0","MMPU84450604ST","16.6540527263036","20.6611924149987","21.714566148231","23.1197120281352","23.7634664607586","DRR127485","CCMD95433940ST.21.0","CRC_MR_SBJ02C_17","CCMD86707194ST.21.0","CCMD90311071ST.21.0","17.2608699559437","17.8632483928176","18.1409708349884","19.2255619482526","20.2171520848808"
"CCIS74239020ST.4.0","SZAXPI015258.57","CCIS71578391ST.4.0","CCIS81139242ST.4.0","SID31160","CCIS03473770ST.4.0","23.4745525471477","23.8103436177977","24.1055295425655","26.0661159386031","26.6451011753061","MMRS85382779ST.27.0.0","SID31004","MMRS81194191ST.27.0.0","DRR127485","CRC_MR_SBJ20C_17","23.5810560722416","24.8056684000674","25.5366174073819","25.9588353297293","26.6390054566307"
"CCMD32288175ST.11.0","CCIS03473770ST.4.0","MMRS85548821ST.27.0.0","CCIS71578391ST.4.0","MMRS25211151ST.27.0.0","CRC_MR_SBJ67H_17","24.5582977922351","27.0226623209539","27.1944372314744","27.3805213338826","28.5673891922731","MMRS85382779ST.27.0.0","CCMD95433940ST.21.0","MMRS65205033ST.27.0.0","CCMD52117727ST.11.0","DRR127485","25.6481955759933","25.7374779112115","25.8543513480884","25.9036549132299","26.0724541096653"
"CCMD51154251ST.11.0","CCMD10191450ST.11.0","CCIS71578391ST.4.0","MMRS51307502ST.27.0.0","CRC_MR_SBJ67H_17","MMPU68403337ST","23.4260013324831","23.8844634114271","27.9559965927277","28.7019898462424","29.4093372865371","CCMD86707194ST.21.0","CCMD95433940ST.21.0","DRR127485","CCMD90311071ST.21.0","MMRS85382779ST.27.0.0","25.8293148240386","27.8911038260787","30.5493296953403","31.2280812864736","31.2890316222187"
"CCMD53522274ST.11.0","CRC_MR_SBJ03H_17","CRC_MR_SBJ67H_17","SZAXPI015258.57","CCIS71578391ST.4.0","CCIS03473770ST.4.0","27.7887007685498","29.1445173846025","29.1718371774662","31.1944441396188","31.4859522492603","DRR127485","SZAXPI003420.4","CCMD95433940ST.21.0","MMRS65205033ST.27.0.0","MMRS81194191ST.27.0.0","28.2267366627671","29.381913594664","30.4876872877445","30.6665404903488","30.7116303065435"
"CRC_MR_SBJ03H_17","CCMD53522274ST.11.0","CRC_MR_SBJ67H_17","CCIS48174381ST.4.0","CCIS03473770ST.4.0","SID532749","27.7887007685498","29.4114528112774","31.5827440084708","32.8340402669775","35.627828937443","SZAXPI003420.4","SID31004","CRC_MR_SBJ20C_17","MMRS81194191ST.27.0.0","DRR127485","31.1794424729773","31.5604328999604","32.0976757683076","33.7026708230846","33.9741911721354"
"CRC_MR_SBJ67H_17","CCIS03473770ST.4.0","CCIS71578391ST.4.0","MMPU84450604ST","SZAXPI015258.57","CCIS48174381ST.4.0","19.1137507760329","20.6611924149987","24.8014306109748","27.2266002839943","27.5090825215346","CRC_MR_SBJ02C_17","CCMD95433940ST.21.0","DRR127485","CCMD86707194ST.21.0","MMRS85382779ST.27.0.0","21.340262097479","21.8259033624613","22.0044729243352","22.6686412684064","24.0383511331123"
"DRR127731","CCIS03473770ST.4.0","MMPU84450604ST","CCIS71578391ST.4.0","SZAXPI015258.57","MMPU68403337ST","24.9445346674317","26.0084618886123","26.9607932695312","28.1722600868372","28.3698912061167","CCMD90311071ST.21.0","SID31004","MMRS81194191ST.27.0.0","CCMD86707194ST.21.0","CRC_MR_SBJ20C_17","22.679121526867","23.7790249853879","24.696754057815","25.0798848780831","25.1264204129677"
