"Species";"Pvalue";"Ctlmean";"Ctlmedian";"CRCmean";"CRCmedian";"SamplingCountForEachGroup";"pvalue";"adj.fdr.p";"Enrichment"
"Parvimonas_unclassified";2,59411886875092e-06;0,00046025;"0";0,113275;"0.00293";"518";2,59411886875092e-06;0,00121664174944418;"CRC"
"Gemella_morbillorum";1,89157725533407e-05;4,225e-05;"0";0,044129;"0";"356";1,89157725533407e-05;0,00403918514699471;"CRC"
"Peptostreptococcus_stomatis";2,5837005204657e-05;0,0002035;"0";0,22078925;"0";"531";2,5837005204657e-05;0,00403918514699471;"CRC"
"Parvimonas_micra";4,45104260682302e-05;0,00014;"0";0,03984675;"0";"515";4,45104260682302e-05;0,00521884745649999;"CRC"
"Porphyromonas_asaccharolytica";8,73215257945677e-05;0,00125;"0";0,81219825;"5.5e-05";"534";8,73215257945677e-05;0,00819075911953045;"CRC"
"Solobacterium_moorei";0,00011103834149403;0,00306725;"0";0,049064;"0.00354";"638";0,00011103834149403;0,00867949702678335;"CRC"
"Porphyromonas_somerae";0,00164205221452299;0;"0";0,245627;"0";"538";0,00164205221452299;0,11001749837304;"Nodiff"
"Clostridium_hathewayi";0,00290395340242079;0,05691975;"0.000325";0,0813865;"0.01341";"208";0,00290395340242079;0,151576218400016;"Nodiff"
"Eubacterium_infirmum";0,00319729813901703;0;"0";0,0006415;"0";"328";0,00319729813901703;0,151576218400016;"Nodiff"
"Subdoligranulum_sp_4_3_54A2FAA";0,00331370168842483;0,077295;"0";0,561315;"0";"685";0,00331370168842483;0,151576218400016;"Nodiff"
"Fusobacterium_nucleatum";0,00355509254243107;0,00073675;"0";0,04295025;"0";"348";0,00355509254243107;0,151576218400016;"Nodiff"
"Streptococcus_constellatus";0,00616722969113725;0;"0";0,0045985;"0";"656";0,00616722969113725;0,241035893761948;"Nodiff"
"Clostridium_symbiosum";0,0075748854987873;0,187069;"0.00038";0,18121575;"0.021235";"228";0,0075748854987873;0,27327856145625;"Nodiff"
"Turicibacter_unclassified";0,0103079246883396;0,0018525;"0";0,016289;"0";"704";0,0103079246883396;0,325730261844036;"Nodiff"
"Granulicatella_adiacens";0,0106603625473367;0,0007255;"0";0,0127955;"0";"360";0,0106603625473367;0,325730261844036;"Nodiff"
"Eubacterium_dolichum";0,0118068538408286;0;"0";0,00054575;"0";"325";0,0118068538408286;0,325730261844036;"Nodiff"
"Slackia_unclassified";0,0118068538408286;0;"0";0,007113;"0";"636";0,0118068538408286;0,325730261844036;"Nodiff"
"Porphyromonas_uenonis";0,013070868314087;0,00027725;"0";0,52621175;"0";"539";0,013070868314087;0,340568735517045;"Nodiff"
"Clostridium_bolteae";0,0138869202607758;0,162477;"0.005205";0,848563;"0.036495";"201";0,0138869202607758;0,34278766327915;"Nodiff"
"Ruminococcus_gnavus";0,0155175345249955;0,3814775;"0.009385";1,06320525;"0.169275";"609";0,0155175345249955;0,346825685211816;"Nodiff"
"Streptococcus_tigurinus";0,0158794406883865;0,00030975;"0";0,0018145;"0";"682";0,0158794406883865;0,346825685211816;"Nodiff"
"Streptococcus_anginosus";0,0162690086879743;0,02585025;"0";0,03811325;"0.00041";"654";0,0162690086879743;0,346825685211816;"Nodiff"
"Coprococcus_sp_ART55_1";0,0205401101924104;1,50452125;"0";0,3393645;"0";"243";0,0205401101924104;0,410800473774053;"Nodiff"
"Streptococcus_mitis_oralis_pneumoniae";0,0210217726451541;0,00354525;"0";0,0264415;"0.00252";"668";0,0210217726451541;0,410800473774053;"Nodiff"
"Anaerococcus_obesiensis";0,0224936774541325;0;"0";0,005845;"0";"62";0,0224936774541325;0,421981389039526;"Nodiff"
"Anaerococcus_vaginalis";0,0241348443959571;4,5e-05;"0";0,008773;"0";"65";0,0241348443959571;0,435355462373226;"Nodiff"
"Clostridium_citroniae";0,0259740134890754;0,0110465;"0";0,03051525;"0.00358";"204";0,0259740134890754;0,451178234310236;"Nodiff"
"Faecalibacterium_prausnitzii";0,0285694939997971;9,7863305;"6.85733";4,90642425;"3.59012";"340";0,0285694939997971;0,466977272370059;"Nodiff"
"Bilophila_unclassified";0,0351161399940491;0,272758;"0.089225";0,6525495;"0.258385";"143";0,0351161399940491;0,466977272370059;"Nodiff"
"Clostridiales_bacterium_1_7_47FAA";0,0355107325695178;0,02303875;"0";0,04169275;"0.00219";"196";0,0355107325695178;0,466977272370059;"Nodiff"
"Clostridium_clostridioforme";0,0374008676043907;0,0729395;"0";0,056508;"0";"205";0,0374008676043907;0,466977272370059;"Nodiff"
"Eubacterium_eligens";0,0395343674988874;2,1109135;"0.4627";0,9745235;"0.018465";"326";0,0395343674988874;0,466977272370059;"Nodiff"
"Dialister_invisus";0,0401256296786617;1,112652;"0";0,89139075;"0";"269";0,0401256296786617;0,466977272370059;"Nodiff"
"Eggerthella_lenta";0,0424884403940517;0,01939;"0";0,04011275;"0.00265";"280";0,0424884403940517;0,466977272370059;"Nodiff"
"Ruminococcus_torques";0,0428000580945263;1,25038775;"0.87775";2,53754325;"1.45699";"615";0,0428000580945263;0,466977272370059;"Nodiff"
"Abiotrophia_defectiva";0,0428145473601547;0;"0";0,0049065;"0";"1";0,0428145473601547;0,466977272370059;"Nodiff"
"Aeromonas_unclassified";0,0428145473601547;0;"0";0,00265325;"0";"39";0,0428145473601547;0,466977272370059;"Nodiff"
"Eikenella_corrodens";0,0428145473601547;0;"0";0,00138525;"0";"286";0,0428145473601547;0,466977272370059;"Nodiff"
"Erysipelotrichaceae_bacterium_3_1_53";0,0428145473601547;0;"0";0,015008;"0";"312";0,0428145473601547;0,466977272370059;"Nodiff"
"Leptotrichia_unclassified";0,0428145473601547;0;"0";0,0036285;"0";"450";0,0428145473601547;0,466977272370059;"Nodiff"
"Leuconostoc_mesenteroides";0,0428145473601547;0,00193075;"0";0;"0";"458";0,0428145473601547;0,466977272370059;"Nodiff"
"Morganella_morganii";0,0428145473601547;0;"0";0,360809;"0";"482";0,0428145473601547;0,466977272370059;"Nodiff"
"Streptococcus_dysgalactiae";0,0428145473601547;0;"0";0,01137425;"0";"659";0,0428145473601547;0,466977272370059;"Nodiff"
"Alistipes_sp_AP11";0,0462457467023214;0,08039975;"0";0,17334225;"0";"54";0,0462457467023214;0,488183837388445;"Nodiff"
"Bilophila_wadsworthia";0,0468406667003838;0,04647075;"0.00319";0,07758225;"0.02768";"144";0,0468406667003838;0,488183837388445;"Nodiff"
"Fusobacterium_varium";0,0531357161014948;0,0058045;"0";0,04911925;"0";"352";0,0531357161014948;0,516040774895471;"Nodiff"
"Alloscardovia_omnicolens";0,0567491776075949;0,00055375;"0";0,0053745;"0";"60";0,0567491776075949;0,516040774895471;"Nodiff"
"Megasphaera_micronuciformis";0,0581519104534649;0,153637;"0";0,010168;"0";"472";0,0581519104534649;0,516040774895471;"Nodiff"
