"X1","X2","X3","X4","X5","X6","X7","X8","X9","X10","X11","X12","X13","X14","X15","X16","X17","X18","X19","X20","X21","X22","X23","X24","X25","X26","X27","X28","X29","X30","X31","X32","X33"
"CCMD76222476ST.11.0","CCMD35081859ST.11.0","CCMD10191450ST.11.0","SID31071","LILT_VF189_T016","SID31328","LILT_VF263_T016","SZAXPI015235.21","SZAXPI015259.62","16.2363051848134","21.0009965604016","21.7173831465257","22.2374328935064","23.4572691500524","23.5290187572389","24.4599725272045","24.9108975909621","CCMD49461418ST.11.0","CCMD95431029ST.11.0","MMRS44587603ST.27.0.0","SID31875","CCMD86707194ST.21.0","MMRS65205033ST.27.0.0","CCMD52145360ST.11.0","DRR162778","18.7734391249659","20.491458257047","24.819613132821","25.0003779846485","26.5193849766355","27.6917821622751","27.9767289768318","28.1139894888559"
"CCMD79349503ST.11.0","CCIS94603952ST.4.0","SZAXPI015255.46","SID31328","CCIS07648107ST.4.0","DRR127588","SZAXPI015244.32","CCMD35801800ST.11.0","CCIS03473770ST.4.0","24.9224881097394","27.0743743206967","28.7672288709097","29.0705384448104","29.3629845325607","29.556507398507","29.9408388640883","30.0083533756669","CCMD82866709ST.21.0","SID31875","MMRS65205033ST.27.0.0","MMRS44587603ST.27.0.0","CRC_MR_SBJ51C_17","DRR162778","CCIS62794166ST.4.0","MMRS55294627ST.27.0.0","22.3650248690785","23.9452835571392","24.3122314033245","28.9680618783066","29.1378310349484","29.4834745792486","29.9697011775226","30.1458295093733"
"CCMD82866709ST.21.0","MMRS88581325ST.27.0.0","CCIS03473770ST.4.0","SID31328","SID31021","SZAXPI015268.109","CCIS94603952ST.4.0","SZAXPI015255.46","SZAXPI015244.32","18.4879312209885","20.4496418043153","21.5112702233597","21.6244955417392","22.3169028112819","22.4507694087664","22.9057231003848","23.1236856703273","SID31875","MMRS65205033ST.27.0.0","CCMD79349503ST.11.0","CCIS62794166ST.4.0","MMRS55294627ST.27.0.0","CCIS71301801ST.4.0","CCMD52145360ST.11.0","CCMD25963797ST.21.0","20.5020179025992","20.5948947335523","22.3650248690785","23.0993836360518","23.3128999378348","23.7774697833958","24.1754762457309","24.1770320535276"
"CCMD86707194ST.21.0","CRC_MR_SBJ74H_17","CCIS05314658ST.4.0","SID31328","SZAXPI015255.46","SID530055","CCIS03473770ST.4.0","SZAXPI015227.13","MMPU29365221ST","20.2552045610159","20.675488825873","21.2154837540839","21.4410243117091","21.8865401504943","22.2150123082073","23.6191707092057","23.821567447687","CCMD49461418ST.11.0","MMRS65205033ST.27.0.0","SID531416","CCIS76845094ST.20.0","CCIS62794166ST.4.0","DRR162778","CCMD95431029ST.11.0","CCMD82866709ST.21.0","19.5503317430523","25.2679149436217","25.5427097936789","25.6186391316811","25.6380577244474","25.9825525288433","26.1922551812611","26.2430274364221"
"CCMD87156761ST.21.0","MMRS34569532ST.27.0.0","CCMD32965613ST.11.0","MMRS38954404ST.27.0.0","CCMD39882286ST.11.0","MMRS65742083ST.27.0.0","SZAXPI015264.87","CCMD41202658ST.11.0","CCIS03473770ST.4.0","20.4292754204524","20.9311897368401","23.7072799542546","27.1683451142115","32.0569575118226","34.289678364973","34.7149135124214","34.7500232551318","CCIS21278152ST.4.0","MMRS54316675ST.27.0.0","CCMD82866709ST.21.0","SID31875","MMRS65205033ST.27.0.0","CCMD52145360ST.11.0","MMRS44587603ST.27.0.0","SZAXPI015223.158","19.5027162132714","33.8479630274807","35.6727875112333","35.7592665064358","36.5624525229435","36.5636747848585","37.6077038149885","37.6971680990098"
"CCMD95431029ST.11.0","CCMD35081859ST.11.0","SID31328","CCMD10191450ST.11.0","CRC_MR_SBJ74H_17","LILT_VF189_T016","SID31071","SZAXPI015235.21","SID530055","15.6080020935641","22.3970864392157","23.9769466395306","25.1315495463153","25.8110006032796","25.958331613482","26.5377059456634","27.2179905559485","CCMD76222476ST.11.0","CCMD49461418ST.11.0","SID31875","CCMD86707194ST.21.0","CCMD82866709ST.21.0","CCMD52145360ST.11.0","MMRS65205033ST.27.0.0","DRR162778","20.491458257047","20.7430376365107","25.907727514373","26.1922551812611","27.7643747270941","28.4122019233638","28.9389804419472","29.168270367353"
"CRC_MR_SBJ05C_17","SZAXPI015268.109","MMRS68630931ST.27.0.0","SZAXPI015261.75","CCIS98482370ST.3.0","CCIS03473770ST.4.0","CCMD22852639ST.11.0","MMPU29365221ST","MMRS88581325ST.27.0.0","25.2960434606679","26.4807217416029","28.0046836711933","28.0862612164026","28.2992903925805","28.6205278814438","29.1729808328751","29.8340213746923","SZAXPI017583.102","CRC_MR_SBJ11C_17","MMRS72980899ST.27.0.0","CCIS62794166ST.4.0","SZAXPI015237.23","CCMD86707194ST.21.0","CCMD11006829ST.21.0","MMRS65205033ST.27.0.0","20.3721311441538","23.8457252467104","25.4607512297772","26.0216585032181","26.5956263960073","26.7437382446508","29.7430376467552","30.03994023663"
"CRC_MR_SBJ11C_17","CCIS07648107ST.4.0","CCIS48174381ST.4.0","CCIS05314658ST.4.0","CCIS03473770ST.4.0","SZAXPI015268.109","SID31009","MMRS88581325ST.27.0.0","MMRS68630931ST.27.0.0","22.1129064732409","22.1380928599936","24.0901482703241","24.2921490518562","24.2948689834829","25.6709147623687","25.7671338919291","26.3926907957071","CCIS62794166ST.4.0","CRC_MR_SBJ05C_17","MMRS55294627ST.27.0.0","MMRS65205033ST.27.0.0","SID31875","CCMD11006829ST.21.0","SZAXPI017583.102","DRR162778","21.328931355647","23.8457252467104","25.1661217417086","26.2525827438426","26.3235581548563","26.4242993338915","27.437340090745","27.4435117502644"
"CRC_MR_SBJ25C_17","SZAXPI015241.27","CCIS02856720ST.4.0","CCIS23164343ST.4.0","SID31236","SZAXPI015227.13","CCIS50471204ST.4.0","CCIS93040568ST.20.0","MMRS88581325ST.27.0.0","19.0116514501765","20.8274742335719","21.6957288943515","22.1330061626545","24.1657648178761","24.432383909584","24.8363139459019","25.1788114644893","SID31276","SZAXPI015223.158","CCMD52145360ST.11.0","CCIS76845094ST.20.0","CCIS41222843ST.4.0","CCIS81887263ST.4.0","SID531416","SID531281","16.1566525789874","23.5984978855075","25.2090160924777","25.8298335131723","25.9826631992719","27.8373183451029","28.0340754007904","29.9846152601397"
"CRC_MR_SBJ26C_17","CCIS07648107ST.4.0","CCIS05314658ST.4.0","CCIS48174381ST.4.0","SID31071","MMRS68630931ST.27.0.0","CCIS50471204ST.4.0","CCMD35801800ST.11.0","CRC_MR_SBJ78H_17","20.4702831988861","23.6185870388281","25.5239173906358","26.779715693194","26.9684786829309","26.9841340564988","27.4103053363238","27.7385924140519","CCIS62794166ST.4.0","MMRS41266697ST.27.0.0","MMRS65205033ST.27.0.0","SID31875","CCMD49461418ST.11.0","CCMD40701343ST.21.0","CRC_MR_SBJ11C_17","MMRS55294627ST.27.0.0","25.0785044370553","26.4066061803216","27.5543152075714","27.5908988785722","27.8652382103958","27.8891802293739","28.0575673653134","28.1503516843609"
