"Accuracy","Kappa","AccuracyLower","AccuracyUpper","AccuracyNull","AccuracyPValue","McnemarPValue","Sensitivity","Specificity","Pos.Pred.Value","Neg.Pred.Value","Precision","Recall","F1","Prevalence","Detection.Rate","Detection.Prevalence","Balanced.Accuracy","FeatureCount","Sampling","RepeatTimes"
0.727762803234501,0.455703557369667,0.679420973833756,0.772427482588406,0.504043126684636,1.29166293757103e-18,0.426014742594248,0.75,0.705882352941177,0.715025906735751,0.741573033707865,0.715025906735751,0.75,0.73209549071618,0.495956873315364,0.371967654986523,0.520215633423181,0.727941176470588,50,400,10
0.752021563342318,0.504442766711191,0.704822356003605,0.795147411326563,0.504043126684636,1.17603297281427e-22,0.0476039547278718,0.804347826086957,0.700534759358289,0.725490196078431,0.784431137724551,0.725490196078431,0.804347826086957,0.762886597938144,0.495956873315364,0.398921832884097,0.549865229110512,0.752441292722623,50,400,9
0.76010781671159,0.521165363922445,0.713329411984712,0.802680385528935,0.504043126684636,4.10552891225441e-24,1.08263957187067e-06,0.885869565217391,0.636363636363636,0.705627705627706,0.85,0.705627705627706,0.885869565217391,0.785542168674699,0.495956873315364,0.439353099730458,0.622641509433962,0.761116600790514,50,400,8
0.76010781671159,0.520330636140448,0.713329411984712,0.802680385528935,0.504043126684636,4.10552891225441e-24,0.524777251099604,0.777173913043478,0.74331550802139,0.74869109947644,0.772222222222222,0.74869109947644,0.777173913043478,0.762666666666667,0.495956873315364,0.38544474393531,0.514824797843666,0.760244710532434,50,400,7
0.733153638814016,0.466342172175808,0.685050718205298,0.77749150679585,0.504043126684636,1.79904709236289e-19,0.840692660305486,0.739130434782609,0.727272727272727,0.727272727272727,0.739130434782609,0.727272727272727,0.739130434782609,0.733153638814016,0.495956873315364,0.366576819407008,0.504043126684636,0.733201581027668,50,400,6
0.733153638814016,0.466435201998925,0.685050718205298,0.77749150679585,0.504043126684636,1.79904709236289e-19,0.546493595406582,0.75,0.716577540106952,0.722513089005236,0.744444444444444,0.722513089005236,0.75,0.736,0.495956873315364,0.371967654986523,0.514824797843666,0.733288770053476,50,400,5
0.757412398921833,0.515553363124601,0.71049142123131,0.800171724577445,0.504043126684636,1.27449174115303e-23,0.000224850771918971,0.853260869565217,0.663101604278075,0.713636363636364,0.821192052980132,0.713636363636364,0.853260869565217,0.777227722772277,0.495956873315364,0.423180592991914,0.592991913746631,0.758181236921646,50,400,4
0.749326145552561,0.499818790681492,0.70199123126816,0.792631810703959,0.504043126684636,3.49646066471433e-22,2.14922391321782e-08,0.896739130434783,0.60427807486631,0.690376569037657,0.856060606060606,0.690376569037657,0.896739130434783,0.780141843971631,0.495956873315364,0.444743935309973,0.644204851752022,0.750508602650546,50,400,3
0.709851551956815,0.420548408567656,0.675710112975981,0.742312542506597,0.502024291497976,1.09936140773602e-30,6.3193437249652e-20,0.89159891598916,0.529569892473118,0.652777777777778,0.831223628691983,0.652777777777778,0.89159891598916,0.753722794959908,0.497975708502024,0.443994601889339,0.680161943319838,0.710584404231139,50,400,2
0.708502024291498,0.418024739838995,0.674321422632093,0.741013043605004,0.502024291497976,2.66762473823876e-30,6.31132172712508e-28,0.926829268292683,0.491935483870968,0.64406779661017,0.871428571428571,0.644067796610169,0.926829268292683,0.76,0.497975708502024,0.461538461538462,0.716599190283401,0.709382376081825,50,400,1
0.760070052539405,0.520647331687021,0.722873682799478,0.794550625872129,0.502626970227671,1.51855093195114e-36,7.22282780327886e-07,0.862676056338028,0.658536585365854,0.714285714285714,0.828947368421053,0.714285714285714,0.862676056338028,0.781499202551834,0.497373029772329,0.42907180385289,0.600700525394046,0.760606320851941,50,200,10
0.732049036777583,0.464664538307403,0.69370632276168,0.76797126299244,0.502626970227671,4.14555048219059e-29,2.74513764920573e-06,0.834507042253521,0.630662020905923,0.690962099125364,0.793859649122807,0.690962099125364,0.834507042253521,0.755980861244019,0.497373029772329,0.415061295971979,0.600700525394046,0.732584531579722,50,200,9
0.719789842381786,0.44047035766781,0.681004573741026,0.756283450700704,0.502626970227671,3.60653399270263e-26,6.07183063306544e-12,0.873239436619718,0.56794425087108,0.666666666666667,0.819095477386935,0.666666666666667,0.873239436619718,0.75609756097561,0.497373029772329,0.434325744308231,0.651488616462347,0.720591843745399,50,200,8
0.711033274956217,0.423249977043862,0.671952644996841,0.747914147726743,0.502626970227671,3.50201395194839e-24,2.80203550075518e-18,0.908450704225352,0.515679442508711,0.649874055415617,0.850574712643678,0.649874055415617,0.908450704225352,0.757709251101322,0.497373029772329,0.45183887915937,0.695271453590193,0.712065073367032,50,200,7
0.732049036777583,0.464447945465803,0.69370632276168,0.76797126299244,0.502626970227671,4.14555048219059e-29,0.00360934693594545,0.795774647887324,0.668989547038328,0.70404984423676,0.768,0.70404984423676,0.795774647887324,0.747107438016529,0.497373029772329,0.395796847635727,0.562171628721541,0.732382097462826,50,200,6
0.742556917688266,0.485431060378492,0.704621489001505,0.777961266673529,0.502626970227671,8.87604256695798e-32,0.00504302260380679,0.802816901408451,0.682926829268293,0.714733542319749,0.777777777777778,0.714733542319749,0.802816901408451,0.756218905472637,0.497373029772329,0.399299474605954,0.558669001751314,0.742871865338372,50,200,5
0.735551663747811,0.471409741593354,0.697341791181691,0.77130420274418,0.502626970227671,5.53800746728049e-30,0.00921096756559031,0.792253521126761,0.679442508710801,0.709779179810726,0.767716535433071,0.709779179810726,0.792253521126761,0.748752079866889,0.497373029772329,0.394045534150613,0.555166374781086,0.735848014918781,50,200,4
