"X1","X2","X3","X4","X5","X6","X7","X8","X9","X10","X11","X12","X13","X14","X15","X16","X17","X18","X19","X20","X21","X22","X23","X24","X25","X26","X27","X28","X29","X30","X31","X32","X33"
"CCIS05314658ST.4.0","CRC_MR_SBJ45H_17","SID531414","CCIS11354283ST.4.0","SID31021","SID31360","CCIS03473770ST.4.0","CCIS90164298ST.4.0","CCMD59540613ST.11.0","15.8607408558932","19.315862846821","19.9134400871472","20.0088509725146","20.9837534340952","21.0402005930647","21.0681111921216","21.8671471935824","CRC_MR_SBJ06C_17","CCMD63399960ST.21.0","SID531277","CCIS52370277ST.4.0","SZAXPI017588.123","MMRS12272136ST.27.0.0","CCMD50071957ST.21.0","CCMD90311071ST.21.0","17.4519386174345","18.1814069482507","19.0920846378283","20.2204438991779","20.6320594075822","21.4457746966273","21.4741472984796","22.5999452335111"
"CCIS11354283ST.4.0","SZAXPI015255.46","CCIS03473770ST.4.0","SID31021","CCIS05314658ST.4.0","SID31160","SID31766","CRC_MR_SBJ79H_17","MMRS65862658ST.27.0.0","17.7826757357857","19.3183921759964","19.795603551938","19.9134400871472","22.5632270148354","23.2314137946467","23.5679701809723","23.7126649718394","SID531277","CRC_MR_SBJ06C_17","CCMD63399960ST.21.0","SID31276","CCIS17669415ST.4.0","SZAXPI017588.123","SID531352","SZAXPI003412.1","19.0868688107715","19.1654149042305","20.9961518289781","21.3325561454787","21.9210810448595","22.4757568791531","24.2667143999821","24.5675347771464"
"CCIS11558985ST.4.0","CCMD59540613ST.11.0","CCIS03473770ST.4.0","LILT_VF28_T016","MMRS65862658ST.27.0.0","SZAXPI015268.109","CRC_MR_SBJ45H_17","CCIS05314658ST.4.0","MMRS39582183ST.27.0.0","30.2854991603061","31.6508529858375","32.7489434992123","33.1572873074925","33.7966945822295","34.102811373702","35.0686481419529","36.1241186566025","CCMD63399960ST.21.0","CCMD50071957ST.21.0","SZAXPI017454.20","CCIS02379307ST.4.0","SID531277","SZAXPI017588.123","MMRS12272136ST.27.0.0","MMRS65205033ST.27.0.0","28.7085176466776","30.795550449578","33.4643195127661","33.9725561425601","34.446189711974","34.9254562673374","35.1309021797192","35.4045640931815"
"CCIS29210128ST.4.0","CCIS05314658ST.4.0","CCIS11354283ST.4.0","CCIS93040568ST.20.0","SZAXPI015268.109","CCIS95097901ST.4.0","CCIS03473770ST.4.0","CCIS74239020ST.4.0","SID31021","29.1951654175944","30.0855802153673","30.3032813514708","30.7283577963825","31.3391735500603","31.7511328307432","31.8862042001835","32.2126488598997","SZAXPI015222.123","SZAXPI003427.1","SZAXPI017454.20","CCMD63399960ST.21.0","DRR162778","CCMD50071957ST.21.0","CCIS52370277ST.4.0","DRR127521","24.514055579569","26.2362347896092","26.7895955887934","29.0761465522961","29.6644841222361","30.1857704210328","30.3481520713684","31.0489822408674"
"CCIS29688262ST.20.0","SID532749","CCIS05314658ST.4.0","CCIS93040568ST.20.0","SID31360","CRC_MR_SBJ45H_17","SID31021","CCIS03473770ST.4.0","CCIS90164298ST.4.0","28.0788857651314","30.9512530484745","31.6176428339559","31.9243723026593","32.730548270084","33.7101441446102","34.4520390099556","34.4672788221452","SZAXPI017454.20","CRC_MR_SBJ11C_17","CCMD63399960ST.21.0","CCIS52370277ST.4.0","CCIS02379307ST.4.0","CCMD50071957ST.21.0","DRR127515","MMRS65205033ST.27.0.0","31.0820437637827","32.2511302142034","33.1658895679793","33.7569750501004","33.9130229601491","34.5267704785417","34.5729691507093","34.780125962489"
"CCIS63468405ST.4.0","MMRS39582183ST.27.0.0","CCMD32965613ST.11.0","CCIS95409808ST.4.0","CCMD39882286ST.11.0","CCIS51595129ST.4.0","MMRS65742083ST.27.0.0","MMRS38861560ST.27.0.0","CCIS74239020ST.4.0","21.8878216495406","24.5338478365971","27.7447822033441","29.1508697170428","29.5405938322455","29.8144771811531","29.8956732125102","30.7403949659597","CRC_MR_SBJ40C_17","SZAXPI017588.123","SZAXPI017454.20","CCMD63399960ST.21.0","CCMD50071957ST.21.0","CCIS52370277ST.4.0","CRC_MR_SBJ61C_17","MMRS41266697ST.27.0.0","25.0060719836263","30.551344102319","30.6628318993354","31.4223281975795","31.5912679501172","32.0469473781591","32.4414883702367","32.8444781313085"
"CCIS74239020ST.4.0","CCIS11354283ST.4.0","CCIS05314658ST.4.0","SZAXPI015255.46","CCMD32965613ST.11.0","SID531414","SID31360","CCIS90164298ST.4.0","MMRS39582183ST.27.0.0","24.1637749346061","24.2374527374949","24.8867472988296","25.0239757939361","25.3528035777841","25.5207575864785","25.7933361478135","25.8572366043377","CRC_MR_SBJ06C_17","CCMD63399960ST.21.0","DRR162778","CCMD50071957ST.21.0","SZAXPI017588.123","SZAXPI017454.20","SID531277","CRC_MR_SBJ40C_17","21.940263901257","22.9678982906883","24.853060766815","25.4610976330735","25.5746400259808","25.7961174969355","25.9172762585558","25.9657929911778"
"CCIS90164298ST.4.0","CCMD41521570ST.11.0","CRC_MR_SBJ45H_17","CCIS05314658ST.4.0","SID531414","MMRS39582183ST.27.0.0","MMRS95277876ST.27.0.0","MMRS97307143ST.27.0.0","SID31700","17.2159498076929","17.780987793202","21.0681111921216","21.6189554554608","23.203786117524","23.5387835963395","23.7520542142864","23.910808723295","CRC_MR_SBJ06C_17","CCMD63399960ST.21.0","CCMD95676152ST.11.0","SZAXPI017588.123","CCMD50071957ST.21.0","DRR162778","SZAXPI017454.20","SZAXPI003435.11","18.1984299996263","23.2474350382037","23.6741646864573","23.8373890231627","24.1078660500468","24.3103670647339","24.3334235721528","25.0299944284253"
"CCIS93040568ST.20.0","CCIS95097901ST.4.0","CCIS11354283ST.4.0","CRC_MR_SBJ68H_17","CRC_MR_SBJ79H_17","CCIS05314658ST.4.0","SID31021","CCIS74239020ST.4.0","SZAXPI017592.142","22.7038484629236","24.0900905395829","25.5010798070905","26.6674812950698","27.8344448409574","28.8834993706199","29.2521639185753","29.2725876083256","CCIS17669415ST.4.0","SZAXPI003412.1","SID31276","CRC_MR_SBJ06C_17","SID531352","SZAXPI017454.20","SZAXPI003435.11","CCMD63399960ST.21.0","24.6053644893791","25.7521530390102","26.8010035854313","26.8682554437909","26.9047743425066","27.4484962610031","27.7746477546143","28.7047752157198"
"CCIS95097901ST.4.0","CCIS93040568ST.20.0","SZAXPI017592.142","CCIS11354283ST.4.0","CCIS05314658ST.4.0","CRC_MR_SBJ79H_17","SID31766","CRC_MR_SBJ68H_17","CCIS74239020ST.4.0","22.7038484629236","24.2148899551268","24.2849099939139","28.078623766921","28.3219634814026","28.6171784743849","28.713211131662","28.9633357074112","CCIS17669415ST.4.0","SID31276","SZAXPI003412.1","SID531352","SZAXPI003435.11","CRC_MR_SBJ06C_17","CCMD63399960ST.21.0","SZAXPI003415.12","21.6157832221134","22.7572496729965","23.3425535344615","24.5771870832323","27.6368554490286","27.8423702115858","28.6652960783384","29.0949374349473"
