"X1","X2","X3","X4","X5","X6","X7","X8","X9","X10","X11","X12","X13","X14","X15","X16","X17","X18","X19","X20","X21"
"CCIS29210128ST.4.0","MMRS11932626ST.27.0.0","SID31009","CCIS95097901ST.4.0","MMRS11288076ST.27.0.0","MMRS95479054ST.27.0.0","29.5725697277697","30.3030209191741","31.3391735500603","32.1043268855835","32.23991819105","CCIS11015875ST.4.0","DRR162778","SZAXPI017453.19","CRC_MR_SBJ52C_17","CCMD11006829ST.21.0","29.5179886408373","29.6644841222361","30.2492088080895","30.8929359420143","31.722819044921"
"CCIS63468405ST.4.0","MMRS95479054ST.27.0.0","MMRS11932626ST.27.0.0","CRC_MR_SBJ67H_17","MMRS92546335ST.27.0.0","CRC_MR_SBJ78H_17","30.885023287953","33.386298888628","34.8090299169282","35.1354527869345","35.6357020827498","CCIS61287323ST.4.0","MMRS44587603ST.27.0.0","CCIS11015875ST.4.0","SZAXPI017453.19","DRR162778","27.2825305413483","32.1145733345813","32.197162258432","32.2406103101167","33.6593081099627"
"CCIS64785924ST.20.0","SID31537","CCIS95097901ST.4.0","SZAXPI015250.39","SID31009","CCMD89967135ST.11.0","17.0678570251482","24.44044804888","26.0629356063952","29.0014885143763","31.4518308005671","SID31276","CRC_MR_SBJ52C_17","CCMD98531134ST.11.0","SZAXPI017453.19","CCIS11015875ST.4.0","22.4710280337705","24.2572899524988","24.8342903081284","27.4719375949968","29.6330488576353"
"CCIS95097901ST.4.0","SID31537","CCIS64785924ST.20.0","SID31009","SZAXPI015250.39","CCMD89967135ST.11.0","23.2977995696182","24.44044804888","25.6958619791884","25.734990352726","28.3225801125092","SID31276","CRC_MR_SBJ52C_17","CCMD98531134ST.11.0","SZAXPI017453.19","CCIS11015875ST.4.0","22.7572496729965","23.0330124945609","24.7169299426972","27.7689447884899","29.2832243482442"
"CCMD31134579ST.11.0","CRC_MR_SBJ67H_17","CCMD66848156ST.11.0","CCMD89967135ST.11.0","CRC_MR_SBJ78H_17","MMRS95479054ST.27.0.0","32.0675879119322","34.0258695333418","34.8441760420131","35.154288276957","35.2962871261681","CRC_MR_SBJ49C_17","DRR127603","SZAXPI015220.136","MMRS44587603ST.27.0.0","SZAXPI017467.87","20.8242616303988","29.3173963016227","30.3016026611613","31.036933543849","31.7210906356654"
"CCMD45004878ST.11.0","CCMD66848156ST.11.0","CRC_MR_SBJ67H_17","CCMD89967135ST.11.0","MMRS11932626ST.27.0.0","CRC_MR_SBJ78H_17","19.6346970643858","23.7750715806683","25.3576114539323","25.8559969171158","27.8029387821288","SZAXPI017466.84","CCMD86114146ST.21.0","CCMD27463710ST.11.0","CCIS11015875ST.4.0","DRR127603","19.8982090886542","21.7227585702346","23.6563559810783","25.4826077406238","26.9752849818088"
"CCMD66848156ST.11.0","CCMD45004878ST.11.0","CRC_MR_SBJ78H_17","CCMD89967135ST.11.0","MMRS11932626ST.27.0.0","CRC_MR_SBJ67H_17","19.6346970643858","21.1427657176964","21.3068147344928","24.2922395202316","25.604520828051","SZAXPI017466.84","CCMD86114146ST.21.0","CCIS11015875ST.4.0","CRC_MR_SBJ52C_17","CCMD12232071ST.21.0","19.2506633025982","20.8051714801032","21.1312064759327","23.7868385655829","25.362302051127"
"CCMD89967135ST.11.0","CCMD66848156ST.11.0","CRC_MR_SBJ78H_17","MMRS11932626ST.27.0.0","CRC_MR_SBJ67H_17","SID31009","21.3068147344928","21.8859242727284","22.1695251787922","24.0788511872078","24.1589606145753","CCIS11015875ST.4.0","CCMD86114146ST.21.0","CRC_MR_SBJ52C_17","SZAXPI017466.84","DRR162778","20.1561495950417","20.8955235965912","22.6027115608438","23.2750982538248","25.2580028392765"
"CCMD99929634ST.11.0","MMRS95479054ST.27.0.0","CRC_MR_SBJ67H_17","SID31379","CCMD45004878ST.11.0","MMRS11932626ST.27.0.0","23.1313327295359","24.4935026197663","25.1253731604587","29.6306376400171","29.6916864590663","SZAXPI015213.15","CCMD51864103ST.21.0","CCIS11015875ST.4.0","CRC_MR_SBJ52C_17","DRR162778","19.0662675825711","20.7550627264988","28.9205417334652","30.7861621066105","31.4894979961018"
"CRC_MR_SBJ67H_17","MMRS11932626ST.27.0.0","MMRS95479054ST.27.0.0","CCMD45004878ST.11.0","CCMD89967135ST.11.0","CCMD99929634ST.11.0","21.9318169586471","22.0453824491207","23.7750715806683","24.0788511872078","24.4935026197663","CCIS11015875ST.4.0","SZAXPI015213.15","DRR127603","CRC_MR_SBJ52C_17","CCMD51864103ST.21.0","21.6312493283074","23.4230693919542","24.1795693651789","24.9235383761094","25.8320345346006"
"CRC_MR_SBJ78H_17","SID31009","CCMD66848156ST.11.0","CCMD89967135ST.11.0","MMRS11932626ST.27.0.0","CCMD99440714ST.11.0","20.0755379185067","21.1427657176964","21.8859242727284","23.1875626889481","23.6378521182044","CRC_MR_SBJ52C_17","CCIS11015875ST.4.0","DRR162778","SZAXPI017466.84","CCMD86114146ST.21.0","18.8087463419416","20.0297981487308","21.2479732862854","23.901952265746","24.9632926943923"
"LILT_VF189_T016","CCMD99440714ST.11.0","CRC_MR_SBJ78H_17","MMRS95479054ST.27.0.0","MMRS51307502ST.27.0.0","CCMD66848156ST.11.0","22.8543791760595","23.692290716252","24.3997799835183","26.7509139780251","27.9923484626746","CCMD86114146ST.21.0","DRR162778","MMRS44587603ST.27.0.0","CCIS11015875ST.4.0","CRC_MR_SBJ52C_17","25.295862793534","25.653783525143","26.2242060312205","26.6401431808971","27.2600321290511"
"MMRS11288076ST.27.0.0","MMRS11932626ST.27.0.0","MMRS92546335ST.27.0.0","CRC_MR_SBJ78H_17","SID31009","CCMD89967135ST.11.0","27.14934813953","27.7523780879459","29.5803172149607","29.8176019124258","30.2471204552483","CCIS11015875ST.4.0","DRR162778","CCMD12232071ST.21.0","CCMD11006829ST.21.0","CRC_MR_SBJ52C_17","26.9131535470483","28.3077813515154","28.6426173517348","29.3397469459571","29.4071946439983"
"MMRS92546335ST.27.0.0","MMRS11932626ST.27.0.0","CRC_MR_SBJ78H_17","MMRS11288076ST.27.0.0","CCMD89967135ST.11.0","MMRS95479054ST.27.0.0","26.8071193982811","27.2597627718915","27.7523780879459","27.7662772447586","29.1352327057173","CCIS11015875ST.4.0","CRC_MR_SBJ52C_17","DRR162778","CCMD11006829ST.21.0","SZAXPI017466.84","25.3393075688129","28.1196277686832","28.142443012626","29.5361517473875","29.8946869243683"
"MMRS95479054ST.27.0.0","CCMD99440714ST.11.0","CRC_MR_SBJ67H_17","CCMD99929634ST.11.0","MMRS11932626ST.27.0.0","LILT_VF189_T016","21.5732650465988","22.0453824491207","23.1313327295359","23.9464396076285","24.3997799835183","MMRS44587603ST.27.0.0","CCIS11015875ST.4.0","CRC_MR_SBJ52C_17","DRR162778","DRR127603","20.8545173190463","22.5841092434703","23.1299894696301","23.8823088775395","26.8370928950306"
"SID31009","CRC_MR_SBJ78H_17","CCMD89967135ST.11.0","CCIS95097901ST.4.0","MMRS11932626ST.27.0.0","CRC_MR_SBJ67H_17","20.0755379185067","24.1589606145753","25.6958619791884","26.1595823774903","28.7072103612786","CCIS11015875ST.4.0","CRC_MR_SBJ52C_17","CCMD11006829ST.21.0","DRR162778","SZAXPI017453.19","22.2233231066036","23.5154746677608","26.6671050118062","26.9630628829683","27.4420299485934"
"SID31379","CRC_MR_SBJ67H_17","CCMD99929634ST.11.0","MMRS95479054ST.27.0.0","MMRS11932626ST.27.0.0","CCMD45004878ST.11.0","24.917406540216","25.1253731604587","31.4863609652878","32.3056640445294","32.4663152027836","CCMD51864103ST.21.0","SZAXPI015213.15","CRC_MR_SBJ52C_17","CCIS11015875ST.4.0","DRR162778","21.6016795648301","23.6865736682767","28.9000809844125","29.9926201312423","33.5189030505325"
