"Species";"Pvalue";"Ctlmean";"Ctlmedian";"CRCmean";"CRCmedian";"SamplingCountForEachGroup";"pvalue";"adj.fdr.p";"Enrichment"
"Enterococcus_faecalis";0,758771787236023;0,00666375;"0";0,101557;"0";"298";0,758771787236023;0,886170507068244;"Nodiff"
"Bacteroides_dorei";0,76542929876678;2,325106;"0.290455";0,82004325;"0.23123";"91";0,76542929876678;0,891743986001692;"Nodiff"
"Gordonibacter_pamelaeae";0,782766938880536;0,027656;"0";0,0247975;"0.000125";"359";0,782766938880536;0,908678684380373;"Nodiff"
"Ruminococcus_bromii";0,783829939372007;5,08048175;"1.1709";3,52158125;"0.83389";"605";0,783829939372007;0,908678684380373;"Nodiff"
"Acidaminococcus_fermentans";0,785728502984297;0,022242;"0";0,021576;"0";"4";0,785728502984297;0,908678684380373;"Nodiff"
"Coprococcus_eutactus";0,790852934947892;0,238489;"0";0,51271525;"0";"242";0,790852934947892;0,912374239586227;"Nodiff"
"Bacteroides_vulgatus";0,795000425937474;1,4049275;"1.041765";3,248652;"0.99944";"124";0,795000425937474;0,914927497490086;"Nodiff"
"Bacteroides_finegoldii";0,803709693204921;0,09249025;"0";0,13576275;"0";"94";0,803709693204921;0,92270554583963;"Nodiff"
"Alistipes_putredinis";0,828375102829862;2,1256165;"1.52568";2,40675625;"1.10769";"51";0,828375102829862;0,948720154088438;"Nodiff"
"Parasutterella_excrementihominis";0,84015256438927;0,04008925;"0.001565";0,04718725;"0";"514";0,84015256438927;0,959180125702906;"Nodiff"
"Turicibacter_unclassified";0,841563958069146;0,012882;"0";0,0042335;"0";"704";0,841563958069146;0,959180125702906;"Nodiff"
"Veillonella_unclassified";0,850844994125255;0,08979425;"0.00879";0,05586325;"0.01026";"713";0,850844994125255;0,965639276156176;"Nodiff"
"Bacteroides_cellulosilyticus";0,851760227107558;0,572514;"0.023785";0,35624175;"0.052085";"87";0,851760227107558;0,965639276156176;"Nodiff"
"Actinomyces_viscosus";0,85335563939383;0,0004155;"0";0,0008555;"0";"36";0,85335563939383;0,965639276156176;"Nodiff"
"Bacteroides_coprocola";0,864150831526375;0,458136;"0";1,02652975;"0";"89";0,864150831526375;0,973198436457084;"Nodiff"
"Blautia_producta";0,864150831526375;0,00205375;"0";0,00208875;"0";"147";0,864150831526375;0,973198436457084;"Nodiff"
"Bacteroides_ovatus";0,866270357616594;1,42248625;"0.508425";1,59601075;"0.437145";"102";0,866270357616594;0,973268121502729;"Nodiff"
"Eubacterium_cylindroides";0,870903324704496;0,022478;"0";0,03059925;"0";"324";0,870903324704496;0,976154674372575;"Nodiff"
"Eubacterium_siraeum";0,891714272239317;0,75107175;"0.167855";2,227695;"0.05527";"333";0,891714272239317;0,997117850518196;"Nodiff"
"Bacteroides_intestinalis";0,896127607775618;0,10740375;"0";0,154978;"0";"98";0,896127607775618;0,999689524711951;"Nodiff"
"Veillonella_atypica";0,902140388074352;0,010064;"0";0,01265675;"0";"707";0,902140388074352;1;"Nodiff"
"Acidaminococcus_unclassified";0,90745702108915;0,21201125;"0";0,0606975;"0";"9";0,90745702108915;1;"Nodiff"
"Eubacterium_sp_3_1_31";0,917721264869922;0,11037125;"0";0,01116275;"0";"334";0,917721264869922;1;"Nodiff"
"Burkholderiales_bacterium_1_1_47";0,920774253479788;0,048233;"0";0,0473965;"0";"160";0,920774253479788;1;"Nodiff"
"Eggerthella_lenta";0,922555117472738;0,02600175;"0.000765";0,0380415;"9.5e-05";"280";0,922555117472738;1;"Nodiff"
"Catenibacterium_mitsuokai";0,932107513207623;0,131737;"0";0,06791825;"0";"181";0,932107513207623;1;"Nodiff"
"Erysipelotrichaceae_bacterium_3_1_53";0,93371212148933;0,004685;"0";0,03036875;"0";"312";0,93371212148933;1;"Nodiff"
"Streptococcus_cristatus";0,934335724046049;0,000356;"0";0,002073;"0";"657";0,934335724046049;1;"Nodiff"
"Gemella_sanguinis";0,947942742741571;0,00601575;"0";0,005454;"0";"357";0,947942742741571;1;"Nodiff"
"Eubacterium_biforme";0,95273594417359;0,35032825;"0";0,62045125;"0";"322";0,95273594417359;1;"Nodiff"
"Bacteroides_pectinophilus";0,963144050469736;0,046953;"0";0,0080975;"0";"103";0,963144050469736;1;"Nodiff"
"Leuconostoc_mesenteroides";0,963144050469736;0,0065695;"0";0,00129825;"0";"458";0,963144050469736;1;"Nodiff"
"Holdemania_unclassified";0,964689104194391;0,01134525;"0";0,006631;"0";"378";0,964689104194391;1;"Nodiff"
"Granulicella_unclassified";0,966387092015154;9,975e-05;"0";0,00046575;"0";"363";0,966387092015154;1;"Nodiff"
"Bacteroides_oleiciplenus";0,969514461658362;0,00127975;"0";1,05e-05;"0";"101";0,969514461658362;1;"Nodiff"
"Haemophilus_sputorum";0,969514461658362;0,00074225;"0";2,325e-05;"0";"370";0,969514461658362;1;"Nodiff"
"Dialister_invisus";0,970369504714568;1,085943;"0";0,45237175;"0";"269";0,970369504714568;1;"Nodiff"
"Actinomyces_johnsonii";0,989835955075289;0,00016825;"0";0,00012225;"0";"23";0,989835955075289;1;"Nodiff"
"Actinomyces_massiliensis";0,989835955075289;0,00036975;"0";0,00019075;"0";"24";0,989835955075289;1;"Nodiff"
"Bacteroides_sp_2_1_22";0,989835955075289;0,0139805;"0";0,03282;"0";"112";0,989835955075289;1;"Nodiff"
"Butyricicoccus_pullicaecorum";0,989835955075289;0,001435;"0";0,262754;"0";"161";0,989835955075289;1;"Nodiff"
"Lactobacillus_curvatus";0,989835955075289;0,0001025;"0";0,00070425;"0";"413";0,989835955075289;1;"Nodiff"
"Lactobacillus_rhamnosus";0,989835955075289;0,00080925;"0";0,00067925;"0";"432";0,989835955075289;1;"Nodiff"
"Propionibacterium_acnes";0,989835955075289;0,00012875;"0";0,0003445;"0";"569";0,989835955075289;1;"Nodiff"
"Odoribacter_splanchnicus";0,992111876967982;0,317305;"0.194975";0,36396225;"0.143465";"490";0,992111876967982;1;"Nodiff"
"Lactococcus_lactis";0,995039672355982;0,03962375;"0";0,01859175;"0";"444";0,995039672355982;1;"Nodiff"
"Acidaminococcus_sp_HPA0509";1;0,10441975;"0";0,0297195;"0";"8";1;1;"Nodiff"
"Arcobacter_butzleri";1;0,0001455;"0";0,000914;"0";"74";1;1;"Nodiff"
"Arcobacter_unclassified";1;4,025e-05;"0";0,000107;"0";"75";1;1;"Nodiff"
"Bacteroides_sp_3_1_19";1;0,02601375;"0";0,0150585;"0";"115";1;1;"Nodiff"
"Campylobacter_hominis";1;0,000281;"0";0,000151;"0";"169";1;1;"Nodiff"
"Clostridium_celatum";1;0,01041325;"0";1,525e-05;"0";"203";1;1;"Nodiff"
"Clostridium_perfringens";1;0,001843;"0";4,25e-06;"0";"215";1;1;"Nodiff"
"Eggerthia_catenaformis";1;6,1e-05;"0";0,0002065;"0";"285";1;1;"Nodiff"
"Eubacterium_dolichum";1;0,0157855;"0";0,001529;"0";"325";1;1;"Nodiff"
"Finegoldia_magna";1;3,5e-06;"0";3,075e-05;"0";"342";1;1;"Nodiff"
"Fusobacterium_necrophorum";1;3,225e-05;"0";0,0010895;"0";"347";1;1;"Nodiff"
"Haemophilus_haemolyticus";1;1,225e-05;"0";8,125e-05;"0";"364";1;1;"Nodiff"
"Haemophilus_pittmaniae";1;0,000647;"0";0,00144975;"0";"369";1;1;"Nodiff"
"Lactobacillus_acidophilus";1;0,0008095;"0";0,000199;"0";"405";1;1;"Nodiff"
"Lactobacillus_gasseri";1;0,002072;"0";0,0042995;"0";"417";1;1;"Nodiff"
"Lactobacillus_mucosae";1;0,0481785;"0";0,00048175;"0";"424";1;1;"Nodiff"
"Lactobacillus_sanfranciscensis";1;5e-06;"0";0,00061925;"0";"437";1;1;"Nodiff"
"Leuconostoc_gelidum";1;0,000298;"0";2,95e-05;"0";"456";1;1;"Nodiff"
"Oscillibacter_sp_KLE_1728";1;0,00187875;"0";0,00238625;"0";"497";1;1;"Nodiff"
"Peptoniphilus_lacrimalis";1;2,925e-05;"0";0,002502;"0";"528";1;1;"Nodiff"
"Shigella_sonnei";1;0,00015125;"0";0,000147;"0";"632";1;1;"Nodiff"
"Stenotrophomonas_unclassified";1;0,00041375;"0";3,3e-05;"0";"651";1;1;"Nodiff"
"Succinatimonas_hippei";1;2,9e-05;"0";5,475e-05;"0";"688";1;1;"Nodiff"
