"X1","X2","X3","X4","X5","X6","X7","X8","X9","X10","X11","X12","X13","X14","X15","X16","X17","X18","X19","X20","X21","X22","X23","X24","X25","X26","X27","X28","X29","X30","X31","X32","X33","X34","X35","X36","X37","X38","X39","X40","X41"
"CCIS02124300ST.4.0","CRC_MR_SBJ67H_17","SZAXPI015255.46","SID31360","CCMD18579000ST.11.0","CRC_MR_SBJ84H_17","CCMD85661207ST.11.0","CCIS50003399ST.4.0","CRC_MR_SBJ16H_17","MMPU99077057ST","CCMD10032470ST.11.0","19.0281948689832","19.55787116312","20.0960778034372","20.2896711700017","21.0888538269106","21.223026447988","21.7724884938723","21.9284543186427","22.0057042148735","22.032059935873","CCIS48725289ST.4.0","SID531155","CCIS82146115ST.4.0","CCMD63399960ST.21.0","CCMD13934959ST.21.0","MMRS81671217ST.27.0.0","SZAXPI017588.123","CCIS55230578ST.4.0","MMRS77321055ST.27.0.0","MMRS16644320ST.27.0.0","16.1228066874598","18.4421485746265","18.7952226628311","20.1535112622739","20.4050123910107","20.9351762682715","21.2384180445225","21.526564303841","21.9881155595335","22.0032427052719"
"CCIS07539127ST.4.0","CRC_MR_SBJ16H_17","LILT_VF265_T016","SZAXPI015251.41","CCMD18579000ST.11.0","MMRS61683006ST.27.0.0","SID31700","MMRS73787048ST.27.0.0","CRC_MR_SBJ84H_17","CCMD85661207ST.11.0","MMPU99077057ST","16.8099076981701","17.3447557406641","18.3727763904615","20.5892231712175","20.5923329752969","20.5998230545143","20.7947937655967","21.2555218953711","21.2849351944938","21.596420887492","CCMD63399960ST.21.0","CCIS52370277ST.4.0","CCMD50071957ST.21.0","MMRS14602194ST.27.0.0","CCIS55230578ST.4.0","MMRS55294627ST.27.0.0","SID531128","DRR127515","CCIS33816588ST.4.0","CCMD72895164ST.21.0","17.3295456543269","18.3166585803716","18.339635165796","18.5230909913788","18.6206012297616","18.6603807782585","18.9910285836155","19.2822193524112","19.7031304153376","19.8535868625193"
"CCIS09568613ST.4.0","SZAXPI015244.32","CCMD15562448ST.11.0","CCIS36699628ST.4.0","CRC_MR_SBJ24H_17","SZAXPI015251.41","SID31637","SID31700","SID530315","CCMD32288175ST.11.0","CCIS07539127ST.4.0","18.4717678634315","20.8149270719693","22.5699019923592","23.9425599063321","24.4481792313334","25.8005044816356","25.961585229947","26.5825768973627","28.16200220128","28.4517949848424","SZAXPI003426.11","CCIS61287323ST.4.0","LILT_VF234_T017","SZAXPI017588.123","CCMD63399960ST.21.0","CCMD50071957ST.21.0","MMRS85382779ST.27.0.0","CCIS55230578ST.4.0","CCIS52370277ST.4.0","DRR127514","17.1972346296519","20.2535643919657","24.2353155956509","25.0931077340771","25.5061052287389","26.41914098387","27.1025034100302","27.2465009931422","27.3776603217989","27.5005423104273"
"CCIS13047523ST.4.0","CRC_MR_SBJ80H_17","CCMD74592084ST.11.0","CCIS02124300ST.4.0","CCIS50003399ST.4.0","SZAXPI015255.46","SZAXPI015274.111","SID530364","CCMD10032470ST.11.0","CCMD99929634ST.11.0","CRC_MR_SBJ67H_17","15.9417187972282","23.5532639656206","23.8990683048691","24.1014966247617","24.6168900210039","24.9841847392806","25.8654139207862","26.5477572693156","26.6697344376899","26.8717060639402","MMRS14379078ST.27.0.0","CCIS82146115ST.4.0","CCMD13934959ST.21.0","SID531155","CCIS48725289ST.4.0","CCMD51864103ST.21.0","CCIS41222843ST.4.0","CCMD86707194ST.21.0","MMRS25641480ST.27.0.0","MMRS77321055ST.27.0.0","18.9163610057194","21.2376275383999","21.3626715239995","21.7944339318689","24.039982078891","24.3728020452635","24.4426004954792","25.3406291459565","27.0524532128419","27.2367924036293"
"CCIS34604008ST.4.0","CCIS78100604ST.4.0","SID530258","CCIS50003399ST.4.0","SID31160","SZAXPI015255.46","SID31537","CCIS82944710ST.20.0","CRC_MR_SBJ57H_17","CCIS74239020ST.4.0","CRC_MR_SBJ68H_17","18.8880002253547","21.6910566692474","23.3282311751641","25.0676287847734","25.5101192924043","25.961123755716","27.0182146095888","27.6087818916717","28.3330558275506","29.2393814661716","SID31489","SZAXPI003412.1","SZAXPI017594.166","CCIS55230578ST.4.0","SZAXPI003424.12","CCIS81887263ST.4.0","CCIS41222843ST.4.0","SZAXPI017453.19","SZAXPI017588.123","SID531155","19.9654204168808","20.4623902951512","20.9812029677233","24.1676116917187","25.8023815763507","25.9544814779587","27.1783252969733","28.6814396935004","29.7354611939583","30.3228365472411"
"CCIS36699628ST.4.0","CCIS09568613ST.4.0","SZAXPI015244.32","SID532749","SID530315","SID31637","SID31700","SZAXPI015251.41","CCIS07539127ST.4.0","CRC_MR_SBJ84H_17","CRC_MR_SBJ16H_17","22.5699019923592","22.6218371614509","22.7640934880329","22.9741262046307","24.7518280551518","26.696416858337","27.5425332388344","27.9324255471379","28.1501751886556","28.4053924659738","SZAXPI003426.11","DRR127514","CCIS61287323ST.4.0","CCMD63399960ST.21.0","CCIS55230578ST.4.0","MMRS55294627ST.27.0.0","CCIS52370277ST.4.0","DRR127515","CCIS48725289ST.4.0","CCMD50071957ST.21.0","23.5412217717985","26.7387391556315","27.3959124440089","27.5091678844708","27.6180183694739","27.6667979052618","28.2669105572594","28.3879661921967","28.5541923703543","28.8661927162087"
"CCIS44093303ST.4.0","CCIS07539127ST.4.0","MMRS61683006ST.27.0.0","MMRS73787048ST.27.0.0","CRC_MR_SBJ84H_17","SZAXPI015244.32","SZAXPI015251.41","MMRS91297590ST.27.0.0","CRC_MR_SBJ16H_17","DRR127713","CCIS02124300ST.4.0","27.9066223063631","28.104901712824","29.2319340642302","29.3568902374792","30.0162569058036","30.5113323451353","31.1549112351921","32.0760064006385","32.7560826868568","32.8050247130222","CCMD64503764ST.21.0","CCIS52370277ST.4.0","DRR127521","MMRS55294627ST.27.0.0","CCMD60079086ST.21.0","CCMD63399960ST.21.0","CCIS55230578ST.4.0","DRR127515","CCIS33816588ST.4.0","CCMD50071957ST.21.0","25.530757327504","27.9685731757181","29.3746943204436","29.7591698265392","29.7933608471015","29.9420705338158","29.9897530557822","30.0198360700604","30.0975796057158","30.1609926350294"
"CCIS50003399ST.4.0","CCMD74592084ST.11.0","SZAXPI015255.46","SID530258","MMPU99077057ST","CCIS02124300ST.4.0","CRC_MR_SBJ80H_17","CCIS78100604ST.4.0","CCIS34604008ST.4.0","SID31160","CCIS13047523ST.4.0","19.2377688591791","20.3912951249792","20.9880887930607","21.6466967091217","21.7724884938723","22.1498939303397","23.2869449226922","23.3282311751641","23.9928011307163","24.1014966247617","CCIS82146115ST.4.0","CCIS48725289ST.4.0","CCMD13934959ST.21.0","CCMD63399960ST.21.0","SID531155","SZAXPI017594.166","SZAXPI017588.123","MMRS77321055ST.27.0.0","CCIS55230578ST.4.0","CCIS41222843ST.4.0","22.770083350941","22.9566483409317","23.1860743710077","23.2487493449648","23.2833165231588","23.2978589960043","23.3029272073982","24.0298002806432","24.127642866538","24.6299741008228"
"CCIS63468405ST.4.0","MMRS94549160ST.27.0.0","SZAXPI015244.32","CCMD39882286ST.11.0","CCIS09568613ST.4.0","MMRS65742083ST.27.0.0","CCIS74239020ST.4.0","SZAXPI015251.41","CCMD56948710ST.11.0","CCMD29706695ST.11.0","CCIS07539127ST.4.0","24.655228394371","27.5304806522625","29.1508697170428","29.4800718003213","29.8144771811531","30.7403949659597","30.947286487521","31.8721406633411","32.0559104496644","32.5152903851896","CCIS21278152ST.4.0","CCIS38765456ST.20.0","MMRS85382779ST.27.0.0","CCIS61287323ST.4.0","SZAXPI003426.11","SID31883","SZAXPI017588.123","CCMD63399960ST.21.0","CCMD50071957ST.21.0","MMRS81671217ST.27.0.0","20.1458339300735","23.0199526960939","23.4003139174115","27.2825305413483","27.6075620715666","28.0805513021896","30.551344102319","31.4223281975795","31.5912679501172","32.0292734006377"
"CCIS74239020ST.4.0","CRC_MR_SBJ84H_17","CCIS50003399ST.4.0","SZAXPI015255.46","CCIS02124300ST.4.0","SID31360","SZAXPI015251.41","SID530258","SID31160","MMPU99077057ST","CCIS07539127ST.4.0","23.0538781137751","24.8274179499359","24.8867472988296","25.0336170852556","25.5207575864785","25.678476185251","25.9477151877309","26.0661159386031","26.3298954693576","26.3668987728136","CCMD63399960ST.21.0","MMRS85382779ST.27.0.0","CCIS81887263ST.4.0","CCIS55230578ST.4.0","MMRS16644320ST.27.0.0","CCMD50071957ST.21.0","CCIS38765456ST.20.0","SZAXPI017588.123","SZAXPI017594.166","MMRS55294627ST.27.0.0","22.9678982906883","23.5810560722416","23.6146078845235","25.0801373674547","25.2435181661452","25.4610976330735","25.5384233062145","25.5746400259808","25.6561851443721","25.9526654227885"
