"X1","X2","X3","X4","X5","X6","X7","X8","X9","X10","X11","X12","X13","X14","X15","X16","X17","X18","X19","X20","X21","X22","X23","X24","X25","X26","X27","X28","X29","X30","X31","X32","X33","X34","X35","X36","X37","X38","X39","X40","X41","X42","X43","X44","X45","X46","X47","X48","X49","X50","X51","X52","X53","X54","X55","X56","X57"
"CCIS02124300ST.4.0","MMRS95479054ST.27.0.0","CRC_MR_SBJ74H_17","CCIS21126322ST.4.0","CCIS71578391ST.4.0","SZAXPI015271.93","SID532802","MMPU72854103ST","CCIS50471204ST.4.0","SID31219","SZAXPI015255.46","CCIS03473770ST.4.0","SID31360","CCMD18579000ST.11.0","CCIS05314658ST.4.0","14.7733962944544","16.763194036248","17.2099926238131","18.0812397714703","18.218751029261","18.6651313689189","18.8098819254082","18.8578999503577","19.4361164081331","19.55787116312","19.7243144274091","20.0960778034372","20.2896711700017","20.4683105961948","CRC_MR_SBJ36C_17","CRC_MR_SBJ04C_17","SID531155","CCMD19497912ST.21.0","CCIS82146115ST.4.0","SID530890","CRC_MR_SBJ52C_17","CCMD49461418ST.11.0","CCMD63399960ST.21.0","CCMD13934959ST.21.0","SZAXPI017593.158","MMRS81671217ST.27.0.0","CRC_MR_SBJ31C_17","MMRS54316675ST.27.0.0","17.0748770736688","18.4085507420818","18.4421485746265","18.5121696124874","18.7952226628311","18.8294265473248","19.4755061135366","19.7638949134198","20.1535112622739","20.4050123910107","20.6697184465391","20.9351762682715","21.8613175499854","21.9022021591894"
"CCIS02856720ST.4.0","CCIS50471204ST.4.0","SZAXPI015241.27","CRC_MR_SBJ80H_17","CCIS32452666ST.4.0","CCIS71578391ST.4.0","CCIS41692898ST.4.0","CCIS50003399ST.4.0","SID532802","CCMD53508245ST.11.0","SZAXPI015255.46","CRC_MR_SBJ74H_17","SID530258","CCIS94603952ST.4.0","CCIS21126322ST.4.0","16.3582235574955","17.2492528181339","17.4330430340145","18.2185148497785","18.976562852511","19.0428086942709","19.4183540558746","19.5329214070425","20.1193939266271","20.1856382010949","20.5784633812634","21.1532332759344","21.7271350119154","22.0005094295155","SID530890","CRC_MR_SBJ55C_17","CCMD13934959ST.21.0","CCIS82146115ST.4.0","SZAXPI017456.23","CCIS41222843ST.4.0","CRC_MR_SBJ10C_17","SID531155","SID31489","CRC_MR_SBJ52C_17","CCIS53355328ST.4.0","CRC_MR_SBJ04C_17","CRC_MR_SBJ39C_17","CCMD63399960ST.21.0","16.7106726444569","18.0347373479987","18.2300120153224","19.5215951249149","19.7108462950985","19.9127001918298","19.9346798089711","20.1268633982173","20.4747380886301","20.6977012222831","21.1778393844226","21.2457588836102","21.6564045405626","21.9282808086521"
"CCIS03473770ST.4.0","CCMD18579000ST.11.0","CCMD45004878ST.11.0","SZAXPI015255.46","CCIS71578391ST.4.0","CRC_MR_SBJ16H_17","SID532802","CCIS07539127ST.4.0","MMRS95277876ST.27.0.0","CCMD85661207ST.11.0","CCIS21126322ST.4.0","CRC_MR_SBJ18H_17","CCIS32452666ST.4.0","MMRS20257302ST.27.0.0","CCIS50471204ST.4.0","12.3350485243026","16.0818738389405","16.2054479269936","16.6540527263036","17.1139082842786","17.6005966877689","17.6859756116336","17.7003551055819","17.718392215647","18.1164227661478","18.2247051398726","18.51233634675","18.7848847452706","18.8494419951149","CRC_MR_SBJ32C_17","MMRS14602194ST.27.0.0","CCMD13934959ST.21.0","SZAXPI017462.33","SID531155","MMRS96422329ST.27.0.0","CCIS41548810ST.4.0","SID530890","CCMD63399960ST.21.0","SZAXPI017466.84","CRC_MR_SBJ04C_17","MMRS90191266ST.27.0.0","CCIS33816588ST.4.0","CRC_MR_SBJ36C_17","14.1244466241124","16.4424946267712","16.4695946211192","16.5653617809814","17.024274610711","17.0929027958565","17.2457216024497","17.4576170941397","17.4954985290188","18.6725730502681","18.6928014588852","19.238692651225","19.5576119044197","19.6631953039428"
"CCIS05314658ST.4.0","CRC_MR_SBJ45H_17","CCIS41692898ST.4.0","CRC_MR_SBJ74H_17","CRC_MR_SBJ16H_17","CRC_MR_SBJ84H_17","CCIS50471204ST.4.0","SID31071","CCIS50003399ST.4.0","CCIS71578391ST.4.0","SID31021","CCIS11362406ST.4.0","DRR127777","CCIS02124300ST.4.0","CRC_MR_SBJ18H_17","15.8607408558932","15.8937341577428","19.0495656258404","19.0642982856674","19.3288019998111","19.4838848136248","19.4861697293029","19.5470668481616","19.6598759903439","20.0088509725146","20.2785568960466","20.3466717341437","20.4683105961948","20.6971958669115","CCMD63399960ST.21.0","CRC_MR_SBJ04C_17","SID530890","CRC_MR_SBJ52C_17","CCIS53043478ST.4.0","CCIS52370277ST.4.0","CCMD86707194ST.21.0","CRC_MR_SBJ20C_17","DRR162777","CCMD49461418ST.11.0","MMRS12272136ST.27.0.0","MMRS14602194ST.27.0.0","SID531155","MMRS90191266ST.27.0.0","18.1814069482507","18.1852281192648","18.2395243086655","19.6242346908637","20.1947273426358","20.2204438991779","20.675488825873","20.8394427004731","20.8403272753789","20.9163298611874","21.4457746966273","21.7500387140621","21.7584522710716","21.8437113070582"
"CCIS07539127ST.4.0","CRC_MR_SBJ16H_17","CCIS03473770ST.4.0","MMRS95277876ST.27.0.0","CRC_MR_SBJ18H_17","CCMD59540613ST.11.0","SZAXPI015271.93","CCIS07648107ST.4.0","SID31749","CCMD18579000ST.11.0","CCMD54057834ST.11.0","CCIS79210440ST.3.0","CRC_MR_SBJ45H_17","LILT_VF262_T016","CRC_MR_SBJ84H_17","16.8099076981701","17.6859756116336","18.286475907167","18.2981592960877","19.4622120769891","19.8471426172031","20.0771867486458","20.1392900589221","20.5892231712175","20.7999973661873","20.8942722342775","21.1547027713249","21.2268215919953","21.2555218953711","CRC_MR_SBJ32C_17","CCIS41548810ST.4.0","CCIS53043478ST.4.0","CCMD63399960ST.21.0","CCIS52370277ST.4.0","MMRS14602194ST.27.0.0","SZAXPI017466.84","SZAXPI017454.20","MMRS96422329ST.27.0.0","CCIS33816588ST.4.0","MMRS12272136ST.27.0.0","CCMD88272491ST.21.0","CCIS02379307ST.4.0","MMRS72802364ST.27.0.0","15.9065362812807","16.3182022579296","17.1135700453675","17.3295456543269","18.3166585803716","18.5230909913788","18.7773973042938","18.8461776934184","19.3343705995851","19.7031304153376","20.0298655845565","20.8324746240455","21.1389255859422","21.5619273921234"
"CCIS07648107ST.4.0","CCIS07539127ST.4.0","CCMD54057834ST.11.0","CRC_MR_SBJ18H_17","CRC_MR_SBJ84H_17","CCIS05314658ST.4.0","CRC_MR_SBJ16H_17","CCMD35801800ST.11.0","CCIS48174381ST.4.0","MMRS93621581ST.27.0.0","CRC_MR_SBJ45H_17","SZAXPI015271.93","DRR127634","CCMD59540613ST.11.0","SID31009","20.0771867486458","21.2257652102957","21.5671324641687","22.1262225403253","22.1339319516642","22.1606882044624","22.2284546585789","22.3267668249436","22.547833711552","23.5414457913421","23.5511512824575","23.628127733405","23.6934417118598","23.9168586499252","CCMD63399960ST.21.0","CRC_MR_SBJ26C_17","DRR162777","CCIS53043478ST.4.0","MMRS12272136ST.27.0.0","SZAXPI017454.20","MMRS14602194ST.27.0.0","DRR127514","CCIS52370277ST.4.0","CCIS87252800ST.4.0","SID530890","MMRS81194191ST.27.0.0","CRC_MR_SBJ32C_17","DRR162778","17.3221172976458","20.4702831988861","21.2418173894891","21.5584613780831","21.6610914292609","21.8600840234364","22.379598289699","22.836264752159","23.0636449380947","23.4232172314501","23.6560095587591","24.1461056202486","24.2049921966544","24.2945496061442"
"CCIS09568613ST.4.0","SZAXPI015244.32","CCMD85481373ST.11.0","CCMD15562448ST.11.0","CCIS11362406ST.4.0","CCIS79210440ST.3.0","CRC_MR_SBJ24H_17","SZAXPI015260.74","CCMD54057834ST.11.0","CCIS03473770ST.4.0","CCIS88317640ST.4.0","CCIS36797902ST.4.0","CCIS05314658ST.4.0","CRC_MR_SBJ45H_17","CCMD32288175ST.11.0","18.4717678634315","18.7798609050387","20.8149270719693","21.5962314992964","22.6168446997896","23.9425599063321","25.4440047535603","26.1537642052937","27.6464753747743","27.9194181408675","27.9678989741203","28.0111870654173","28.0351558556467","28.16200220128","SID31876","SZAXPI003426.11","LILT_VF234_T017","SZAXPI017595.169","CCMD63399960ST.21.0","SZAXPI017454.20","CCIS53043478ST.4.0","CCIS52370277ST.4.0","DRR127514","MMRS14602194ST.27.0.0","SZAXPI017453.19","MMRS41266697ST.27.0.0","CCIS34055159ST.4.0","SID31883","17.0342989878421","17.1972346296519","24.2353155956509","24.4874972474077","25.5061052287389","26.2517745970668","26.6191926450672","27.3776603217989","27.5005423104273","27.6348304266663","27.6364618913366","27.8275684227871","27.8406163961307","28.0791517694427"
"CCIS11558985ST.4.0","DRR127546","SZAXPI015265.88","CCMD59540613ST.11.0","MMRS93621581ST.27.0.0","CCIS03473770ST.4.0","CRC_MR_SBJ84H_17","CRC_MR_SBJ18H_17","MMRS57276462ST.27.0.0","LILT_VF28_T016","CCMD54057834ST.11.0","CCIS07648107ST.4.0","DRR127634","DRR127777","SZAXPI015271.93","24.2453802032944","29.3911444385107","30.2854991603061","30.5463440776699","31.6508529858375","31.6657406673174","32.1667594766554","32.1683613216216","32.7489434992123","32.8077815101936","33.0578420983857","33.0656862443546","33.100046070042","33.1268124930758","CCMD63399960ST.21.0","DRR127559","MMRS81194191ST.27.0.0","LILT_VF29_16","MMRS90191266ST.27.0.0","CCIS53043478ST.4.0","DRR127580","CCIS87252800ST.4.0","SZAXPI017454.20","LILT_VF300_T016","SZAXPI017580.90","CCIS02379307ST.4.0","CRC_MR_SBJ32C_17","MMRS54316675ST.27.0.0","28.7085176466776","30.1342067230963","30.6256583679111","31.823067968854","31.9224159809686","32.1853909915182","32.6640649778744","32.8327595206784","33.4643195127661","33.5076075841786","33.5198668271281","33.9725561425601","34.2414908730461","34.306734286169"
"CCIS13047523ST.4.0","CRC_MR_SBJ80H_17","SID31379","CRC_MR_SBJ74H_17","MMPU72854103ST","SID532802","SID530394","CCIS41692898ST.4.0","CCIS02856720ST.4.0","CCIS71578391ST.4.0","CCIS80834637ST.4.0","MMRS65862658ST.27.0.0","CCIS50471204ST.4.0","CCMD74592084ST.11.0","CCIS02124300ST.4.0","15.9417187972282","17.245284550949","18.7782027634196","19.5439465234123","21.5892588833614","21.6223557108563","21.8469813816806","22.2395853967717","22.6343984964169","22.6698948508832","22.7543778349662","23.4048517136063","23.5532639656206","23.8990683048691","MMRS14379078ST.27.0.0","CCIS82146115ST.4.0","CCMD13934959ST.21.0","CRC_MR_SBJ04C_17","SID531155","CCMD59583015ST.11.0","CRC_MR_SBJ39C_17","CCIS41222843ST.4.0","CRC_MR_SBJ36C_17","CCMD86707194ST.21.0","SID530890","DRR127491","CCMD93344354ST.21.0","CRC_MR_SBJ52C_17","18.9163610057194","21.2376275383999","21.3626715239995","21.3912741564639","21.7944339318689","22.5556520651432","23.9891885091972","24.4426004954792","24.4936440659511","25.3406291459565","25.6618980618406","26.1665145217719","26.9155595424468","26.9180832799328"
"CCIS16561622ST.4.0","MMRS20257302ST.27.0.0","CCIS79210440ST.3.0","CRC_MR_SBJ77H_17","MMRS17963147ST.27.0.0","MMRS32573774ST.27.0.0","CCIS07539127ST.4.0","CCIS50471204ST.4.0","CCMD18579000ST.11.0","CCIS03473770ST.4.0","LILT_VF170_T016","LILT_VF84_16","MMRS57276462ST.27.0.0","MMRS38954404ST.27.0.0","CCMD54057834ST.11.0","18.2350659058447","18.8371171229198","20.0677610179661","21.8396700254056","21.9262133170048","22.6257759466609","22.6504796432393","23.1098681876661","23.2361605075494","23.2608547485083","23.8910332769305","24.1634394312503","24.7423400250178","24.9521873616463","CCIS53043478ST.4.0","CCIS41548810ST.4.0","CRC_MR_SBJ32C_17","CCMD82866709ST.21.0","MMRS14602194ST.27.0.0","LILT_VF192_T017","SZAXPI017454.20","MMRS51410669ST.27.0.0","CCIS33816588ST.4.0","SZAXPI017466.84","SID31285","SZAXPI017462.33","MMRS80093644ST.27.0.0","CCMD63399960ST.21.0","18.9387994639523","19.1124752394451","21.8748031134957","21.9476888510704","22.0910584299712","22.6074487976751","23.5389523861535","24.0379486302388","24.0431854024524","24.7691417666055","25.0918605468247","25.2841021563946","25.3693795166417","25.5944876091455"
