"Species";"Pvalue";"Ctlmean";"Ctlmedian";"CRCmean";"CRCmedian";"SamplingCountForEachGroup";"pvalue";"adj.fdr.p";"Enrichment"
"Parvimonas_unclassified";1,48787180987282e-05;0,00315966666666667;"0";0,073486;"0.003105";"518";1,48787180987282e-05;0,00671030186252642;"CRC"
"Fusobacterium_nucleatum";4,42314576988566e-05;0,000122666666666667;"0";0,0429786666666667;"0.000225";"348";4,42314576988566e-05;0,00997419371109216;"CRC"
"Solobacterium_moorei";0,000128580430520191;0,00197733333333333;"0";0,065308;"0.00941";"638";0,000128580430520191;0,0160466883666922;"CRC"
"Streptococcus_anginosus";0,000142320961123656;0,00671633333333333;"0";0,114745;"0.01011";"654";0,000142320961123656;0,0160466883666922;"CRC"
"Parvimonas_micra";0,000636573026980159;0,000473333333333333;"0";0,0180876666666667;"0";"515";0,000636573026980159;0,0478490725280086;"CRC"
"Peptostreptococcus_stomatis";0,000636573026980159;0,000428;"0";0,040217;"0";"531";0,000636573026980159;0,0478490725280086;"CRC"
"Bifidobacterium_dentium";0,00210319400401808;0,0258723333333333;"0";0,411204333333333;"0.00144";"137";0,00210319400401808;0,135505785116022;"Nodiff"
"Eubacterium_brachy";0,00558431205717215;0;"0";0,00840633333333333;"0";"323";0,00558431205717215;0,240503950140684;"Nodiff"
"Gemella_morbillorum";0,00593847159508042;0,000609666666666667;"0";0,0333793333333333;"0";"356";0,00593847159508042;0,240503950140684;"Nodiff"
"Clostridium_symbiosum";0,00619375255512513;0,0176476666666667;"0";0,128357666666667;"0.01687";"228";0,00619375255512513;0,240503950140684;"Nodiff"
"Ruminococcaceae_bacterium_D16";0,00620041201746906;0,00539166666666667;"0";0,110808;"0.007235";"603";0,00620041201746906;0,240503950140684;"Nodiff"
"Veillonella_unclassified";0,00639921818556144;0,0674373333333333;"0.00306";0,319452666666667;"0.024805";"713";0,00639921818556144;0,240503950140684;"Nodiff"
"Atopobium_parvulum";0,00778540618002706;0,000516333333333333;"0";0,0148433333333333;"0.00036";"78";0,00778540618002706;0,270093706707093;"Nodiff"
"Veillonella_parvula";0,00956172302258448;0,0139023333333333;"0.00043";0,606341;"0.011695";"709";0,00956172302258448;0,282138069549438;"Nodiff"
"Atopobium_rimae";0,0110350863369353;0;"0";0,029697;"0";"79";0,0110350863369353;0,282138069549438;"Nodiff"
"Olsenella_uli";0,0110350863369353;0;"0";0,00593666666666667;"0";"493";0,0110350863369353;0,282138069549438;"Nodiff"
"Porphyromonas_somerae";0,0110350863369353;0;"0";0,639262333333333;"0";"538";0,0110350863369353;0,282138069549438;"Nodiff"
"Streptococcus_constellatus";0,0112604994498667;0,000212;"0";0,00727566666666667;"0";"656";0,0112604994498667;0,282138069549438;"Nodiff"
"Holdemania_unclassified";0,0122953639275152;0,00542566666666667;"0";0,0142153333333333;"0.006235";"378";0,0122953639275152;0,291853112174177;"Nodiff"
"Enterobacter_cloacae";0,016260232301407;0,00330266666666667;"0";0,0286726666666667;"0";"289";0,016260232301407;0,366668238396728;"Nodiff"
"Eubacterium_infirmum";0,0196366539118049;0,000297333333333333;"0";0,00462566666666667;"0";"328";0,0196366539118049;0,387611920366559;"Nodiff"
"Porphyromonas_asaccharolytica";0,019895844108138;0,000134;"0";1,97125933333333;"0";"534";0,019895844108138;0,387611920366559;"Nodiff"
"Klebsiella_oxytoca";0,020815691451399;0,000851;"0";0,722915;"0";"383";0,020815691451399;0,387611920366559;"Nodiff"
"Eikenella_corrodens";0,021577191872833;0;"0";0,00436866666666667;"0";"286";0,021577191872833;0,387611920366559;"Nodiff"
"Eubacterium_limosum";0,021577191872833;0;"0";0,009312;"0";"329";0,021577191872833;0,387611920366559;"Nodiff"
"Clostridium_citroniae";0,0223876991720771;0,007442;"0.002085";0,0240646666666667;"0.01077";"204";0,0223876991720771;0,387611920366559;"Nodiff"
"Escherichia_coli";0,0232051482259359;2,96082266666667;"0.048195";1,116476;"0.309905";"316";0,0232051482259359;0,387611920366559;"Nodiff"
"Bacteroides_intestinalis";0,0269295354783286;0,565465333333333;"0";0,00777766666666667;"0";"98";0,0269295354783286;0,433757875025936;"Nodiff"
"Klebsiella_unclassified";0,0304816244514356;0,000192666666666667;"0";0,2417;"0";"386";0,0304816244514356;0,465573954612364;"Nodiff"
"Granulicatella_adiacens";0,0309694426571417;0,00337333333333333;"0";0,0144663333333333;"0.003275";"360";0,0309694426571417;0,465573954612364;"Nodiff"
"Lachnospiraceae_bacterium_7_1_58FAA";0,0326412701241367;0,0345366666666667;"0.018975";0,0888173333333333;"0.039045";"399";0,0326412701241367;0,467369179663562;"Nodiff"
"Anaerotruncus_unclassified";0,0347798019064401;0,025049;"0.004945";0,0619276666666667;"0.02857";"73";0,0347798019064401;0,467369179663562;"Nodiff"
"Haemophilus_parainfluenzae";0,0349666447881606;0,118746333333333;"0.00015";0,267484666666667;"0.012485";"367";0,0349666447881606;0,467369179663562;"Nodiff"
"Clostridium_hathewayi";0,0356262040932012;0,0931136666666667;"0.003925";0,289503333333333;"0.02375";"208";0,0356262040932012;0,467369179663562;"Nodiff"
"Rothia_dentocariosa";0,0380898415580826;0,000130333333333333;"0";0,003956;"0";"600";0,0380898415580826;0,467369179663562;"Nodiff"
"Streptococcus_tigurinus";0,0392827812602256;0,00088;"0";0,0134676666666667;"0";"682";0,0392827812602256;0,467369179663562;"Nodiff"
"Eggerthella_unclassified";0,0414400118739131;0,0559013333333333;"0.013665";0,127669333333333;"0.052215";"284";0,0414400118739131;0,467369179663562;"Nodiff"
"Actinomyces_cardiffensis";0,0419261675968508;0;"0";0,00248033333333333;"0";"20";0,0419261675968508;0,467369179663562;"Nodiff"
"Alloprevotella_tannerae";0,0419261675968508;0;"0";0,0795773333333333;"0";"58";0,0419261675968508;0,467369179663562;"Nodiff"
"Lactobacillus_salivarius";0,042488107242142;0,000100666666666667;"0";0,0521913333333333;"0";"436";0,042488107242142;0,467369179663562;"Nodiff"
"Megasphaera_micronuciformis";0,042488107242142;0,000168666666666667;"0";0,00882566666666667;"0";"472";0,042488107242142;0,467369179663562;"Nodiff"
"Bifidobacterium_bifidum";0,0488661819108146;0,430366333333333;"0";0,500363;"0";"134";0,0488661819108146;0,524729715280414;"Nodiff"
"Alistipes_unclassified";0,0524339242840411;0,000524333333333333;"0";0,18026;"0";"56";0,0524339242840411;0,549946508188431;"Nodiff"
"Streptococcus_mutans";0,0542661265854804;0,00516866666666667;"0";0,18998;"0";"669";0,0542661265854804;0,556227797501174;"Nodiff"
"Clostridium_clostridioforme";0,0574827793596432;0,00685066666666667;"0";0,0537893333333333;"0";"205";0,0574827793596432;0,557073642574808;"Nodiff"
"Parabacteroides_unclassified";0,058661304491805;0,32855;"0";0,557741666666667;"0.06419";"509";0,058661304491805;0,557073642574808;"Nodiff"
"Streptococcus_vestibularis";0,0618889773142896;0,029732;"0";0,159792666666667;"0.00067";"684";0,0618889773142896;0,557073642574808;"Nodiff"
"Veillonella_dispar";0,075362278768852;0,010967;"0";0,0116476666666667;"0";"708";0,075362278768852;0,557073642574808;"Nodiff"
"Actinomyces_massiliensis";0,078297388641506;4,33333333333333e-06;"0";0,00160466666666667;"0";"24";0,078297388641506;0,557073642574808;"Nodiff"
"Anaerococcus_obesiensis";0,078297388641506;6e-06;"0";0,00366133333333333;"0";"62";0,078297388641506;0,557073642574808;"Nodiff"
"Slackia_unclassified";0,078297388641506;1,23333333333333e-05;"0";0,00187833333333333;"0";"636";0,078297388641506;0,557073642574808;"Nodiff"
"Bilophila_wadsworthia";0,0808071308883663;0,0243463333333333;"0.00431";0,0516813333333333;"0.017475";"144";0,0808071308883663;0,557073642574808;"Nodiff"
"Atopobium_minutum";0,0815229720841182;0;"0";0,0196023333333333;"0";"77";0,0815229720841182;0,557073642574808;"Nodiff"
"Bacteroides_fluxus";0,0815229720841182;0;"0";0,036346;"0";"95";0,0815229720841182;0,557073642574808;"Nodiff"
"Bulleidia_extructa";0,0815229720841182;0;"0";0,000970666666666667;"0";"158";0,0815229720841182;0,557073642574808;"Nodiff"
"Butyricicoccus_pullicaecorum";0,0815229720841182;0;"0";0,000286666666666667;"0";"161";0,0815229720841182;0,557073642574808;"Nodiff"
"Campylobacter_gracilis";0,0815229720841182;0;"0";0,000502;"0";"168";0,0815229720841182;0,557073642574808;"Nodiff"
"Cryptobacterium_curtum";0,0815229720841182;0;"0";0,000822333333333333;"0";"261";0,0815229720841182;0,557073642574808;"Nodiff"
"Lactobacillus_sanfranciscensis";0,0815229720841182;0;"0";0,00423366666666667;"0";"437";0,0815229720841182;0,557073642574808;"Nodiff"
"Neisseria_unclassified";0,0815229720841182;0;"0";0,002742;"0";"488";0,0815229720841182;0,557073642574808;"Nodiff"
"Pedobacter_unclassified";0,0815229720841182;0,000488333333333333;"0";0;"0";"525";0,0815229720841182;0,557073642574808;"Nodiff"
"Porphyromonas_gingivalis";0,0815229720841182;0;"0";0,00190466666666667;"0";"537";0,0815229720841182;0,557073642574808;"Nodiff"
"Prevotella_nigrescens";0,0815229720841182;0;"0";0,0297833333333333;"0";"556";0,0815229720841182;0,557073642574808;"Nodiff"
"Pyramidobacter_piscolens";0,0815229720841182;0;"0";0,014842;"0";"586";0,0815229720841182;0,557073642574808;"Nodiff"
"Streptococcus_agalactiae";0,0815229720841182;0;"0";0,00145333333333333;"0";"653";0,0815229720841182;0,557073642574808;"Nodiff"
"Streptococcus_oligofermentans";0,0815229720841182;0;"0";0,00164766666666667;"0";"670";0,0815229720841182;0,557073642574808;"Nodiff"
"Granulicella_unclassified";0,0884079198017976;9,06666666666667e-05;"0";0,000875333333333333;"0";"363";0,0884079198017976;0,582544454579417;"Nodiff"
"Prevotella_stercorea";0,0884079198017976;0,000358333333333333;"0";0,113982;"0";"566";0,0884079198017976;0,582544454579417;"Nodiff"
"Dorea_formicigenerans";0,0930859340452265;0,565156;"0.44862";0,395247;"0.3349";"273";0,0930859340452265;0,582544454579417;"Nodiff"
"Alloscardovia_omnicolens";0,0995454716776712;0,00282366666666667;"0";0,00713333333333333;"0";"60";0,0995454716776712;0,582544454579417;"Nodiff"
"Bilophila_unclassified";0,105063299156823;0,307757;"0.159795";0,409502666666667;"0.30461";"143";0,105063299156823;0,582544454579417;"Nodiff"
