"X1","X2","X3","X4","X5","X6","X7","X8","X9","X10","X11","X12","X13","X14","X15","X16","X17","X18","X19","X20","X21","X22","X23","X24","X25","X26","X27","X28","X29"
"CCIS07539127ST.4.0","CRC_MR_SBJ78H_17","SZAXPI015271.93","CCMD54057834ST.11.0","CRC_MR_SBJ84H_17","SZAXPI015244.32","CCIS15794887ST.4.0","SID530295","19.069340274139","19.8471426172031","20.7999973661873","21.2555218953711","22.0937842976888","22.7583292131342","22.8413293107604","LILT_VF270_T017","SZAXPI017454.20","MMRS96422329ST.27.0.0","CCIS62605362ST.3.0","DRR127774","SZAXPI003422.11","MMRS90191266ST.27.0.0","18.2433351436764","18.8461776934184","19.3343705995851","20.1589680244079","20.8515346598566","22.2734996299526","22.3733020403963"
"CCIS09568613ST.4.0","SZAXPI015244.32","SID31637","CCMD54057834ST.11.0","CCIS07539127ST.4.0","CRC_MR_SBJ84H_17","SZAXPI015271.93","SID530050","18.4717678634315","25.8005044816356","26.1537642052937","28.4517949848424","28.6250666127033","28.9616210177694","29.0994215625277","SID31868","SZAXPI017454.20","CCIS62605362ST.3.0","LILT_VF270_T017","SID530890","SID31493","MMRS90191266ST.27.0.0","23.2839300323635","26.2517745970668","27.9852171742797","28.1303182253738","28.5318786370754","28.6937943122481","29.4634016859883"
"CCIS10706551ST.3.0","SZAXPI015270.90","SZAXPI015255.46","SZAXPI015271.93","SZAXPI015258.57","CRC_MR_SBJ84H_17","CCMD35801800ST.11.0","CCMD39157124ST.11.0","14.0742021829694","26.779761737256","27.813079650819","30.7196012238538","30.875316442346","31.2604601472387","31.357209258185","CCIS62605362ST.3.0","CRC_MR_SBJ12C_17","MMRS90191266ST.27.0.0","SZAXPI017594.166","CCMD86707194ST.21.0","DRR127559","SZAXPI017454.20","26.1227644786937","28.6802460256707","29.0258766599977","29.2741769464984","29.3292102119764","31.2523582542198","31.6422668384473"
"CCIS27304052ST.3.0","SZAXPI015255.46","CCMD53508245ST.11.0","CCIS34604008ST.4.0","CCIS82944710ST.20.0","CCIS71578391ST.4.0","CRC_MR_SBJ79H_17","SID31333","22.2721082599784","22.637461440791","24.0404155896336","25.5647138582793","25.9482347133249","26.4988993385291","27.982302812903","MMRS96422329ST.27.0.0","CCMD98531134ST.11.0","SID530890","CRC_MR_SBJ10C_17","CCIS62605362ST.3.0","SID31285","SZAXPI017594.166","21.5554358885479","22.0170987685435","22.7272467456421","23.1602949890303","25.0969860211241","25.1663815097761","29.6860770123521"
"CCIS34604008ST.4.0","CCIS27304052ST.3.0","SID31236","CCIS71578391ST.4.0","SZAXPI015255.46","SID530177","CCIS82944710ST.20.0","CCMD53508245ST.11.0","24.0404155896336","24.0419891087697","24.8655525590424","25.5101192924043","26.3446811538667","27.0182146095888","28.0883258354819","SZAXPI017594.166","CCMD98531134ST.11.0","SID530890","SID31285","CRC_MR_SBJ10C_17","MMRS96422329ST.27.0.0","CCIS62605362ST.3.0","20.9812029677233","21.5130242675106","22.736253624056","23.3671446822863","24.5173163757088","27.6441190993274","29.0449511627305"
"CCIS71578391ST.4.0","CRC_MR_SBJ73H_17","SZAXPI015255.46","CCMD53508245ST.11.0","CRC_MR_SBJ67H_17","SZAXPI015271.93","CRC_MR_SBJ78H_17","CRC_MR_SBJ84H_17","12.4977093980737","14.9387698373862","20.2412115354121","20.6611924149987","21.0121121299074","21.7314602492861","21.908436525138","SID530890","SZAXPI017594.166","MMRS90191266ST.27.0.0","CCMD86707194ST.21.0","CCMD90311071ST.21.0","MMRS96422329ST.27.0.0","CRC_MR_SBJ10C_17","14.2476194021422","17.2004253884577","17.6846485388599","19.2255619482526","20.2171520848808","20.3312126273594","22.1711718153845"
"CCIS82944710ST.20.0","CCIS27304052ST.3.0","CCIS34604008ST.4.0","CCIS71578391ST.4.0","SID31333","SZAXPI015255.46","CCMD53508245ST.11.0","CRC_MR_SBJ79H_17","25.5647138582793","27.0182146095888","27.0501574932735","27.7602534788698","28.6759840112471","28.6870553657255","30.7555224453658","CCMD98531134ST.11.0","SID530890","CRC_MR_SBJ10C_17","MMRS96422329ST.27.0.0","SID31285","CCMD86707194ST.21.0","SZAXPI017594.166","23.4674285097047","25.6786436654236","26.1753684045555","29.9852522063264","30.7704462693101","31.7262022734805","31.980108102125"
"CCMD28738636ST.11.0","CRC_MR_SBJ69H_17","CCIS07539127ST.4.0","SZAXPI015271.93","CCMD53508245ST.11.0","CRC_MR_SBJ84H_17","CCMD35801800ST.11.0","CRC_MR_SBJ73H_17","25.0898983893857","32.9524295593147","34.2487552325512","34.3951811116776","36.6929382327581","37.651084288303","38.1368884069073","CCMD52117727ST.11.0","DRR127509","CCIS46467422ST.4.0","CCMD86707194ST.21.0","CRC_MR_SBJ07C_17","SZAXPI017582.94","MMRS96422329ST.27.0.0","30.9701792013237","32.6708260954112","36.4611382639242","36.8267916276955","36.8632772517312","37.0187090596417","37.314553307329"
"CCMD35801800ST.11.0","SZAXPI015255.46","CRC_MR_SBJ67H_17","CCIS71578391ST.4.0","SZAXPI015271.93","CRC_MR_SBJ84H_17","CCIS07539127ST.4.0","SID530050","22.7318921536792","23.8346151244802","23.8689001742162","24.2477663099202","24.4697796085845","24.6463840049225","24.9492896242859","CCMD90311071ST.21.0","SID530890","SID531382","DRR127559","CRC_MR_SBJ42C_17","SZAXPI017454.20","CCMD86707194ST.21.0","23.3529233254747","23.8348997626464","23.9671745345003","24.8248310868896","25.0887637603231","25.1926631613214","25.3463713387735"
"CCMD53508245ST.11.0","CCIS71578391ST.4.0","SZAXPI015255.46","CCIS27304052ST.3.0","CCIS07539127ST.4.0","CRC_MR_SBJ73H_17","SZAXPI015271.93","CRC_MR_SBJ79H_17","20.2412115354121","20.8563510238272","22.637461440791","22.9575398068543","23.2284787166185","23.9704554476109","24.5088705714237","MMRS96422329ST.27.0.0","SID530890","CCMD52117727ST.11.0","DRR127559","CRC_MR_SBJ10C_17","CCIS62605362ST.3.0","CCMD98531134ST.11.0","14.3033008351988","20.4037980718101","20.9070236626307","23.5382288759711","24.0389834988088","24.5280844764731","24.6979404721305"
