"X1","X2","X3","X4","X5","X6","X7","X8","X9","X10","X11","X12","X13","X14","X15","X16","X17","X18","X19","X20","X21","X22","X23","X24","X25","X26","X27","X28","X29","X30","X31","X32","X33","X34","X35","X36","X37"
"CRC_MR_SBJ50C_17","SZAXPI017592.142","SZAXPI015250.39","CRC_MR_SBJ79H_17","CCIS23164343ST.4.0","CRC_MR_SBJ68H_17","CCIS82944710ST.20.0","CRC_MR_SBJ34H_17","CCIS45793747ST.4.0","CCIS94603952ST.4.0","23.3710942592575","24.1908593342548","25.4501383141291","26.343073967398","28.5182583445869","30.0354428939295","31.0617433979598","31.7410950312446","31.9272884755016","SID530890","CRC_MR_SBJ10C_17","SID31871","CCIS11015875ST.4.0","SZAXPI003415.12","CCIS81887263ST.4.0","SZAXPI017458.25","DRR127485","CCIS62605362ST.3.0","27.7008813863657","28.030872957004","29.2467196416282","32.7650286413975","34.2035423521702","34.6847237338544","35.2167380059653","36.3295937300048","36.40408901007"
"CRC_MR_SBJ61C_17","CCMD15562448ST.11.0","CCMD25475945ST.11.0","CCMD32288175ST.11.0","MMRS93621581ST.27.0.0","CCIS45793747ST.4.0","CRC_MR_SBJ18H_17","SID530315","DRR127634","SID31700","25.5174925589545","26.7241552027842","29.6088921501295","30.3464291235724","30.3653713835201","31.2317574942333","31.3931488356536","31.859639475027","32.2363430402814","SZAXPI003426.11","SID31876","DRR127476","LILT_VF234_T017","CCIS11015875ST.4.0","SZAXPI017588.123","SZAXPI015218.16","MMRS14602194ST.27.0.0","CCIS53043478ST.4.0","20.2783584209669","21.7410806607146","25.0996726348911","26.904311897707","28.3343312586657","28.6995142045628","29.4063870117089","29.5397378150196","29.8539974918619"
"DRR127485","CCIS02124300ST.4.0","DRR127649","SZAXPI015268.109","CCIS45793747ST.4.0","CRC_MR_SBJ34H_17","SID532802","CCIS45571137ST.3.0","CCIS94603952ST.4.0","CCIS07277498ST.4.0","14.2690396075419","18.555513611501","18.8526603293249","19.0592645349421","19.0920147095507","19.9270247042452","20.1302705313739","20.1706273634139","20.3291143616637","MMRS14602194ST.27.0.0","CCIS48725289ST.4.0","SID530890","SID31875","CCIS11015875ST.4.0","MMRS90191266ST.27.0.0","CCIS53043478ST.4.0","SZAXPI017588.123","SID531277","17.7390916563419","18.0701571774459","18.9055961847994","19.2059577016092","19.5894977285892","19.6106516904564","19.9536516252665","20.0327024982078","20.0930849887791"
"DRR127509","DRR127736","SZAXPI015268.109","SZAXPI003433.7","MMRS93621581ST.27.0.0","CCMD59540613ST.11.0","CRC_MR_SBJ18H_17","DRR127755","DRR127634","CCIS45793747ST.4.0","23.4389518445919","24.1060143691673","24.6394345114879","25.1281369641842","26.0089595320017","27.0822001165083","27.1008133029712","27.7270648546416","29.0528732732117","SZAXPI017463.36","MMRS93508324ST.27.0.0","DRR127521","CCIS53043478ST.4.0","LILT_VF300_T016","SZAXPI015218.16","SZAXPI017586.111","CRC_MR_SBJ26C_17","SID531277","24.4304688217807","24.5883546006966","25.2922856933473","26.4306407789804","28.0273389774074","28.0650059094346","28.1033101322727","28.2496678532616","28.5815466635782"
"DRR127515","CRC_MR_SBJ18H_17","SID31700","DRR127649","CCIS16561622ST.4.0","MMRS20257302ST.27.0.0","SZAXPI015268.109","CRC_MR_SBJ79H_17","SID532915","CCMD59540613ST.11.0","20.8099459869386","21.9838308667348","22.1546198855747","22.4210424575843","23.1371822252041","23.3038933045189","24.1562902419184","24.2304112325648","24.4807238321419","SZAXPI015218.16","SZAXPI017466.84","CCIS53043478ST.4.0","CCIS11015875ST.4.0","CCMD82866709ST.21.0","CCIS38765456ST.20.0","SID530890","DRR127485","CRC_MR_SBJ01C_17","20.0740464712349","20.2217172022061","20.5950841330984","22.0012838665633","22.3061120101778","23.1411554655099","23.5099130028463","23.5440795772971","23.7379530636784"
"DRR127521","SZAXPI015268.109","CCIS45793747ST.4.0","SZAXPI003433.7","DRR127731","CRC_MR_SBJ18H_17","CCMD59540613ST.11.0","DRR127755","CRC_MR_SBJ34H_17","CCIS02124300ST.4.0","21.6104907872357","24.048650458165","24.643348200904","24.884955571636","26.3173454696423","26.5818999446052","26.795247400276","26.9441744088773","27.7875731435889","CCIS53043478ST.4.0","SZAXPI015218.16","CCIS11015875ST.4.0","LILT_VF300_T016","CCMD11006829ST.21.0","SZAXPI017586.111","DRR127509","SID530890","DRR162778","21.6092485877228","23.1223518743034","23.8855288630522","24.7034461770863","24.8264770626019","25.0500914475975","25.2922856933473","25.4704350786829","25.699376885771"
"DRR127580","MMRS93621581ST.27.0.0","CRC_MR_SBJ18H_17","CCMD59540613ST.11.0","DRR127704","CCMD32288175ST.11.0","CCIS80834637ST.4.0","LILT_VF18_T016","SZAXPI015268.109","CCIS45793747ST.4.0","24.7720063033336","25.0181997099192","25.1509193981433","26.0247149163963","26.7983575151575","27.7364184365628","27.9320240935991","28.2729473421556","28.3675018216815","SZAXPI015218.16","SID531277","MMRS93508324ST.27.0.0","CCIS11015875ST.4.0","MMRS14602194ST.27.0.0","CCIS62605362ST.3.0","CCIS53043478ST.4.0","SZAXPI017461.32","CCMD95433940ST.21.0","22.2072501929843","26.6731001889938","26.764059028888","26.9310614653935","27.4067073763322","28.024899700693","28.3415527376342","28.3507781085987","28.4718507536461"
"DRR127647","DRR127731","SZAXPI015228.14","SZAXPI015268.109","DRR127704","MMRS56137463ST.27.0.0","CCIS45793747ST.4.0","DRR162775","SZAXPI015257.56","CRC_MR_SBJ18H_17","26.2507480012266","26.6189805393839","29.7007344416295","31.0634270016236","32.4413419534612","32.8179680734076","33.5644348691945","34.0170520420627","34.4260753114423","DRR127521","LILT_VF300_T016","DRR127476","SZAXPI003418.8","SZAXPI003426.11","SZAXPI017466.84","CCMD11006829ST.21.0","CCIS53043478ST.4.0","SID530890","29.9717744479869","30.1170982868337","31.4346289877453","32.2551669221491","32.3947492078192","32.7264287134389","32.8033035411816","33.2232637044105","33.287583760195"
"DRR127767","SZAXPI015250.39","CRC_MR_SBJ81H_17","CRC_MR_SBJ68H_17","CCMD37575804ST.11.0","SID31557","DRR127634","LILT_VF189_T016","SID530315","SZAXPI015234.20","21.7330016893893","23.2328594436415","27.0627345901056","27.7215367437107","31.0092103875381","31.0161804544435","31.3215053378314","33.509693058269","33.928542181423","SZAXPI003411.6","SID31871","CRC_MR_SBJ35C_17","SID31879","CRC_MR_SBJ10C_17","SID530890","SZAXPI015218.16","MMRS93508324ST.27.0.0","SZAXPI017458.25","17.5506491056713","21.1251928906389","30.2137123705297","30.4191711965103","30.8734482054564","30.8926260073371","31.2125766421149","33.0979241924822","33.1560450570767"
"DRR162778","SZAXPI015235.21","CCIS45793747ST.4.0","DRR127649","CRC_MR_SBJ18H_17","CCMD59540613ST.11.0","SZAXPI015268.109","SZAXPI003433.7","CCMD41521570ST.11.0","CCIS02124300ST.4.0","19.5953825929452","21.5739128102183","21.751979627073","22.0950305474738","22.3284014807039","23.3912923565309","24.0987748177765","24.6539481218912","24.8373878342349","CCIS53043478ST.4.0","SZAXPI015218.16","CCIS11015875ST.4.0","SZAXPI017588.123","CRC_MR_SBJ31C_17","MMRS85382779ST.27.0.0","MMRS14602194ST.27.0.0","SID531277","DRR127485","19.6493012117098","19.8589896807164","19.9912108747419","21.2763175756544","21.5156697139062","21.9704099937803","22.7727757839421","22.8968851111041","22.9871631142514"
