"Increasing.Rank.Min","Decreasing.Rank.Min","Increasing.Rank.Max","Decreasing.Rank.Max","Increasing.Rank.Average","Decreasing.Rank.Average","Decre.maxRank.P","Decre.aveRank.P","Decre.minRank.P","Species","Decre.minRank.P.FDR","Decre.maxRank.P.FDR","Decre.aveRank.P.FDR"
10001,1,10001,1,10001,1,9.99900009999e-05,9.99900009999e-05,9.99900009999e-05,"Parvimonas_unclassified",0.000227508894680152,0.0479285404792854,0.0479285404792854
10000,1,10001,2,10000.5,1.5,0.0001999800019998,0.00014998500149985,9.99900009999e-05,"Parvimonas_micra",0.000227508894680152,0.0479285404792854,0.0479285404792854
10000,2,10000,2,10000,2,0.0001999800019998,0.0001999800019998,0.0001999800019998,"Porphyromonas_asaccharolytica",0.000453582402012165,0.0479285404792854,0.0479285404792854
9999,3,9999,3,9999,3,0.0002999700029997,0.0002999700029997,0.0002999700029997,"Gemella_morbillorum",0.000676107937795562,0.0539196080391961,0.0479285404792854
9998,4,9998,4,9998,4,0.0003999600039996,0.0003999600039996,0.0003999600039996,"Clostridium_symbiosum",0.000898660133986601,0.0575142485751425,0.0479285404792854
9997,3,9999,5,9998,4,0.0004999500049995,0.0003999600039996,0.0002999700029997,"Peptostreptococcus_stomatis",0.000676107937795562,0.0599106755991068,0.0479285404792854
9995,7,9995,7,9995,7,0.0006999300069993,0.0006999300069993,0.0006999300069993,"Fusobacterium_nucleatum",0.00156775599698597,0.0718928107189281,0.0718928107189281
9987,1,10001,15,9994,8,0.0014998500149985,0.0007999200079992,9.99900009999e-05,"Porphyromonas_uenonis",0.000227508894680152,0.13479902009799,0.0718928107189281
9972,30,9972,30,9972,30,0.002999700029997,0.002999700029997,0.002999700029997,"Solobacterium_moorei",0.00669808795517964,0.239642702396427,0.239642702396427
9966,35,9967,36,9966.5,35.5,0.0035996400359964,0.00354964503549645,0.0034996500349965,"Bacteroides_caccae",0.00779024264756187,0.258814118588141,0.255219478052195
