"X1","X2","X3","X4","X5","X6","X7","X8","X9","X10","X11","X12","X13","X14","X15","X16","X17","X18","X19","X20","X21","X22","X23","X24","X25","X26","X27","X28","X29","X30","X31","X32","X33"
"CCIS07648107ST.4.0","CCIS48174381ST.4.0","SZAXPI015251.41","CCIS45793747ST.4.0","SZAXPI015271.93","DRR127634","CRC_MR_SBJ78H_17","MMRS73787048ST.27.0.0","SZAXPI015244.32","22.3267668249436","22.7328814147195","23.4152671824453","23.5511512824575","23.628127733405","23.8130801831031","24.4804840347061","25.5536741549665","CCIS62794166ST.4.0","CCIS53043478ST.4.0","CRC_MR_SBJ11C_17","MMRS14602194ST.27.0.0","CCIS87252800ST.4.0","MMRS16644320ST.27.0.0","MMRS65205033ST.27.0.0","MMRS86958796ST.27.0.0","19.9422836375827","21.5584613780831","22.1129064732409","22.379598289699","23.4232172314501","24.2082837341167","24.3709275513921","24.5767504699808"
"CCIS16326685ST.4.0","LILT_VF28_T016","SID31021","SZAXPI015251.41","CRC_MR_SBJ75H_17","LILT_VF06_16","SZAXPI015271.93","SZAXPI015244.32","SID532749","22.6596633403831","23.4025792018722","23.8716808808597","24.1895472680908","26.9971159815359","27.3958673671833","27.4975143937502","27.6678095835034","CCIS98832363ST.4.0","SID31878","CCIS53043478ST.4.0","MMRS65205033ST.27.0.0","MMRS86958796ST.27.0.0","CCMD35802077ST.21.0","CCIS41548810ST.4.0","SZAXPI015226.14","22.1032139187585","22.3451951614458","24.2897321218617","24.6226772890054","24.802873260697","25.1036123958764","26.5069473031883","26.6373158136007"
"CCIS16383318ST.4.0","CCIS48174381ST.4.0","SZAXPI015244.32","CCIS45793747ST.4.0","CCIS79210440ST.3.0","SZAXPI015251.41","MMRS73787048ST.27.0.0","SZAXPI015271.93","CCIS32452666ST.4.0","21.9507489057412","22.9133585720754","22.9174805810499","24.8399625014331","24.9876266992446","26.6021056782504","26.7405773549507","27.4979949317146","CRC_MR_SBJ53C_17","CCIS53043478ST.4.0","CCIS06260551ST.3.0","CCIS55230578ST.4.0","MMRS65205033ST.27.0.0","MMRS16644320ST.27.0.0","CCIS62794166ST.4.0","LILT_VF65_16","22.7560888222779","23.522859120294","24.6400753242071","25.290137564618","25.4646336331725","25.8938893205019","26.3603550503725","26.4659163577572"
"CCIS32452666ST.4.0","CCIS45793747ST.4.0","CCIS45571137ST.3.0","CRC_MR_SBJ74H_17","CCIS94603952ST.4.0","SID530055","CCIS41692898ST.4.0","SID530331","SID530394","17.3591556866802","18.8871831703036","20.4748703574894","21.1778141690921","21.3062332248054","21.4761826945246","21.5071135435953","22.0916237964234","CCIS55230578ST.4.0","MMRS14602194ST.27.0.0","CRC_MR_SBJ02C_17","CRC_MR_SBJ52C_17","CCIS82146115ST.4.0","SZAXPI017462.33","CCIS06260551ST.3.0","SZAXPI017594.166","17.9209545394686","19.4858292580326","19.6622385719989","20.5717859989623","21.2336655237173","21.5847141486794","21.6764398348899","22.4558509830066"
"CCIS36699628ST.4.0","SZAXPI015244.32","SID532749","SID530315","CCIS79210440ST.3.0","SID31700","DRR127634","SZAXPI015251.41","CRC_MR_SBJ75H_17","22.6218371614509","22.7640934880329","22.9741262046307","26.5397526539774","26.696416858337","26.8244843886681","27.5425332388344","27.5704257532687","CCIS06260551ST.3.0","CCIS62794166ST.4.0","CRC_MR_SBJ61C_17","CCIS61287323ST.4.0","CCIS55230578ST.4.0","CCIS53043478ST.4.0","MMRS86958796ST.27.0.0","MMRS16644320ST.27.0.0","24.4554675872268","27.1091685874539","27.2053694407372","27.3959124440089","27.6180183694739","27.8316320747329","29.6467916258387","29.7067390867241"
"CCIS41692898ST.4.0","CCIS45793747ST.4.0","SID530055","CRC_MR_SBJ74H_17","CCIS94603952ST.4.0","SID31021","CCIS32452666ST.4.0","SID530331","SID31360","18.7124573609775","18.8077419215705","19.0444413687564","20.1663358152293","20.3640414072183","21.4761826945246","22.2305921229125","23.628940999865","CCIS82146115ST.4.0","CRC_MR_SBJ52C_17","CRC_MR_SBJ02C_17","MMRS86958796ST.27.0.0","MMRS16644320ST.27.0.0","CCIS55230578ST.4.0","CCMD49461418ST.11.0","MMRS14602194ST.27.0.0","17.6227392324945","18.1840398263505","20.0784016191031","22.1130588884532","22.6942355302795","23.4235049562806","23.424528914657","24.0888469153092"
"CCIS45571137ST.3.0","CCIS94603952ST.4.0","CCIS32452666ST.4.0","LILT_VF28_T016","SZAXPI015270.90","CCIS45793747ST.4.0","CCIS79210440ST.3.0","SZAXPI015244.32","SZAXPI015271.93","17.6741686812025","18.8871831703036","20.7158211272134","21.2947555957705","22.4429366533928","23.1963554672367","23.3763617319141","23.6269660848679","SZAXPI017594.166","CRC_MR_SBJ33C_17","CCMD79349503ST.11.0","CCIS53043478ST.4.0","MMRS65205033ST.27.0.0","CCIS55230578ST.4.0","CRC_MR_SBJ53C_17","MMRS14602194ST.27.0.0","16.6820411547808","20.2085650383297","20.8112146020673","21.0421132039631","21.0843656910968","21.4225900213093","21.9182023453339","22.5693866434469"
"CCIS45793747ST.4.0","CCIS32452666ST.4.0","CRC_MR_SBJ74H_17","CCIS41692898ST.4.0","CCIS81139242ST.4.0","MMRS73787048ST.27.0.0","CCIS94603952ST.4.0","SZAXPI015271.93","SID530055","17.3591556866802","17.3625100422606","18.7124573609775","19.8015735900812","20.7118177889677","20.7915101174927","20.9349675766861","21.3562931218458","MMRS16644320ST.27.0.0","MMRS14602194ST.27.0.0","CRC_MR_SBJ52C_17","CCIS55230578ST.4.0","CCIS06260551ST.3.0","CCIS53043478ST.4.0","MMRS86958796ST.27.0.0","CRC_MR_SBJ02C_17","17.219166692619","17.9794939433789","18.2211397742924","18.6924199391705","18.6954785904025","19.6458821385042","19.9510951696793","20.6565354262955"
"CCIS48174381ST.4.0","CCIS45793747ST.4.0","CCIS16383318ST.4.0","MMRS73787048ST.27.0.0","CCIS07648107ST.4.0","SZAXPI015244.32","SZAXPI015251.41","CRC_MR_SBJ82H_17","SID31360","21.9273352471362","21.9507489057412","22.1615828806586","22.3267668249436","23.8234796187375","24.1540326093201","24.5991319251168","25.2121297906266","CCIS53043478ST.4.0","CRC_MR_SBJ11C_17","CCIS62794166ST.4.0","CCIS06260551ST.3.0","MMRS65205033ST.27.0.0","MMRS86958796ST.27.0.0","MMRS14602194ST.27.0.0","MMRS16644320ST.27.0.0","21.2393054465418","22.1380928599936","24.1325216944604","24.908422917449","25.3678207583505","25.5575615389125","25.8150935622728","25.8969634583613"
"CCIS78100604ST.4.0","CCIS81139242ST.4.0","CCIS45793747ST.4.0","CCIS41692898ST.4.0","CCIS32452666ST.4.0","CCIS94603952ST.4.0","SID530177","SID31512","CRC_MR_SBJ74H_17","21.4268815850184","25.1188489761812","27.1110598011144","27.4523729561253","27.5377010481957","27.5829329880109","27.7914658208235","28.8669881208172","SID31276","CCIS17669415ST.4.0","CRC_MR_SBJ52C_17","CCIS06260551ST.3.0","CCIS55230578ST.4.0","SID31285","CCMD25511638ST.21.0","SID31880","17.8705386938615","18.4850609132808","22.015225051834","24.5299883873311","24.9952355360677","26.040581978391","26.3387506220739","29.119000756652"
"CCIS79210440ST.3.0","SZAXPI015244.32","MMRS73787048ST.27.0.0","SID31700","SZAXPI015251.41","CCIS45571137ST.3.0","CCIS45793747ST.4.0","CCIS32452666ST.4.0","CCIS16383318ST.4.0","19.3999610745615","21.203216807645","21.5278853655532","22.6525388239817","23.1963554672367","23.6683268916922","23.794022459744","24.8399625014331","CCIS55230578ST.4.0","CCIS41548810ST.4.0","CCIS06260551ST.3.0","CCIS53043478ST.4.0","MMRS14602194ST.27.0.0","CRC_MR_SBJ51C_17","SZAXPI017462.33","CCIS62794166ST.4.0","19.5352213186311","20.1767914904427","20.3565086298609","20.4795645437251","20.8228767502908","21.0327027569616","21.0479004854736","21.3673382935615"
"CCIS81139242ST.4.0","CCIS45793747ST.4.0","CRC_MR_SBJ74H_17","CCIS78100604ST.4.0","SID530177","CRC_MR_SBJ82H_17","CCIS94603952ST.4.0","CCIS41692898ST.4.0","CRC_MR_SBJ78H_17","19.8015735900812","21.3331587380256","21.4268815850184","23.3092852266709","24.164334658281","24.2105158855899","24.3009946887612","24.4252325272166","CRC_MR_SBJ52C_17","SID31276","CCIS17669415ST.4.0","CCIS55230578ST.4.0","SZAXPI017594.166","CCIS06260551ST.3.0","CCMD35802077ST.21.0","MMRS86958796ST.27.0.0","17.6678887229374","21.9636608163621","22.5222885441533","23.7635486502732","24.0417148813806","24.6674462074411","24.9085118645976","25.1305599462248"
"CCIS94603952ST.4.0","CCIS45571137ST.3.0","SID530055","CRC_MR_SBJ74H_17","CCIS41692898ST.4.0","CCIS45793747ST.4.0","CCIS32452666ST.4.0","CCMD99929634ST.11.0","SID31021","17.6741686812025","19.3883969490466","19.7097423532222","20.1663358152293","20.7915101174927","21.1778141690921","21.5175493387839","23.4026109113556","SZAXPI017594.166","CRC_MR_SBJ52C_17","MMRS86958796ST.27.0.0","CCMD49461418ST.11.0","CRC_MR_SBJ02C_17","CCIS55230578ST.4.0","MMRS65205033ST.27.0.0","CCIS82146115ST.4.0","13.6567307407739","18.7771207955773","22.8255446219099","22.9893087543971","23.1100467331332","23.2781691029578","23.8189924978892","23.8759805943567"
"CCMD10191450ST.11.0","CCMD35081859ST.11.0","MMRS86168210ST.27.0.0","CCMD51154251ST.11.0","LILT_VF255_T016","MMRS51307502ST.27.0.0","SID31071","SID530055","CRC_MR_SBJ75H_17","16.3669834896355","22.0699820700108","23.4260013324831","23.7845153067768","24.9324244622881","26.8410095906767","30.5623951980044","32.6882031735426","SZAXPI017452.17","CCMD95431029ST.11.0","LILT_VF73_16","CCMD49461418ST.11.0","MMRS86958796ST.27.0.0","SID31878","CRC_MR_SBJ52C_17","SZAXPI017594.166","23.3869500213239","23.9769466395306","26.7165500867028","29.2905352411696","30.2443904854801","33.226455708238","34.360182334669","35.3441399578685"
"CCMD25475945ST.11.0","SZAXPI015244.32","SID530394","SID31219","CCIS79210440ST.3.0","SID530331","CCIS45793747ST.4.0","CCIS32452666ST.4.0","CCIS41692898ST.4.0","22.9285403884831","25.7223135121882","26.8326464497597","26.9340685975885","27.3116845943215","27.5513791679146","27.5576583957926","28.262597456897","MMRS41711735ST.27.0.0","CCIS61287323ST.4.0","CCIS06260551ST.3.0","CRC_MR_SBJ02C_17","CRC_MR_SBJ61C_17","CCIS82146115ST.4.0","CCIS55230578ST.4.0","MMRS14602194ST.27.0.0","21.2329935882437","21.8880630022325","24.7020926381876","25.5996124654652","26.7241552027842","27.4457254530009","28.5712517428148","28.7132407974927"
