"X1","X2","X3","X4","X5","X6","X7","X8","X9","X10","X11","X12","X13","X14","X15","X16","X17"
"CCIS16326685ST.4.0","LILT_VF28_T016","SZAXPI015264.87","SID532749","SID532796","22.6596633403831","27.0825611301276","27.6678095835034","30.1450850545027","SZAXPI015225.18","CCMD14479708ST.21.0","CCIS98512455ST.4.0","MMRS90191266ST.27.0.0","19.1921925292735","25.745827568107","27.5407234971614","28.0009722994631"
"CCIS78100604ST.4.0","SZAXPI015247.35","SID532802","SID532796","LILT_VF28_T016","29.160466746923","30.9608043634189","34.3988354778298","35.0020444767574","CCIS06260551ST.3.0","CCMD19497912ST.21.0","SZAXPI015225.18","SZAXPI003422.11","24.5299883873311","30.728836640065","31.457660180584","35.0997745204923"
"CCMD15562448ST.11.0","SZAXPI015238.24","SZAXPI015242.30","SID532802","SZAXPI015264.87","27.2093129684581","33.2356568658","34.8669786604647","35.2883874081531","CCIS06260551ST.3.0","CCIS98512455ST.4.0","MMRS90191266ST.27.0.0","LILT_VF207_T017","27.9568322079595","31.5617698680334","31.981071639104","32.0938969263846"
"CCMD66848156ST.11.0","LILT_VF265_T016","SID532796","SID532802","SZAXPI015264.87","18.0776272011401","22.0442253723418","23.7006424989682","25.8552545996998","LILT_VF73_16","LILT_VF207_T017","MMRS90191266ST.27.0.0","CRC_MR_SBJ51C_17","23.6149821231374","24.6616783841003","25.351297260951","26.1027402785627"
"DRR127756","SZAXPI015247.35","LILT_VF28_T016","CCIS16326685ST.4.0","SID532749","31.6906274390473","34.3886808727058","34.5802428723498","34.8383959789497","CCIS98512455ST.4.0","SZAXPI003422.11","CCIS06260551ST.3.0","MMRS90191266ST.27.0.0","28.4366243217967","28.5102339676142","29.2338272273731","31.9760987417508"
"DRR162776","MMRS29805707ST.27.0.0","SID532749","CCIS16326685ST.4.0","DRR127756","39.5771554729417","41.0635830545692","41.7038074752114","41.8616615006333","CCIS85214191ST.3.0","CCIS98512455ST.4.0","CCIS06260551ST.3.0","MMRS90191266ST.27.0.0","34.3976172565426","37.7064883931691","38.2714842694126","39.7152470237439"
"LILT_VF265_T016","CCMD66848156ST.11.0","SID532796","SZAXPI015264.87","LILT_VF28_T016","18.0776272011401","20.216147567467","24.5156219133372","26.7926490499969","LILT_VF207_T017","LILT_VF73_16","MMRS90191266ST.27.0.0","CCIS98512455ST.4.0","22.2954122245811","23.5583742957255","26.03188840826","27.1637456928587"
"LILT_VF28_T016","CCIS16326685ST.4.0","LILT_VF265_T016","SZAXPI015247.35","SZAXPI015264.87","22.6596633403831","26.7926490499969","27.2342721933761","27.596020628953","SZAXPI015225.18","MMRS90191266ST.27.0.0","CCMD14479708ST.21.0","CCIS98512455ST.4.0","17.4300148335278","20.5555312778289","22.2279871773672","24.7232005357114"
"MMRS29805707ST.27.0.0","SID532802","MMPU72854103ST","SZAXPI015242.30","SZAXPI015264.87","26.1101396426369","26.2070534493025","29.8885768872608","30.9056955214957","MMRS90191266ST.27.0.0","CCIS06260551ST.3.0","CCIS98512455ST.4.0","SZAXPI003422.11","27.6265579081325","30.4535779507318","30.6392246345204","31.5899708933753"
"SID530052","SID532749","CCIS16326685ST.4.0","SID532802","CCIS78100604ST.4.0","24.6075804591634","33.704178825475","39.9993381958689","40.5109168160337","SID31870","SZAXPI015225.18","CCIS06260551ST.3.0","MMRS90191266ST.27.0.0","19.6994959477394","36.1811206343046","36.8947891695453","38.0583830478241"
"SID530451","SZAXPI015264.87","CCMD66848156ST.11.0","SID532796","CCMD15562448ST.11.0","34.4847139966754","35.2472404185576","35.5221086030461","35.6027520473179","CCIS98512455ST.4.0","CCIS06260551ST.3.0","MMRS90191266ST.27.0.0","SZAXPI003422.11","32.2423720956089","32.6972109727879","33.7857047105029","34.6843297994036"
"SID532749","SID530052","CCIS16326685ST.4.0","LILT_VF28_T016","DRR127756","24.6075804591634","27.6678095835034","32.8780884166963","34.8383959789497","SID31870","CCIS98512455ST.4.0","SZAXPI015225.18","CCIS06260551ST.3.0","23.1495953675264","29.8382987663087","29.8953980172517","31.2325527519958"
"SID532796","LILT_VF265_T016","CCMD66848156ST.11.0","SID532802","SZAXPI015264.87","20.216147567467","22.0442253723418","26.6109086890903","27.570341547081","CCMD19497912ST.21.0","MMRS90191266ST.27.0.0","SZAXPI015225.18","CCIS98512455ST.4.0","25.1712440270559","27.4274243639847","27.7614211518485","28.4266828445547"
"SZAXPI015238.24","CCMD15562448ST.11.0","CCIS78100604ST.4.0","SID530451","SZAXPI015247.35","27.2093129684581","45.2093604876855","46.5221928197231","46.5706837068869","CCIS06260551ST.3.0","LILT_VF216_T017","CCIS98512455ST.4.0","LILT_VF207_T017","33.8211845401799","36.5905999509915","45.43710526604","46.5790837408241"
"SZAXPI015242.30","SID532802","MMPU72854103ST","SZAXPI015264.87","CCMD66848156ST.11.0","20.0851852636639","21.5183988462687","27.2929937045371","27.3317401456768","MMRS90191266ST.27.0.0","LILT_VF73_16","SZAXPI003422.11","LILT_VF207_T017","24.3648578350849","27.8415035162345","29.0355544150443","29.4380954587215"
"SZAXPI015247.35","LILT_VF28_T016","CCIS78100604ST.4.0","SZAXPI015242.30","SID532802","27.2342721933761","29.160466746923","29.1974425241219","31.2904601730032","CCIS06260551ST.3.0","SZAXPI003422.11","MMRS90191266ST.27.0.0","SZAXPI015225.18","25.9493791262527","27.1849959302039","28.312866514991","28.3791223318745"
"SZAXPI015264.87","LILT_VF265_T016","CCMD66848156ST.11.0","SID532802","CCIS16326685ST.4.0","24.5156219133372","25.8552545996998","26.0385790740739","27.0825611301276","MMRS90191266ST.27.0.0","CCIS98512455ST.4.0","CCMD19497912ST.21.0","CRC_MR_SBJ51C_17","22.9887636757221","24.2603848910977","26.8076648991981","27.9331351832944"
"CCIS06260551ST.3.0","CCIS78100604ST.4.0","SZAXPI015247.35","LILT_VF28_T016","CCMD15562448ST.11.0","24.5299883873311","25.9493791262527","26.5096401830862","27.9568322079595","SZAXPI015225.18","CCIS98512455ST.4.0","SZAXPI003422.11","CCMD19497912ST.21.0","22.8687161201476","22.8761273675703","24.9867542356986","27.2638550485327"
"CCMD14479708ST.21.0","LILT_VF28_T016","CCIS16326685ST.4.0","SID532796","LILT_VF265_T016","22.2279871773672","25.745827568107","28.6972947979718","31.2596140146947","SZAXPI015225.18","SZAXPI003422.11","CCIS06260551ST.3.0","CRC_MR_SBJ51C_17","21.0214483808419","25.5507953786042","27.675966243098","28.6043694023693"
