"Increasing.Rank.Min","Decreasing.Rank.Min","Increasing.Rank.Max","Decreasing.Rank.Max","Increasing.Rank.Average","Decreasing.Rank.Average","Decre.maxRank.P","Decre.aveRank.P","Decre.minRank.P","Species","Decre.minRank.P.FDR","Decre.maxRank.P.FDR","Decre.aveRank.P.FDR"
10001,1,10001,1,10001,1,9.99900009999e-05,9.99900009999e-05,9.99900009999e-05,"Parvimonas_unclassified",0.000238055664632212,0.0718928107189281,0.0718928107189281
9998,2,10000,4,9999,3,0.0003999600039996,0.0002999700029997,0.0001999800019998,"Gemella_morbillorum",0.0004745400047454,0.119821351198214,0.107839216078392
9997,4,9998,5,9997.5,4.5,0.0004999500049995,0.00044995500449955,0.0003999600039996,"Peptostreptococcus_stomatis",0.00094595803577537,0.119821351198214,0.107839216078392
9994,8,9994,8,9994,8,0.0007999200079992,0.0007999200079992,0.0007999200079992,"Clostridium_hathewayi",0.0018795506070308,0.123244818375305,0.122217778222178
9993,8,9994,9,9993.5,8.5,0.0008999100089991,0.00084991500849915,0.0007999200079992,"Fusobacterium_nucleatum",0.0018795506070308,0.123244818375305,0.122217778222178
9991,11,9991,11,9991,11,0.0010998900109989,0.0010998900109989,0.0010998900109989,"Clostridium_symbiosum",0.00257596390198114,0.123244818375305,0.123244818375305
9990,12,9990,12,9990,12,0.0011998800119988,0.0011998800119988,0.0011998800119988,"Parvimonas_micra",0.00280101859943876,0.123244818375305,0.123244818375305
9971,31,9971,31,9971,31,0.0030996900309969,0.0030996900309969,0.0030996900309969,"Lachnospiraceae_bacterium_3_1_57FAA_CT1",0.00721254735367887,0.278584641535846,0.278584641535846
9966,34,9968,36,9967,35,0.0035996400359964,0.0034996500349965,0.0033996600339966,"Subdoligranulum_sp_4_3_54A2FAA",0.00788501794981792,0.287571242875712,0.279583152795832
9951,42,9960,51,9955.5,46.5,0.0050994900509949,0.00464953504649535,0.0041995800419958,"candidate_division_TM7_single_cell_isolate_TM7c",0.00970899694596457,0.323517648235176,0.320522114455221
9949,52,9950,53,9949.5,52.5,0.0052994700529947,0.00524947505249475,0.0051994800519948,"Solobacterium_moorei",0.0119821351198213,0.323517648235176,0.320522114455221
9948,53,9949,54,9948.5,53.5,0.0053994600539946,0.00534946505349465,0.0052994700529947,"Ruminococcus_torques",0.0121735430290837,0.323517648235176,0.320522114455221
9933,68,9934,69,9933.5,68.5,0.0068993100689931,0.00684931506849315,0.0067993200679932,"Porphyromonas_asaccharolytica",0.0155197178694829,0.381584918431234,0.37881981032666
9908,60,9942,94,9925,77,0.0093990600939906,0.0076992300769923,0.005999400059994,"Peptostreptococcus_anaerobius",0.0137374797552092,0.450528280505283,0.395410458954105
9913,81,9921,89,9917,85,0.0088991100889911,0.0084991500849915,0.0080991900809919,"Peptostreptococcus_unclassified",0.0184282204690923,0.450528280505283,0.407392594073926
