"Increasing.Rank.Min","Decreasing.Rank.Min","Increasing.Rank.Max","Decreasing.Rank.Max","Increasing.Rank.Average","Decreasing.Rank.Average","Decre.maxRank.P","Decre.aveRank.P","Decre.minRank.P","Species","Decre.minRank.P.FDR","Decre.maxRank.P.FDR","Decre.aveRank.P.FDR"
9990,1,10001,12,9995.5,6.5,0.0011998800119988,0.00064993500649935,9.99900009999e-05,"Porphyromonas_asaccharolytica",0.000188695041257029,0.479285404792854,0.26959804019598
9988,1,10001,14,9994.5,7.5,0.0013998600139986,0.00074992500749925,9.99900009999e-05,"Fusobacterium_nucleatum",0.000188695041257029,0.479285404792854,0.26959804019598
9973,1,10001,29,9987,15,0.0028997100289971,0.0014998500149985,9.99900009999e-05,"Parvimonas_micra",0.000188695041257029,0.479285404792854,0.359464053594641
9962,12,9990,40,9976,26,0.003999600039996,0.0025997400259974,0.0011998800119988,"Peptostreptococcus_stomatis",0.00225841290216528,0.479285404792854,0.44333899943339
9968,33,9969,34,9968.5,33.5,0.0033996600339966,0.00334966503349665,0.0032996700329967,"Clostridium_symbiosum",0.00619441972251861,0.479285404792854,0.44333899943339
9963,35,9967,39,9965,37,0.0038996100389961,0.0036996300369963,0.0034996500349965,"Ruminococcaceae_bacterium_D16",0.0065527301436523,0.479285404792854,0.44333899943339
9922,53,9949,80,9935.5,66.5,0.007999200079992,0.00664933506649335,0.0052994700529947,"Gemella_morbillorum",0.00989693238468361,0.754874512548745,0.651528597140286
9918,61,9941,84,9929.5,72.5,0.0083991600839916,0.00724927507249275,0.0060993900609939,"Parvimonas_unclassified",0.0113612991032503,0.754874512548745,0.651528597140286
9860,132,9870,142,9865,137,0.0141985801419858,0.0136986301369863,0.0131986801319868,"Alistipes_shahii",0.0245215788498669,1,0.682175427317081
9816,148,9854,186,9835,167,0.0185981401859814,0.0166983301669833,0.0147985201479852,"Parasutterella_excrementihominis",0.027423030892787,1,0.682175427317081
9661,1,10001,341,9831,171,0.0340965903409659,0.0170982901709829,9.99900009999e-05,"Oscillibacter_sp_KLE_1745",0.000188695041257029,1,0.682175427317081
9621,1,10001,381,9811,191,0.0380961903809619,0.0190980901909809,9.99900009999e-05,"Porphyromonas_uenonis",0.000188695041257029,1,0.682175427317081
