"X1","X2","X3","X4","X5","X6","X7","X8","X9","X10","X11","X12","X13","X14","X15","X16","X17","X18","X19","X20","X21"
"MMRS65742083ST.27.0.0","CCIS32452666ST.4.0","MMRS34569532ST.27.0.0","SZAXPI015258.57","CCIS74239020ST.4.0","CCMD29706695ST.11.0","29.9943241977478","30.235318295548","32.1464359894981","32.8680636906998","33.8085061882332","SID31188","CRC_MR_SBJ51C_17","CCMD49461418ST.11.0","SZAXPI017454.20","SZAXPI015226.14","30.6869863589568","31.7367387050607","32.8045958351539","33.0101460939603","33.6552102650942"
"MMRS91297590ST.27.0.0","CRC_MR_SBJ16H_17","CCMD99440714ST.11.0","CCIS94417875ST.3.0","MMRS95277876ST.27.0.0","CCIS07539127ST.4.0","23.7467598663586","24.7932903524986","24.8553320855667","25.7287504284273","25.975201636894","SID31877","CCMD49461418ST.11.0","MMRS43939546ST.27.0.0","MMRS55294627ST.27.0.0","SZAXPI015218.16","21.8928667355465","22.5590294789825","24.5530754811327","24.7737152593247","25.052004847854"
"MMRS95277876ST.27.0.0","CCIS94417875ST.3.0","CRC_MR_SBJ16H_17","CCIS07539127ST.4.0","LILT_VF265_T016","CCIS79210440ST.3.0","16.1382385631115","17.2399881454716","18.286475907167","19.8308843342323","23.3367174949542","CRC_MR_SBJ32C_17","LILT_VF192_T017","SZAXPI015218.16","DRR127515","MMRS43939546ST.27.0.0","18.1114296387419","20.7874381733633","22.0837744673097","22.8412149068148","22.9176465584863"
"SID31360","CRC_MR_SBJ16H_17","CCIS74239020ST.4.0","CCIS07539127ST.4.0","CCIS32452666ST.4.0","CCIS94417875ST.3.0","24.7656980901003","25.5207575864785","26.8722247995435","27.3976779444226","27.7863977541404","SID531416","CRC_MR_SBJ32C_17","CCMD49461418ST.11.0","SZAXPI015218.16","SZAXPI017454.20","19.9291285136154","24.8383302774985","24.8953152989935","24.9740100248879","25.5952645998884"
"SZAXPI015258.57","CCMD99440714ST.11.0","CCIS74239020ST.4.0","CRC_MR_SBJ16H_17","MMRS95277876ST.27.0.0","CCIS07539127ST.4.0","22.4313399031266","23.4745525471477","23.7429552103187","24.9744762134584","25.302102976982","SZAXPI017454.20","CRC_MR_SBJ51C_17","SZAXPI015218.16","CCMD49461418ST.11.0","SID31877","22.9318561743942","23.8067689644647","23.9282439321986","25.0686633823166","26.0467536980043"
"CCIS02379307ST.4.0","MMRS25211151ST.27.0.0","CCIS07539127ST.4.0","CCIS94417875ST.3.0","CRC_MR_SBJ63H_17","CCIS32452666ST.4.0","20.4241486537726","21.1389255859422","22.9981946903947","23.1719632471593","24.6962135912836","MMRS55294627ST.27.0.0","SID31877","SZAXPI015218.16","SZAXPI017454.20","SZAXPI017580.90","19.1754969132484","20.3847234906854","21.0749439607037","22.7027087259406","23.7886034830967"
"CCMD49461418ST.11.0","CRC_MR_SBJ16H_17","MMRS91297590ST.27.0.0","CCMD99440714ST.11.0","LILT_VF189_T016","CCIS07539127ST.4.0","20.2984344560092","22.5590294789825","23.8287145309876","24.2638634465825","24.623664260266","SID31877","MMRS43939546ST.27.0.0","CRC_MR_SBJ32C_17","SZAXPI015218.16","MMRS55294627ST.27.0.0","21.2994728853134","21.3860311422152","21.9255193699397","24.8012796695916","25.7462363923565"
"CRC_MR_SBJ32C_17","CCIS07539127ST.4.0","CRC_MR_SBJ16H_17","CCIS94417875ST.3.0","MMRS95277876ST.27.0.0","LILT_VF265_T016","15.9065362812807","16.5348045268367","17.2101630990005","18.1114296387419","18.9462646265326","DRR127515","SZAXPI015218.16","SZAXPI017454.20","CCMD49461418ST.11.0","SID31877","19.4616444281464","19.7589158721652","21.2924221284099","21.9255193699397","22.6906188990737"
"CRC_MR_SBJ51C_17","CCIS79210440ST.3.0","CCIS94417875ST.3.0","SZAXPI015258.57","MMRS95277876ST.27.0.0","CCIS07539127ST.4.0","21.0327027569616","22.9311152306795","23.8067689644647","24.5659475191127","25.1809828581372","LILT_VF192_T017","CRC_MR_SBJ32C_17","SZAXPI017454.20","SID31877","DRR127515","24.3224278914955","24.377250677882","26.9986924847464","27.6498376456445","27.92493483459"
"DRR127515","CCIS07539127ST.4.0","LILT_VF265_T016","CCIS94417875ST.3.0","CRC_MR_SBJ16H_17","MMRS95277876ST.27.0.0","19.2822193524112","20.3122838123486","21.1000116694897","21.3328372235926","22.8412149068148","MMRS80093644ST.27.0.0","CRC_MR_SBJ32C_17","SZAXPI015218.16","SZAXPI017454.20","MMRS55294627ST.27.0.0","17.9606325607257","19.4616444281464","20.0740464712349","22.4406459625386","23.8829780243231"
