"X1","X2","X3","X4","X5","X6","X7","X8","X9","X10","X11","X12","X13","X14","X15","X16","X17"
"CCIS27304052ST.3.0","SZAXPI015262.79","SID530258","CCIS88317640ST.4.0","SID31160","19.6945517975073","23.0335623848331","27.8577614021784","29.9698047205533","CRC_MR_SBJ10C_17","CRC_MR_SBJ02C_17","SZAXPI015221.142","SZAXPI017462.33","23.1602949890303","25.6659574942588","26.6761598889795","29.3651786231976"
"CCIS29210128ST.4.0","CCIS88317640ST.4.0","SID530258","CRC_MR_SBJ16H_17","DRR127707","30.3527340252258","31.0342098475731","32.358556863377","33.0219852833729","SZAXPI017587.113","SZAXPI015221.142","CRC_MR_SBJ10C_17","MMRS55294627ST.27.0.0","21.6886640793457","26.8871071703856","29.8106881173364","30.7911231660003"
"CCIS88317640ST.4.0","SID530258","CRC_MR_SBJ16H_17","SID31700","SID31160","21.0211504837699","23.3707071859219","24.6669638391676","26.6127596239097","MMRS55294627ST.27.0.0","CRC_MR_SBJ02C_17","CRC_MR_SBJ10C_17","SZAXPI015221.142","23.1732821564296","24.3838531876814","24.5352125014885","25.242792415759"
"CCMD31134579ST.11.0","SID31700","CCMD49025643ST.11.0","CRC_MR_SBJ16H_17","MMRS21365932ST.27.0.0","35.2173851718977","35.5665401923985","36.4067986527393","36.728667845574","CCIS84543192ST.4.0","MMRS78791111ST.27.0.0","SID31868","CRC_MR_SBJ51C_17","21.93332436637","22.1959583670744","28.5177573854923","32.9982689485843"
"CCMD49025643ST.11.0","SID31700","CRC_MR_SBJ16H_17","MMRS21365932ST.27.0.0","CCIS88317640ST.4.0","23.2124329851504","24.8404796288518","26.3353757618075","27.3124290853688","SZAXPI017462.33","SID31876","MMRS78791111ST.27.0.0","LILT_VF207_T017","23.3554081823697","24.1359064325063","25.3004724350436","26.547216143255"
"CCMD99440714ST.11.0","CRC_MR_SBJ16H_17","SZAXPI015242.30","SID31700","MMRS21365932ST.27.0.0","20.3619069075025","27.2822309851284","28.5613185127665","29.1038062216817","LILT_VF207_T017","MMRS77018926ST.27.0.0","MMRS55294627ST.27.0.0","CRC_MR_SBJ51C_17","22.0044009383055","24.5615001147406","25.8809522778085","26.3876009254498"
"CRC_MR_SBJ16H_17","SID31700","CCMD99440714ST.11.0","CCIS88317640ST.4.0","SZAXPI015242.30","16.6500220541085","20.3619069075025","23.3707071859219","23.6093383352033","SZAXPI017462.33","MMRS55294627ST.27.0.0","CCMD86707194ST.21.0","MMRS78791111ST.27.0.0","20.9052359019433","21.6721867201305","22.4614132198733","23.4939269848997"
"DRR127707","CRC_MR_SBJ16H_17","CCIS88317640ST.4.0","CCIS29210128ST.4.0","CCMD99440714ST.11.0","29.1211387387873","31.4101503812446","33.0219852833729","34.2866193457579","MMRS41266697ST.27.0.0","MMRS55294627ST.27.0.0","DRR127507","CCMD86707194ST.21.0","24.7296687311031","28.6016206458742","30.6669420135461","31.3373957668885"
"DRR127736","CCIS88317640ST.4.0","CRC_MR_SBJ16H_17","SZAXPI015242.30","DRR127707","37.2574775863638","37.6483915066965","37.9685631630221","39.6725496019754","MMRS55294627ST.27.0.0","SID31876","DRR127507","MMRS41266697ST.27.0.0","33.7966679007931","36.326916280758","36.5196674885328","37.5515583700637"
"MMRS21365932ST.27.0.0","SID31700","CRC_MR_SBJ16H_17","CCMD49025643ST.11.0","CCMD99440714ST.11.0","23.6333634326242","26.327334670346","26.3353757618075","29.1038062216817","MMRS78791111ST.27.0.0","SZAXPI017462.33","CRC_MR_SBJ51C_17","LILT_VF207_T017","23.0632164945309","24.8094135974533","26.1175536187408","28.850898010698"
