"X1","X2","X3","X4","X5","X6","X7","X8","X9","X10","X11","X12","X13","X14","X15","X16","X17"
"CCIS71578391ST.4.0","SID532802","CRC_MR_SBJ18H_17","CCIS81139242ST.4.0","CCMD59540613ST.11.0","12.7975769769281","21.7403680766127","23.1197120281352","23.2199834350307","MMRS90191266ST.27.0.0","MMRS93508324ST.27.0.0","CCIS47284573ST.4.0","CCIS14449628ST.4.0","17.6846485388599","22.1361631029589","22.7385161027825","24.7013653884355"
"CCIS81139242ST.4.0","CCIS71578391ST.4.0","SID532802","SZAXPI015259.62","CRC_MR_SBJ18H_17","23.1197120281352","26.9630388595629","27.757143292803","29.4630409930594","CCIS47284573ST.4.0","MMRS93508324ST.27.0.0","CCIS46047672ST.4.0","CCIS50148151ST.4.0","22.2760405288911","27.2562214862093","28.5599347456415","28.5845051037691"
"CCMD30626189ST.11.0","CCMD41202658ST.11.0","SZAXPI015264.87","CCIS00281083ST.3.0","SID31700","24.266813579539","31.5705319077063","35.7625912902505","40.1468457098886","DRR127708","MMRS93508324ST.27.0.0","CCIS47284573ST.4.0","MMRS90191266ST.27.0.0","34.9957103406789","35.7819712507472","40.0216913874839","40.9853450247219"
"CCMD41202658ST.11.0","SZAXPI015264.87","CCMD30626189ST.11.0","CRC_MR_SBJ18H_17","CCMD59540613ST.11.0","18.8198051814677","24.266813579539","27.3491891063044","27.6746526370161","MMRS93508324ST.27.0.0","DRR127708","CCIS47284573ST.4.0","CCIS14449628ST.4.0","22.7374611963165","25.3136042266723","28.3519891149827","28.4197682557687"
"CCMD59540613ST.11.0","CRC_MR_SBJ18H_17","CCIS71578391ST.4.0","SID532802","SZAXPI015264.87","19.358907464697","23.2199834350307","24.447259691988","26.2783338981051","MMRS93508324ST.27.0.0","CCIS47284573ST.4.0","MMRS90191266ST.27.0.0","CCIS14449628ST.4.0","21.1518711230212","22.0921342833643","23.0440328440814","23.7185965468807"
"CCMD76409700ST.11.0","CCIS71578391ST.4.0","SZAXPI015264.87","SID532802","CRC_MR_SBJ18H_17","24.3327178680969","28.4948748468176","28.8411724446459","31.0070231808118","MMRS90191266ST.27.0.0","MMRS93508324ST.27.0.0","CCIS47284573ST.4.0","CRC_MR_SBJ22C_17","20.5262633514042","26.1762424523918","29.1689429433619","30.0441071101539"
"CRC_MR_SBJ18H_17","CCMD59540613ST.11.0","CCIS71578391ST.4.0","SID31700","SZAXPI015264.87","19.358907464697","21.7403680766127","22.9696171713135","23.8449203443962","SZAXPI003422.11","CCIS71301801ST.4.0","MMRS93508324ST.27.0.0","CCIS50148151ST.4.0","17.469544707247","19.3608568664354","21.5601052641401","22.3718153973543"
"DRR127537","CRC_MR_SBJ18H_17","SID31700","CCMD59540613ST.11.0","SZAXPI015259.62","33.4071666988357","33.6599763349783","33.9419331557898","35.2232030700318","CCIS47284573ST.4.0","CCIS50148151ST.4.0","MMRS93508324ST.27.0.0","SZAXPI003422.11","29.9790941911243","31.8442723016385","32.0272377210492","34.2355990730015"
"DRR127713","CCMD59540613ST.11.0","CRC_MR_SBJ18H_17","CCIS71578391ST.4.0","CCIS81139242ST.4.0","29.7260805556787","30.6598977417929","33.9088028961802","34.2283585033419","MMRS93508324ST.27.0.0","CCIS50148151ST.4.0","CCIS47284573ST.4.0","SID31880","30.245399224821","30.4516328406885","32.2890309625777","32.9085395374757"
"MMRS51737257ST.27.0.0","CCIS71578391ST.4.0","CRC_MR_SBJ18H_17","SID532802","CCMD59540613ST.11.0","25.6222194517415","26.1538815703559","27.130378099739","27.2374176207015","MMRS93508324ST.27.0.0","MMRS90191266ST.27.0.0","CCIS71301801ST.4.0","CCIS14449628ST.4.0","24.4113833191771","25.8575969628734","26.3882955858464","27.3605240626345"
"SID31129","CRC_MR_SBJ18H_17","SID31700","CCIS81139242ST.4.0","DRR127537","35.0997681560306","37.1334091861116","38.9100364056242","38.9923068136152","SID531775","CCIS47284573ST.4.0","CCIS59132091ST.4.0","CCIS50148151ST.4.0","38.1145540364977","38.3625400643753","38.5709883028864","39.0575772077506"
"SID31219","CCIS71578391ST.4.0","SID532802","SID31700","CCMD59540613ST.11.0","25.8086762331798","26.5211923923548","30.0549638746481","30.3972920308964","SID31880","CCIS47284573ST.4.0","SID531775","CRC_MR_SBJ22C_17","22.371684802806","25.0917991634677","26.6110810979167","30.8825478647164"
"SID31700","CRC_MR_SBJ18H_17","CCIS71578391ST.4.0","SID532802","SZAXPI015264.87","22.9696171713135","23.846065200911","24.1636054006951","25.5045100974259","SID31223","CCIS78318719ST.4.0","MMRS90191266ST.27.0.0","CCIS71301801ST.4.0","22.3696612423769","22.8478520126225","24.2703643251374","24.8904782525507"
