"AUC","Study","RepeatTimes","Fold","FeatureCount"
1,"ZellerG_2014",5,1,50
0.965034965034965,"ZellerG_2014",4,5,50
0.916666666666667,"ZellerG_2014",4,4,50
1,"ZellerG_2014",4,3,50
0.853146853146853,"ZellerG_2014",4,2,50
0.993006993006993,"ZellerG_2014",4,1,50
0.901515151515151,"ZellerG_2014",3,5,50
0.962121212121212,"ZellerG_2014",3,4,50
1,"ZellerG_2014",3,3,50
0.977272727272727,"ZellerG_2014",3,2,50
0.954545454545454,"ZellerG_2014",3,1,50
0.931818181818182,"ZellerG_2014",2,5,50
0.984848484848485,"ZellerG_2014",2,4,50
0.925,"ZellerG_2014",2,3,50
0.992307692307692,"ZellerG_2014",2,2,50
0.884615384615385,"ZellerG_2014",2,1,50
0.854166666666667,"ZellerG_2014",1,5,50
0.916666666666667,"ZellerG_2014",1,4,50
0.839160839160839,"ZellerG_2014",1,3,50
1,"ZellerG_2014",1,2,50
0.939393939393939,"ZellerG_2014",1,1,50
0.963636363636364,"YuJ_2015",10,5,50
0.939393939393939,"YuJ_2015",10,4,50
0.896969696969697,"YuJ_2015",10,3,50
0.860606060606061,"YuJ_2015",10,2,50
0.756666666666667,"YuJ_2015",10,1,50
0.943333333333333,"YuJ_2015",9,5,50
0.86060606060606,"YuJ_2015",9,4,50
0.806666666666667,"YuJ_2015",9,3,50
0.884848484848485,"YuJ_2015",9,2,50
0.866666666666666,"YuJ_2015",9,1,50
0.939393939393939,"YuJ_2015",8,5,50
0.973333333333333,"YuJ_2015",8,4,50
0.896969696969697,"YuJ_2015",8,3,50
0.933333333333333,"YuJ_2015",8,2,50
0.86,"YuJ_2015",8,1,50
0.757575757575758,"YuJ_2015",7,5,50
0.893939393939394,"YuJ_2015",7,4,50
0.872727272727273,"YuJ_2015",7,3,50
0.963333333333333,"YuJ_2015",7,2,50
0.945454545454545,"YuJ_2015",7,1,50
0.884848484848485,"YuJ_2015",6,5,50
0.854545454545454,"YuJ_2015",6,4,50
0.806060606060606,"YuJ_2015",6,3,50
0.933333333333333,"YuJ_2015",6,2,50
0.886666666666667,"YuJ_2015",6,1,50
0.939393939393939,"YuJ_2015",5,5,50
0.953333333333333,"YuJ_2015",5,4,50
0.833333333333333,"YuJ_2015",5,3,50
0.803030303030303,"YuJ_2015",5,2,50
0.921212121212121,"YuJ_2015",5,1,50
0.84,"YuJ_2015",4,5,50
0.857575757575758,"YuJ_2015",4,4,50
0.986666666666667,"YuJ_2015",4,3,50
0.946666666666667,"YuJ_2015",4,2,50
0.833333333333333,"YuJ_2015",4,1,50
0.953333333333333,"YuJ_2015",3,5,50
0.906060606060606,"YuJ_2015",3,4,50
0.843333333333333,"YuJ_2015",3,3,50
0.813333333333333,"YuJ_2015",3,2,50
0.843333333333333,"YuJ_2015",3,1,50
0.921212121212121,"YuJ_2015",2,5,50
0.813333333333333,"YuJ_2015",2,4,50
0.96,"YuJ_2015",2,3,50
0.945454545454545,"YuJ_2015",2,2,50
0.926666666666667,"YuJ_2015",2,1,50
0.8,"YuJ_2015",1,5,50
0.906666666666667,"YuJ_2015",1,4,50
0.863636363636364,"YuJ_2015",1,3,50
0.915151515151515,"YuJ_2015",1,2,50
0.884848484848485,"YuJ_2015",1,1,50
0.72,"VogtmannE_2016",10,5,50
0.9,"VogtmannE_2016",10,4,50
0.86,"VogtmannE_2016",10,3,50
0.85,"VogtmannE_2016",10,2,50
0.72,"VogtmannE_2016",10,1,50
0.91,"VogtmannE_2016",9,5,50
