"Accuracy","Kappa","AccuracyLower","AccuracyUpper","AccuracyNull","AccuracyPValue","McnemarPValue","Sensitivity","Specificity","Pos.Pred.Value","Neg.Pred.Value","Precision","Recall","F1","Prevalence","Detection.Rate","Detection.Prevalence","Balanced.Accuracy","Study","RepeatTimes","Fold","FeatureCount"
0.84,0.675324675324675,0.639171545540728,0.95462054762829,0.52,0.000895612767370051,0.133614402537715,1,0.666666666666667,0.764705882352941,1,0.764705882352941,1,0.866666666666667,0.52,0.52,0.68,0.833333333333333,"PRJEB27928",4,1,50
0.72,0.437299035369775,0.506123178193745,0.879283311495933,0.52,0.0342370531793977,1,0.769230769230769,0.666666666666667,0.714285714285714,0.727272727272727,0.714285714285714,0.769230769230769,0.740740740740741,0.52,0.4,0.56,0.717948717948718,"PRJEB27928",3,5,50
0.88,0.758842443729904,0.687809692713765,0.974534603352267,0.52,0.000165944110604564,1,0.923076923076923,0.833333333333333,0.857142857142857,0.909090909090909,0.857142857142857,0.923076923076923,0.888888888888889,0.52,0.48,0.56,0.878205128205128,"PRJEB27928",3,4,50
0.88,0.758842443729904,0.687809692713765,0.974534603352267,0.52,0.000165944110604564,1,0.923076923076923,0.833333333333333,0.857142857142857,0.909090909090909,0.857142857142857,0.923076923076923,0.888888888888889,0.52,0.48,0.56,0.878205128205128,"PRJEB27928",3,3,50
1,1,0.862814828469287,1,0.52,7.94481137838193e-08,NA,1,1,1,1,1,1,1,0.52,0.52,0.52,1,"PRJEB27928",3,2,50
0.88,0.758842443729904,0.687809692713765,0.974534603352267,0.52,0.000165944110604564,1,0.923076923076923,0.833333333333333,0.857142857142857,0.909090909090909,0.857142857142857,0.923076923076923,0.888888888888889,0.52,0.48,0.56,0.878205128205128,"PRJEB27928",3,1,50
0.88,0.757281553398058,0.687809692713765,0.974534603352267,0.52,0.000165944110604564,0.248213078989924,1,0.75,0.8125,1,0.8125,1,0.896551724137931,0.52,0.52,0.64,0.875,"PRJEB27928",2,5,50
0.92,0.83974358974359,0.739694157894786,0.990160409981202,0.52,2.22214963931796e-05,1,0.923076923076923,0.916666666666667,0.923076923076923,0.916666666666667,0.923076923076923,0.923076923076923,0.923076923076923,0.52,0.48,0.52,0.919871794871795,"PRJEB27928",2,4,50
0.88,0.757281553398058,0.687809692713765,0.974534603352267,0.52,0.000165944110604564,0.248213078989924,1,0.75,0.8125,1,0.8125,1,0.896551724137931,0.52,0.52,0.64,0.875,"PRJEB27928",2,3,50
0.88,0.758842443729904,0.687809692713765,0.974534603352267,0.52,0.000165944110604564,1,0.923076923076923,0.833333333333333,0.857142857142857,0.909090909090909,0.857142857142857,0.923076923076923,0.888888888888889,0.52,0.48,0.56,0.878205128205128,"PRJEB27928",2,2,50
0.88,0.758842443729904,0.687809692713765,0.974534603352267,0.52,0.000165944110604564,1,0.923076923076923,0.833333333333333,0.857142857142857,0.909090909090909,0.857142857142857,0.923076923076923,0.888888888888889,0.52,0.48,0.56,0.878205128205128,"PRJEB27928",2,1,50
0.84,0.67741935483871,0.639171545540728,0.95462054762829,0.52,0.000895612767370051,0.617075077451974,0.923076923076923,0.75,0.8,0.9,0.8,0.923076923076923,0.857142857142857,0.52,0.48,0.6,0.836538461538462,"PRJEB27928",1,5,50
0.88,0.757281553398058,0.687809692713765,0.974534603352267,0.52,0.000165944110604564,0.248213078989924,1,0.75,0.8125,1,0.8125,1,0.896551724137931,0.52,0.52,0.64,0.875,"PRJEB27928",1,4,50
0.76,0.516129032258065,0.548711982183314,0.906435560668257,0.52,0.0124286951102811,0.683091398309609,0.846153846153846,0.666666666666667,0.733333333333333,0.8,0.733333333333333,0.846153846153846,0.785714285714286,0.52,0.44,0.6,0.756410256410256,"PRJEB27928",1,3,50
0.84,0.67741935483871,0.639171545540728,0.95462054762829,0.52,0.000895612767370051,0.617075077451974,0.923076923076923,0.75,0.8,0.9,0.8,0.923076923076923,0.857142857142857,0.52,0.48,0.6,0.836538461538462,"PRJEB27928",1,2,50
0.92,0.838709677419355,0.739694157894786,0.990160409981202,0.52,2.22214963931796e-05,0.479500122186953,1,0.833333333333333,0.866666666666667,1,0.866666666666667,1,0.928571428571429,0.52,0.52,0.6,0.916666666666667,"PRJEB27928",1,1,50
0.75,0.5,0.476229180103872,0.927337961747118,0.5,0.0384063720703125,1,0.75,0.75,0.75,0.75,0.75,0.75,0.75,0.5,0.375,0.5,0.75,"PRJDB4176",10,5,50
0.8125,0.625,0.543543453768388,0.959526266094054,0.5,0.0106353759765625,1,0.75,0.875,0.857142857142857,0.777777777777778,0.857142857142857,0.75,0.8,0.5,0.375,0.4375,0.8125,"PRJDB4176",10,4,50
0.6875,0.375,0.413379363548641,0.889830045282883,0.5,0.105056762695313,1,0.625,0.75,0.714285714285714,0.666666666666667,0.714285714285714,0.625,0.666666666666667,0.5,0.3125,0.4375,0.6875,"PRJDB4176",10,3,50
0.75,0.5,0.476229180103872,0.927337961747118,0.5,0.0384063720703125,0.133614402537715,1,0.5,0.666666666666667,1,0.666666666666667,1,0.8,0.5,0.5,0.75,0.75,"PRJDB4176",10,2,50
0.8125,0.625,0.543543453768388,0.959526266094054,0.5,0.0106353759765625,0.248213078989924,1,0.625,0.727272727272727,1,0.727272727272727,1,0.842105263157895,0.5,0.5,0.6875,0.8125,"PRJDB4176",10,1,50
0.5,0,0.246510111490575,0.753489888509425,0.5,0.598190307617187,0.288844366346485,0.75,0.25,0.5,0.5,0.5,0.75,0.6,0.5,0.375,0.75,0.5,"PRJDB4176",9,5,50
0.8125,0.625,0.543543453768388,0.959526266094054,0.5,0.0106353759765625,0.248213078989924,1,0.625,0.727272727272727,1,0.727272727272727,1,0.842105263157895,0.5,0.5,0.6875,0.8125,"PRJDB4176",9,4,50
0.875,0.75,0.616523763150737,0.984486396184586,0.5,0.0020904541015625,0.479500122186953,1,0.75,0.8,1,0.8,1,0.888888888888889,0.5,0.5,0.625,0.875,"PRJDB4176",9,3,50
0.75,0.5,0.476229180103872,0.927337961747118,0.5,0.0384063720703125,0.617075077451974,0.875,0.625,0.7,0.833333333333333,0.7,0.875,0.777777777777778,0.5,0.4375,0.625,0.75,"PRJDB4176",9,2,50
0.8125,0.625,0.543543453768388,0.959526266094054,0.5,0.0106353759765625,0.248213078989924,1,0.625,0.727272727272727,1,0.727272727272727,1,0.842105263157895,0.5,0.5,0.6875,0.8125,"PRJDB4176",9,1,50
0.75,0.5,0.476229180103872,0.927337961747118,0.5,0.0384063720703125,0.133614402537715,1,0.5,0.666666666666667,1,0.666666666666667,1,0.8,0.5,0.5,0.75,0.75,"PRJDB4176",8,5,50
0.6875,0.375,0.413379363548641,0.889830045282883,0.5,0.105056762695313,1,0.75,0.625,0.666666666666667,0.714285714285714,0.666666666666667,0.75,0.705882352941177,0.5,0.375,0.5625,0.6875,"PRJDB4176",8,4,50
0.625,0.25,0.354346094302078,0.848016324918878,0.5,0.227249145507813,1,0.625,0.625,0.625,0.625,0.625,0.625,0.625,0.5,0.3125,0.5,0.625,"PRJDB4176",8,3,50
0.75,0.5,0.476229180103872,0.927337961747118,0.5,0.0384063720703125,1,0.75,0.75,0.75,0.75,0.75,0.75,0.75,0.5,0.375,0.5,0.75,"PRJDB4176",8,2,50
0.75,0.5,0.476229180103872,0.927337961747118,0.5,0.0384063720703125,0.133614402537715,1,0.5,0.666666666666667,1,0.666666666666667,1,0.8,0.5,0.5,0.75,0.75,"PRJDB4176",8,1,50
0.5625,0.125,0.298776899083177,0.802465859467332,0.5,0.401809692382813,0.449691797968891,0.75,0.375,0.545454545454545,0.6,0.545454545454545,0.75,0.631578947368421,0.5,0.375,0.6875,0.5625,"PRJDB4176",7,5,50
0.625,0.25,0.354346094302078,0.848016324918878,0.5,0.227249145507813,0.220671361919847,0.875,0.375,0.583333333333333,0.75,0.583333333333333,0.875,0.7,0.5,0.4375,0.75,0.625,"PRJDB4176",7,4,50
0.875,0.75,0.616523763150737,0.984486396184586,0.5,0.0020904541015625,1,0.875,0.875,0.875,0.875,0.875,0.875,0.875,0.5,0.4375,0.5,0.875,"PRJDB4176",7,3,50
0.5,0,0.246510111490575,0.753489888509425,0.5,0.598190307617187,1,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.25,0.5,0.5,"PRJDB4176",7,2,50
0.75,0.5,0.476229180103872,0.927337961747118,0.5,0.0384063720703125,1,0.75,0.75,0.75,0.75,0.75,0.75,0.75,0.5,0.375,0.5,0.75,"PRJDB4176",7,1,50
0.6875,0.375,0.413379363548641,0.889830045282883,0.5,0.105056762695313,1,0.75,0.625,0.666666666666667,0.714285714285714,0.666666666666667,0.75,0.705882352941177,0.5,0.375,0.5625,0.6875,"PRJDB4176",6,5,50
0.75,0.5,0.476229180103872,0.927337961747118,0.5,0.0384063720703125,0.617075077451974,0.875,0.625,0.7,0.833333333333333,0.7,0.875,0.777777777777778,0.5,0.4375,0.625,0.75,"PRJDB4176",6,4,50
0.875,0.75,0.616523763150737,0.984486396184586,0.5,0.0020904541015625,0.479500122186953,1,0.75,0.8,1,0.8,1,0.888888888888889,0.5,0.5,0.625,0.875,"PRJDB4176",6,3,50
0.8125,0.625,0.543543453768388,0.959526266094054,0.5,0.0106353759765625,1,0.75,0.875,0.857142857142857,0.777777777777778,0.857142857142857,0.75,0.8,0.5,0.375,0.4375,0.8125,"PRJDB4176",6,2,50
0.75,0.5,0.476229180103872,0.927337961747118,0.5,0.0384063720703125,0.133614402537715,0.5,1,1,0.666666666666667,1,0.5,0.666666666666667,0.5,0.25,0.25,0.75,"PRJDB4176",6,1,50
0.8125,0.625,0.543543453768388,0.959526266094054,0.5,0.0106353759765625,1,0.875,0.75,0.777777777777778,0.857142857142857,0.777777777777778,0.875,0.823529411764706,0.5,0.4375,0.5625,0.8125,"PRJDB4176",5,5,50
0.6875,0.375,0.413379363548641,0.889830045282883,0.5,0.105056762695313,1,0.625,0.75,0.714285714285714,0.666666666666667,0.714285714285714,0.625,0.666666666666667,0.5,0.3125,0.4375,0.6875,"PRJDB4176",5,4,50
0.75,0.5,0.476229180103872,0.927337961747118,0.5,0.0384063720703125,1,0.75,0.75,0.75,0.75,0.75,0.75,0.75,0.5,0.375,0.5,0.75,"PRJDB4176",5,3,50
0.75,0.5,0.476229180103872,0.927337961747118,0.5,0.0384063720703125,0.617075077451974,0.875,0.625,0.7,0.833333333333333,0.7,0.875,0.777777777777778,0.5,0.4375,0.625,0.75,"PRJDB4176",5,2,50
0.75,0.5,0.476229180103872,0.927337961747118,0.5,0.0384063720703125,0.617075077451974,0.875,0.625,0.7,0.833333333333333,0.7,0.875,0.777777777777778,0.5,0.4375,0.625,0.75,"PRJDB4176",5,1,50
0.75,0.5,0.476229180103872,0.927337961747118,0.5,0.0384063720703125,0.617075077451974,0.875,0.625,0.7,0.833333333333333,0.7,0.875,0.777777777777778,0.5,0.4375,0.625,0.75,"PRJDB4176",4,5,50
0.8125,0.625,0.543543453768388,0.959526266094054,0.5,0.0106353759765625,1,0.875,0.75,0.777777777777778,0.857142857142857,0.777777777777778,0.875,0.823529411764706,0.5,0.4375,0.5625,0.8125,"PRJDB4176",4,4,50
0.8125,0.625,0.543543453768388,0.959526266094054,0.5,0.0106353759765625,1,0.875,0.75,0.777777777777778,0.857142857142857,0.777777777777778,0.875,0.823529411764706,0.5,0.4375,0.5625,0.8125,"PRJDB4176",4,3,50
0.8125,0.625,0.543543453768388,0.959526266094054,0.5,0.0106353759765625,0.248213078989924,1,0.625,0.727272727272727,1,0.727272727272727,1,0.842105263157895,0.5,0.5,0.6875,0.8125,"PRJDB4176",4,2,50
0.6875,0.375,0.413379363548641,0.889830045282883,0.5,0.105056762695313,0.371093369522698,0.875,0.5,0.636363636363636,0.8,0.636363636363636,0.875,0.736842105263158,0.5,0.4375,0.6875,0.6875,"PRJDB4176",4,1,50
0.75,0.5,0.476229180103872,0.927337961747118,0.5,0.0384063720703125,1,0.75,0.75,0.75,0.75,0.75,0.75,0.75,0.5,0.375,0.5,0.75,"PRJDB4176",3,5,50
0.75,0.5,0.476229180103872,0.927337961747118,0.5,0.0384063720703125,0.617075077451974,0.875,0.625,0.7,0.833333333333333,0.7,0.875,0.777777777777778,0.5,0.4375,0.625,0.75,"PRJDB4176",3,4,50
0.75,0.5,0.476229180103872,0.927337961747118,0.5,0.0384063720703125,0.133614402537715,1,0.5,0.666666666666667,1,0.666666666666667,1,0.8,0.5,0.5,0.75,0.75,"PRJDB4176",3,3,50
0.75,0.5,0.476229180103872,0.927337961747118,0.5,0.0384063720703125,1,0.75,0.75,0.75,0.75,0.75,0.75,0.75,0.5,0.375,0.5,0.75,"PRJDB4176",3,2,50
0.75,0.5,0.476229180103872,0.927337961747118,0.5,0.0384063720703125,1,0.75,0.75,0.75,0.75,0.75,0.75,0.75,0.5,0.375,0.5,0.75,"PRJDB4176",3,1,50
0.75,0.5,0.476229180103872,0.927337961747118,0.5,0.0384063720703125,0.133614402537715,1,0.5,0.666666666666667,1,0.666666666666667,1,0.8,0.5,0.5,0.75,0.75,"PRJDB4176",2,5,50
0.75,0.5,0.476229180103872,0.927337961747118,0.5,0.0384063720703125,0.617075077451974,0.875,0.625,0.7,0.833333333333333,0.7,0.875,0.777777777777778,0.5,0.4375,0.625,0.75,"PRJDB4176",2,4,50
0.8125,0.625,0.543543453768388,0.959526266094054,0.5,0.0106353759765625,1,0.75,0.875,0.857142857142857,0.777777777777778,0.857142857142857,0.75,0.8,0.5,0.375,0.4375,0.8125,"PRJDB4176",2,3,50
0.625,0.25,0.354346094302078,0.848016324918878,0.5,0.227249145507813,0.220671361919847,0.875,0.375,0.583333333333333,0.75,0.583333333333333,0.875,0.7,0.5,0.4375,0.75,0.625,"PRJDB4176",2,2,50
0.875,0.75,0.616523763150737,0.984486396184586,0.5,0.0020904541015625,0.479500122186953,1,0.75,0.8,1,0.8,1,0.888888888888889,0.5,0.5,0.625,0.875,"PRJDB4176",2,1,50
0.6875,0.375,0.413379363548641,0.889830045282883,0.5,0.105056762695313,0.371093369522698,0.875,0.5,0.636363636363636,0.8,0.636363636363636,0.875,0.736842105263158,0.5,0.4375,0.6875,0.6875,"PRJDB4176",1,5,50
0.75,0.5,0.476229180103872,0.927337961747118,0.5,0.0384063720703125,0.133614402537715,1,0.5,0.666666666666667,1,0.666666666666667,1,0.8,0.5,0.5,0.75,0.75,"PRJDB4176",1,4,50
0.6875,0.375,0.413379363548641,0.889830045282883,0.5,0.105056762695313,0.371093369522698,0.875,0.5,0.636363636363636,0.8,0.636363636363636,0.875,0.736842105263158,0.5,0.4375,0.6875,0.6875,"PRJDB4176",1,3,50
0.875,0.75,0.616523763150737,0.984486396184586,0.5,0.0020904541015625,0.479500122186953,1,0.75,0.8,1,0.8,1,0.888888888888889,0.5,0.5,0.625,0.875,"PRJDB4176",1,2,50
0.875,0.75,0.616523763150737,0.984486396184586,0.5,0.0020904541015625,1,0.875,0.875,0.875,0.875,0.875,0.875,0.875,0.5,0.4375,0.5,0.875,"PRJDB4176",1,1,50
0.791666666666667,0.577464788732394,0.578487156362747,0.928681382801945,0.541666666666667,0.0103081952332158,1,0.846153846153846,0.727272727272727,0.785714285714286,0.8,0.785714285714286,0.846153846153846,0.814814814814815,0.541666666666667,0.458333333333333,0.583333333333333,0.786713286713287,"ZellerG_2014",10,5,50
0.956521739130435,0.913207547169811,0.78051339254652,0.998899831369559,0.521739130434783,7.00636984347578e-06,1,0.916666666666667,1,1,0.916666666666667,1,0.916666666666667,0.956521739130435,0.521739130434783,0.478260869565217,0.478260869565217,0.958333333333333,"ZellerG_2014",10,4,50
0.869565217391304,0.735632183908046,0.664110862462879,0.972248492577207,0.521739130434783,0.000507248875127303,0.248213078989924,1,0.727272727272727,0.8,1,0.8,1,0.888888888888889,0.521739130434783,0.521739130434783,0.652173913043478,0.863636363636364,"ZellerG_2014",10,3,50
1,1,0.851814871084776,1,0.521739130434783,3.17269577817771e-07,NA,1,1,1,1,1,1,1,0.521739130434783,0.521739130434783,0.521739130434783,1,"ZellerG_2014",10,2,50
0.869565217391304,0.735632183908046,0.664110862462879,0.972248492577207,0.521739130434783,0.000507248875127303,0.248213078989924,1,0.727272727272727,0.8,1,0.8,1,0.888888888888889,0.521739130434783,0.521739130434783,0.652173913043478,0.863636363636364,"ZellerG_2014",10,1,50
0.91304347826087,0.825757575757576,0.719620664090589,0.989290033962124,0.521739130434783,7.4454797522194e-05,1,0.916666666666667,0.909090909090909,0.916666666666667,0.909090909090909,0.916666666666667,0.916666666666667,0.916666666666667,0.521739130434783,0.478260869565217,0.521739130434783,0.912878787878788,"ZellerG_2014",9,5,50
0.909090909090909,0.813559322033898,0.708387258446067,0.988794413975849,0.545454545454545,0.000290641304425921,0.479500122186953,1,0.8,0.857142857142857,1,0.857142857142857,1,0.923076923076923,0.545454545454545,0.545454545454545,0.636363636363636,0.9,"ZellerG_2014",9,4,50
0.826086956521739,0.648854961832061,0.612188110045203,0.950492354694207,0.521739130434783,0.00249088839748405,0.617075077451974,0.916666666666667,0.727272727272727,0.785714285714286,0.888888888888889,0.785714285714286,0.916666666666667,0.846153846153846,0.521739130434783,0.478260869565217,0.608695652173913,0.821969696969697,"ZellerG_2014",9,3,50
0.826086956521739,0.648854961832061,0.612188110045203,0.950492354694207,0.521739130434783,0.00249088839748405,0.617075077451974,0.916666666666667,0.727272727272727,0.785714285714286,0.888888888888889,0.785714285714286,0.916666666666667,0.846153846153846,0.521739130434783,0.478260869565217,0.608695652173913,0.821969696969697,"ZellerG_2014",9,2,50
0.909090909090909,0.813559322033898,0.708387258446067,0.988794413975849,0.545454545454545,0.000290641304425921,0.479500122186953,1,0.8,0.857142857142857,1,0.857142857142857,1,0.923076923076923,0.545454545454545,0.545454545454545,0.636363636363636,0.9,"ZellerG_2014",9,1,50
0.863636363636364,0.722689075630252,0.650877902742592,0.970944148871253,0.545454545454545,0.00173164607190107,1,0.916666666666667,0.8,0.846153846153846,0.888888888888889,0.846153846153846,0.916666666666667,0.88,0.545454545454545,0.5,0.590909090909091,0.858333333333333,"ZellerG_2014",8,5,50
0.909090909090909,0.819672131147541,0.708387258446067,0.988794413975849,0.545454545454545,0.000290641304425921,0.479500122186953,0.833333333333333,1,1,0.833333333333333,1,0.833333333333333,0.909090909090909,0.545454545454545,0.454545454545455,0.454545454545455,0.916666666666667,"ZellerG_2014",8,4,50
0.833333333333333,0.659574468085106,0.626158286511317,0.952646373392743,0.541666666666667,0.002804984891468,0.617075077451974,0.923076923076923,0.727272727272727,0.8,0.888888888888889,0.8,0.923076923076923,0.857142857142857,0.541666666666667,0.5,0.625,0.825174825174825,"ZellerG_2014",8,3,50
0.695652173913043,0.358565737051793,0.470808333991493,0.8678971203019,0.565217391304348,0.14621761223239,0.449691797968891,0.846153846153846,0.5,0.6875,0.714285714285714,0.6875,0.846153846153846,0.758620689655172,0.565217391304348,0.478260869565217,0.695652173913043,0.673076923076923,"ZellerG_2014",8,2,50
