"","Species","Increasing.Rank.Min","Decreasing.Rank.Min","Increasing.Rank.Max","Decreasing.Rank.Max","Increasing.Rank.Average","Decreasing.Rank.Average","Decre.maxRank.P","Decre.aveRank.P","Decre.minRank.P","Decre.minRank.P.FDR","Decre.maxRank.P.FDR","Decre.aveRank.P.FDR","Incre.aveRank.P","Enriched","Ctrlmean","CRCmean","log2FC","ID","Label","Shape"
"625","Selenomonas_infelix",7250,1,10001,2752,8625.5,1376.5,0.275172482751725,0.137636236376362,9.99900009999e-05,0.000430495872568432,0.780472710304727,0.52248100189981,0.862463753624638,"N.S.","0","2.73076923076923e-05",Inf,"","","B"
"626","Selenomonas_noxia",2200,4993,5009,7802,3604.5,6397.5,0.78012198780122,0.63968603139686,0.499250074992501,0.693554173994365,1,0.905049045876662,0.36041395860414,"N.S.","2.56410256410256e-05","0.000172532051282051",2.75033852024471,"","","B"
"627","Selenomonas_sputigena",9917,1,10001,85,9959,43,0.0084991500849915,0.0042995700429957,9.99900009999e-05,0.000430495872568432,0.152553037379189,0.0966059644035596,0.995800419958004,"Disease","0","0.00101900641025641",Inf,"","","B"
"628","Serratia_liquefaciens",1,7181,2821,10001,1411,8591,1,0.859014098590141,0.718028197180282,0.868354733808756,1,0.965035589464309,0.141085891410859,"N.S.","0.000175576923076923","0",-Inf,"","","B"
"629","Serratia_marcescens",5000,2215,7787,5002,6393.5,3608.5,0.5001499850015,0.360813918608139,0.221477852214779,0.423517488676664,0.906134139061341,0.720023427020179,0.639286071392861,"N.S.","4.74358974358974e-06","1.40064102564103e-05",1.56203610387165,"","","B"
"630","Serratia_proteamaculans",1,5061,4941,10001,2471,7531,1,0.753024697530247,0.506049395060494,0.693554173994365,1,0.920580154822356,0.247075292470753,"N.S.","4.48717948717949e-07","0",-Inf,"","","B"
"631","Shigella_flexneri",7739,1964,8038,2263,7888.5,2113.5,0.226277372262774,0.211328867113289,0.196380361963804,0.397739380991478,0.753210327115437,0.579010136960988,0.788771122887711,"N.S.","3.65064102564103e-05","0.0001075",1.55811494185623,"","","B"
"632","Shigella_sonnei",9660,1,10001,342,9830.5,171.5,0.0341965803419658,0.0171482851714829,9.99900009999e-05,0.000430495872568432,0.315222323921454,0.219273072692731,0.982951704829517,"Disease","0.000204551282051282","0.00249435897435897",3.60813462016427,"","","B"
"633","Shuttleworthia_satelles",8135,1138,8864,1867,8499.5,1502.5,0.186681331866813,0.15023497650235,0.113788621137886,0.259727043168699,0.681339480265172,0.53211304485315,0.84986501349865,"N.S.","1.45512820512821e-05","0.00083051282051282",5.83478426550427,"","","B"
"634","Slackia_exigua",9891,55,9947,111,9919,83,0.0110988901109889,0.0082991700829917,0.0054994500549945,0.02092118830445,0.190002428328596,0.144621584353193,0.991800819918008,"Disease","2.59294871794872e-05","0.00157589743589744",5.92543615916299,"","","B"
"635","Slackia_piriformis",3774,6175,3827,6228,3800.5,6201.5,0.622737726227377,0.62008799120088,0.617438256174383,0.799888479620506,1,0.905049045876662,0.38001199880012,"N.S.","0.0157889743589744","0.0109426923076923",-0.528949719523992,"","","B"
"636","Slackia_unclassified",9963,39,9963,39,9963,39,0.0038996100389961,0.0038996100389961,0.0038996100389961,0.0150742990217107,0.107839216078392,0.0934606539346065,0.996200379962004,"Disease","9.98717948717949e-05","0.00325342948717949",5.02574017656457,"","","B"
"637","Sodalis_glossinidius",1,4989,5013,10001,2507,7495,1,0.749425057494251,0.498850114988501,0.693554173994365,1,0.920580154822356,0.250674932506749,"N.S.","3.90384615384615e-05","0",-Inf,"","","B"
"638","Solobacterium_moorei",10001,1,10001,1,10001,1,9.99900009999e-05,9.99900009999e-05,9.99900009999e-05,0.000430495872568432,0.0065357100653571,0.0065357100653571,1,"Disease","0.00510285256410256","0.0529701923076923",3.3758048824513,"Solobacterium_moorei","","A"
